Location,Outstanding Issue,Potential Adverse Effect,Proposed Mitigation,Proposed Schedule,VEC,GIS,Topic
Chainage  0+000 to 0+075,PSignificant subsidence along the pipeline. oor contouring.,Continued erosion.,"Re-crown pipeline, ensure adequate topsoil.",Spring/Summer 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage  1+250 to 1+450,"PSignificant subsidence along the pipeline, particularly along the steep slope. oorly constructed water bars.",Continued erosion.,"ERe-crown pipeline, ensure adequate topsoil.  xtend water bars into the bush to ensure they carry water off the ROW, minimizing erosion.",Spring/Summer 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage  1+250 to 1+275,Compaction.,Decreased soil fertility.,Disk in conjunction with reworking the adjacent subsidence issues.,Spring/Summer 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage 1+437,PExposed topsoil – high erosion potential. oor contouring.,Continued erosion.,Seed with approved seed mixture.,Spring 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage  2+005 to 2+328,Surface soil less than 80% of the original topsoil depths.,Decreased soil fertility.,Import and incorporate topsoil.,Spring/Summer 2010.,,,
Chainage  2+150 to 2+200,Compaction.,Decreased soil fertility.,Disk area and monitor.,Spring/Summer 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage 2+415 to 3+175,Exposed topsoil – high erosion potential.,"Continued erosion, sedimentation into the tributary to Tupper River.",Seed with an approved seed mixture.,Spring 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage  2+600 to 3+000,Poorly constructed water bars.,Potential for slope failure and sedimentation of the tributary to Tupper River.,Extend water bars into the bush to prevent erosion.,Spring/Summer 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage 2+673 to 3+075,CSubsidence above the pipeline trench. ompaction.,DContinued erosion. ecreased soil fertility.,"DRe-crown pipeline, ensure adequate topsoil. isk in conjunction with reworking the water bars in the adjacent area.",Spring/Summer 2010 with follow-up monitoring in the Summer/Fall of 2010.,,,
Chainage 3+025 to 3+350,Between 30% and 50% admixing between the topsoil (“A”) and subsoil (“B”) horizons.,Decreased soil fertility.,"If subsequent monitoring determines continued vegetative growth concerns, import additional topsoil.",Summer/Fall of 2010.,,,
