Location (KP),Land Use,Issue(s),Observations Noted,Corrective Actions Recommended,<s>Status</s>,VEC,GIS,Topic
KP 0.000 to KP 0.240,Forested,No issues observed,Vegetative cover is established through this section and no other concerns were noted.,No action required,Resolved,,,
KP 0.240 to KP 0.320,Forested,Vegetation,Vegetative cover was not at standard on the right-of-way (ROW) or in the temporary work space (TWS) at this location.,"Harrow, seed and fertilize (Photo 1 in Section 5.2)",Resolved,,,
KP 0.320 to KP 1.775,Forested,No issues,"There is subsidence along a third party pipeline and at the pipeline crossing at KP 0.035 (not Westcoast related) Armoring, bed and banks are stable on the two unnamed tributaries to Mackie Creek at KP 1.010 and KP 1.130, and the riparian zones are vegetated.",No action required other than notifying third party pipeline owner of subsidence concerns .,Resolved,,,
KP 1.775 to KP 1.925,Forested,Vegetation,There were several patches along the sidehill where vegetative cover was less than required.,"Hand rake, seed and fertilize",Resolved,,,
KP 1.925 to KP 2.570,Forested,No issues observed,Vegetative cover is well established throughout this section and no other concerns were noted.,No action required,Resolved,,,
KP 2.570,Forested,Subsidence,Minor subsidence over the bellhole above the road ditch on the landowner gravel pit road.,"Fill, pack, seed and fertilize minor area of subsidence (Photo 2 in Section 5.2)",Resolved,,,
KP 2.570 to KP 3.602,Forested,No issues observed,"Armoring, bed and banks are stable on Mackie Creek at  KP 3.320 (where disturbance took place) and the riparian zone is well vegetated.  Survival of the planted stock (e.g. willow  and spruce) is low due to the extensive vegetative cover and associated competition.",No action required,Resolved,,,
KP 3.602 to KP 4.050,Hay,Soil Management / Vegetation,The landowner was responsible for seeding.  Seeding did not occur and as a result there has been minor rill erosion and volunteer vegetative growth.  Coverage is adequate although  not the preferred species for the landowner.  As a result the landowner plans to cultivate and seed in the coming year.,No action required,Resolved,,,
KP 4.050 to KP 4.070,Road Allowance,Erosion,Adjacent pipeline cleanup and landowner activity did not tie  surface flows into the established drainage across the ROW causing erosion channeling adjacent to the drainage.,"Repair erosion gullies, reshape and armor drainage, install  topsoil adjacent to the drainage, install erosion control matting, in the drainage, seed and fertilize (Photo 3 in Section 5.2)",Resolved,,,
KP 4.070 to KP 5.300,Pasture/ Forested,Erosion,Landowner seeding was completed and has established.  The drainage / wet site between KP 4.646 and KP 4.749 has stabilized and is well vegetated. There were three locations across this quarter with rill or minor gully erosion on the ROW.  Although the landowner was not concerned the sites were repaired to avoid further issues.,"Repair erosion, seed and fertilize",Resolved,,,
KP 5.300 to KP 7.350,Pasture/ Forested,No issues observed,Vegetative cover is well established throughout this section and no other concerns were noted.,No action required,Resolved,,,
