Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
68,SW 20-9-28,CT 0.4,4019,Soils – Erosion Water Quality and Quantity Unnamed Drainage – Field Identified,--,--,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,Erosion repaired September 2012.,Unresolved,Monitor in 2013.,,,
68,SW 20-9-28,CT 0.0 to CT 0.4,4019,Vegetation - Establishment,Final clean-up not complete at time of 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Bare right-of-way where not seeded.,Land fallow along construction right-of-way. Unable to assess.,Landowner reseeded July 2012.,Unresolved,Reassess in 2013.,,,
68,SW 20-9-28,CT 0.0 to CT 0.4,4019,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Weedy areas where not seeded.,No weeds observed on fallow land during ground reconnaissance.,Landowner reseeded July 2012.,Unresolved,Monitor weed growth in 2013.,,,
68,NW 17-9-28,CT 0.6,4019.01,Soils - Erosion,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,Gully erosion present.,Minor rill erosion observed on construction right-of-way within natural drainage during ground reconnaissance. No vegetation established.,--,Unresolved,"Stabilize soils, establish vegetation and monitor in 2013.",,,
68,NW 17-9-28,CT 0.6 to CT 1.1,4019.01,Vegetation – Establishment,--,--,Bare and patchy areas on right-of-way.,Land fallow along construction right-of-way. Unable to assess.,Landowner worked and reseeded right-of-way July 2012.,Unresolved,Monitor in 2013.,,,
68,NW 16-9-28,CT 1.7 to CT 2.8,4022,Soils - Coarse Fragments,--,--,"Rough right-of-way, low spots and rocks.",--,Landowner picked rocks July 2012.,Unresolved,Monitor in 2013.,,,
68,NW 16-9-28,CT 1.7 to CT 2.8,4022,Soils - Contouring,--,--,"Rough right-of-way, low spots and rocks.",--,Landowner picked rocks July 2012.,Unresolved,Monitor in 2013.,,,
68,NE 16-9-28,961.2 to 961.3,4023,Soils – Admixing,--,--,Admixing noted (2011).,Minor admixing observed on construction right-of-way during ground reconnaissance.,Stripped and placed admixed topsoil near clay horizon October 2011.,Unresolved,Source and add clean topsoil or topsoil amendments and monitor in 2013.,,,
68,NW 15-9-28,961.3 to 962.2,4024,Soils – Admixing,--,--,Admixing noted (2011). Discussions with landowner regarding this issue occurred in 2012. Issue now resolved.,Minor admixing observed on construction right-of-way.,Stripped and placed admixed topsoil near clay horizon October 2011.,Resolved,None.,,,
68,NE 16-9-28; NW 15-9-28; NE 15-9-28,960.4 to 962.9,4023  4024  4025,Soils – Coarse Fragments,,--,Stones present following cultivating for repairs (2011).,Stoniness on construction right-of-way equal to off construction right-of-way.,Landowner cultivated and picked rocks July 2011.,Resolved,None.,,,
68,NW 15-9-28,961.5 to 962.2,4024,Soils - Contouring,--,Poor contouring observed on construction right-of-way by landowner.,Contouring appears similar on and off right-of-way.,No contouring issues observed on construction right-of-way during ground reconnaissance.,Contouring repaired in fall 2011.,Resolved,None.,,,
68,NW 15-9-28,961.55 to 961.63,4024,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (65%).,"Health: Unhealthy (25%).  Weeds: Canada thistle, perennial sow-thistle. Bare ground on construction right-of-way. Landowner has cultivated portion of construction right-of-way.","Health: Unhealthy (45%). Weeds: Annual sow-thistle, Canada thistle, lamb’s-quarters, shepherd’s purse, kochia, white cockle. Riparian area partially cultivated. Disturbance and weedy species observed along construction right-of-way. Bare ground and pooling water on construction right-of-way.",--,Land access not permitted during August 2012 field program.,--,Unresolved,Monitor in 2013.,,,
68,NE 15-9-28,962.2 to 962.9,4025,Soils - Admixing,--,Moderate admixing observed on construction right-of-way by landowner.,Admixing observed from KP 962.2 to KP 962.4.,Admixing issue no longer affecting crop growth.,Admixing repaired in fall 2011.,Resolved,None.,,,
68,NW 14-9-28,963.6,4026,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,"Repair subsidence, if warranted, and monitor in 2013.",,,
68,NW 14-9-28,963.4 to 963.6,4026,Vegetation - Weeds,--,--,"Perennial sow-thistle, Canada thistle, wild oats and kochia dead from spraying.",Low densities of Canada thistle observed on construction right-of-way. Moderate densities of curled dock and kochia observed on construction right-of-way. High densities of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,,
68,NE 14-9-28,964.5 to 964.65,4026.01,Vegetation - Weeds,"High density of false ragweed, lamb’s-quarters, Canada thistle, common pepper-grass and perennial sow-thistle on construction right-of-way.","High density of false ragweed, lamb’s-quarters, Canada thistle, wild oats and perennial sow-thistle on construction right-of-way.","Perennial sow-thistle, Canada thistle, wild oats and kochia dead from spraying.",High densities of perennial sow-thistle and wild oats observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,,
68,NW 13-9-28,964.9,4027,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,Conditions similar on and off right-of-way appear resolved.,No drainage issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
