Environmental Issues,Location,Mitigative Measures Implemented,Status,Proposed Post-Construction Measures,VEC,GIS,Topic
Topsoil/ subsoil mixing,KP 1045.3 to KP 1046.2,-  Topsoil/subsoil mixing occurred over the trenchline on a 250 to 300 m long segment during wet soil conditions. -  No crop growth problems were evident during summer 2000 post-construction monitoring.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Compaction,Entire route,-  Construction was typically sus-pended during wet soil condi-tions.   -  Wet subsoils were generally not ripped prior to topsoil replace-ment. -  Compaction was tested in all areas with visible crop growth problems during summer 2000 post-construction monitoring.  No compaction differences were found between on and off right-of-way tests at these sites,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Compaction,KP 1057.9 to KP 1058.7; KP 1104.9 to KP 1105.8; KP 1119.0 to KP 1119.6; KP 1127.3 to KP 1128.1; KP 1160.5 to KP 1161.3; KP 1202.2 to KP 1202.8,-  Compaction was were evident during final clean-up across the entire right-of-way but compaction alleviation measures could not be conducted due to wet subsoil conditions -  Compaction was tested in all areas with visible crop growth problems during summer 2000 post-construction monitoring.  No compaction differences were found between on and off right-of-way tests at these sites,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Rutting,KP 1109.341,-  Various soils handling methods were used to minimize the risk of rutting.  Rutting did occur at these locations and substantial grading to remove the shallow ruts was necessary.  Some loss of soil structure is anticipated. -  No crop growth problems were evident during summer 2000 post-construction monitoring.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
,KP 1109.9 to KP 1110.0,-  Various soils handling methods were used to minimize the risk of rutting.  Rutting did occur at these locations and substantial grading to remove the shallow ruts was necessary.  Some loss of soil structure is anticipated. -  Soil mixing was evident during summer 2000 post-construction monitoring.  Cultivating and reseeding may be required.,Unresolved,Monitor crop and revegetation success.,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,Noncultivated segments,"-  Disturbed noncultivated portions of the route were fertilized and reseeded. -  Successful revegetation was evident during summer 2000 post-construction monitoring except at KP 1003.0; KP 1160.5 to KP 1161.3 and at KP 1195.9, where little vegetation cover is present.",Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,KP 1003.0; KP 1160.5 to KP 1161.3; KP 1195.9,-  Little vegetation cover was evident during summer 2000 post-construction monitoring -  Reseeding may be required.,Unresolved,Monitor success of revegetation program.  Mow or otherwise control excessive weed growth and reseed if necessary.,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,Noncultivated segments reseeded in 2000,-  Noncultivated areas at the following locations were reseeded in the fall of 2000 because of poor vegetation reestablishment: KP 1126.9 to KP 1127.2; KP 1128.2 to KP 1128.9.,Unresolved,Monitor success of revegetation program.  Mow or otherwise control excessive weed growth and reseed if necessary.,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,KP 989.4 to KP 989.45; KP 993.9 to KP 996.4; KP 998.1 to KP 998.3; KP 1072.6 to KP 1074.1; KP 1190.75 to KP 1192.6,-  Topsoil was stripped from the entire construction right-of-way at locations where leafy spurge was present and equipment involved in topsoil handling at these sites was steam cleaned prior to leaving the affected area. -  Successful revegetation was evident during summer 2000 post-construction monitoring except at KP 1190.0 to KP 1192.6 and KP 1072.2 to KP 1074.0.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,KP 1190.0 to KP 1192.6; KP 1072.2 to KP 1074.0,-  May require reseeding and weed control.,Unresolved,"Monitor right-of-way and adjacent fields for leafy spurge.  Take remedial measures, if warranted, prior to setting of seeds.",1. LOSS OF AGRICULTURAL CAPABILITY,,
Loss of topsoil structure,"Souris, Glenboro, St. Leon and Gretna loops",-  Topsoil clods were evident and some degree of topsoil structure damage was apparent due to the wet soil conditions during construction and final clean-up. -  No visible crop growth suppression was evident during summer 2000 post-construction monitoring.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Wind erosion on sandy soils and soils difficult to revegetate,See Environmental Alignment Sheets,-  Topsoil piles were monitored for wind erosion. -  Appropriate seed mixes were sown on noncultivated portions.  Straw crimping was conducted. -  Successful revegetation was evident during summer 2000 post-construction monitoring.,Resolved,---,2. EROSION,,
Water erosion on moderately steep to steep slopes,Moderately steep slopes to steep slopes See Environmental Alignment Sheets,"-  Temporary berms and silt fences were installed, where warranted. -  Cross ditches were installed, where warranted, and the slopes were seeded with a cover crop and appropriate seed mix.  -  Successful revegetation and stable slopes were evident during summer 2000 post-construction monitoring.",Resolved,---,2. EROSION,,
Water erosion on moderately steep to steep slopes,KP 1131.5 to KP 1133.0,"-  Some erosion occurred during spring runoff in 1999. -  Displaced soil was replaced, berms were installed and straw was crimped-in. -  No evidence of erosion during summer 2000 post-construction monitoring.",Resolved,---,2. EROSION,,
Disturbance of waterbody substrate and banks,"Black Creek, Souris River, Spring Brook (both crossings), Oak Creek (both crossings), Cypress River (both crossings), Mary Jane Creek Thornhill Coulee, and Deadhorse Creek",-  Appropriate vehicle crossings were installed.  Silt fences were installed around spoil storage area.  Vegetative buffers were left in place until immediately prior to construction.  The instream period was minimized and bed and banks were restored. -  Watercourse crossings appeared to be stable and vege-tation well established during summer 2000 post-construction monitoring.,Resolved,---,3.  WATER CROSSINGS,,
Bank stability or approach slope erosion,"Black Creek, Souris River, Spring Brook (both crossings), Oak Creek (both crossings), Cypress River (both crossings), Mary Jane Creek Thornhill Coulee, and Deadhorse Creek","-  Temporary silt fences were ins-talled, where warranted, during construction.  -  Banks and slopes were seeded.  -  Straw crimping was conducted, if warranted. -  Subdrains were installed on the east slope of the Souris River and native grade material was replaced with course-textured soils to improve drainage. -  Watercourse crossings appeared to be stable and vege-tation well established during summer 2000 post-construction monitoring",Resolved,---,3.  WATER CROSSINGS,,
Bank stability or approach slope erosion,"Black Creek (east bank), Oak Creek (KP 1109.3) (east bank), Thornhill Creek, and Deadhorse Creek","-  Berms were installed on the banks/approach slopes. -  Watercourse crossings appeared to be stable and vege-tation well established during summer 2000 post-construction monitoring, except for minor rill erosion on the east approach slope to the Souris River, KP 1073.8 to KP 1074.2.",Resolved,---,3.  WATER CROSSINGS,,
