Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number(s),Environmental Issue(s),TERA Environmental Consultants Observation(s) in 2010,TERA Environmental Consultants Observation(s) in 2011,TERA Environmental Consultants Observation(s) in 2012,TERA Environmental Consultants Observation(s) in 2013,"Repairs to Date (2010, 2011, 2012, 2013)",Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
E1,NW 9-52-23,E 6.5,EL4-0025.16,Soils - Erosion,--,--,Soil erosion (approximately 10 m x 2 m) observed on construction right-of-way during ground reconnaissance. Erosion is occurring downslope along a deer/cattle trail.,Erosion caused by third-party (cattle). Issue not related to pipeline construction.,--,Resolved,None.,,,EDMONTON LOOP
E2,NE 25-51-23,13.3 to 14.3,EL4-0042.00,Vegetation - Weeds,High density of Canada thistle on construction right-of-way.,"Moderate density of white cockle, Canada thistle and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",Integrity dig/repair work in progress. Could not access site.,Landowner has been compensated to control weeds and reseed the construction right-of-way.,"Field tilled, reseeded and sprayed by landowner in summer 2011.",Resolved,None.,,,EDMONTON LOOP
E2,NE 25-51-23,13.5 to 14.3,EL4-0042.00,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Integrity dig/repair work in progress. Could not access site.,Landowner has been compensated to control weeds and reseed the construction right-of-way.,"Field tilled, reseeded and sprayed by landowner in summer 2011.",Resolved,None.,,,EDMONTON LOOP
E2,SW 30-51-22,14.6,EL4-0044.00,Soils - Subsidence,Severe subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Integrity dig/repair work in progress. Could not access site.,Issue successfully repaired.,Subsidence repaired and area reseeded in summer 2012.,Resolved,None.,,,EDMONTON LOOP
2,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Weeds,"High density of Canada thistle, stinkweed, white cockle and hemp-nettle observed on construction right-of-way during ground reconnaissance.",High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Access to property not granted.,Landowner has been compensated for construction-related issues.,Reseeded in summer 2011.,Resolved,None.,,,EDMONTON LOOP
2,SW 27-50-22,26.1 to 26.9,EL4-0067.00,Vegetation - Establishment,--,Poor alfalfa establishment on hay land on construction right-of-way reported by landowner.,Access to property not granted.,Landowner has been compensated for construction-related issues.,Reseeded in summer 2011.,Resolved,None.,,,EDMONTON LOOP
3,NW 11-50-22,30.58 to 31.41,EL4-0075.00,Vegetation - Weeds,"Moderate to high density of white cockle, lamb’s-quarters and hemp-nettle on construction right-of-way.",High density of Canada thistle and white cockle observed on construction right-of-way during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance. No white cockle observed. Enbridge not able to control weeds in 2013 due to timing with landowner.,Moderate density of Canada thistle and white cockle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in August 2012.,Unresolved,Control weeds and monitor in 2014.,,,EDMONTON LOOP
5,NW 26-48-20,55.27 to 55.45,EL4-0118.00,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Moderate compaction causing poor crop growth observed on construction right-of-way during ground reconnaissance.,Site is now occupied by an integrity dig.,Site graded and disced in November 2011.,Resolved,None.,,,KINGMAN LOOP
5,NW 26-48-20,55.27 to 56.0,EL4-0118.00,Vegetation - Weeds,--,--,"Low to moderate densities of wild oats, stinkweed, lamb’s-quarters, pineappleweed, perennial sow-thistle and stork’s-bill observed on construction right-of-way during ground reconnaissance.",Site is now occupied by an integrity dig.,--,Resolved,None.,,,KINGMAN LOOP
5,NE 19-48-19,60.4,EL4-0125.00,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence (approximately 1 m x 0.15 m x 20 m) observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2012. No crop issues observed.,Subsidence repaired fall 2012.,Resolved,None.,,,KINGMAN LOOP
