Legal Location (W5M),Land Use,Vegetation Issue(s),Soil Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
NW 22-77-25,Cultivated,No,No,Crop cut at time of survey.,Monitor vegetation in 2013.,,,
NW 22-77-25,Wetland,No,No,--,None.,,,
SW 22-77-25,Treed,No,No,--,None.,,,
SE 22-77-25,Cultivated,No,No,Crop cut at time of survey.,Monitor vegetation growth in 2013.,,,
NE 15-77-25,Cultivated,Poor vegetation establishment,No,Crop cut at time of survey. Localized patch of poor vegetation establishment at KP 2.29 on right-of-way at field edge.,Monitor vegetation growth in 2013.,,,
NW 14-77-25,Treed Pasture,No,No,--,None.,,,
NW 14-77-25,Unnamed Tributary to Smoky River,No,No,--,None.,,,
SW 14-77-25,Treed,No,No,--,None.,,,
SW 14-77-25,Tame Pasture,No,Subsidence,Subsidence observed at KP 3.55 on right-of-way.,"Monitor in 2013 and, if warranted, repair subsidence.",,,
SW 14-77-25,Wetland,No,No,--,None.,,,
SW 14-77-25,Treed Pasture,No,No,--,None.,,,
SW 14-77-25,Wetland,No,No,--,None.,,,
SE 14-77-25,Treed Pasture,No,No,--,None.,,,
