Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 3-109-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on the majority of the construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs within the portion of this tract south of facility.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 0+065 – Perennial sow thistle observed outside of Moody Creek Compressor Station, control measures recommended. July 25, 2016 – Herbicide application conducted to control perennial sow thistle.",,,
SW 3-109-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on the majority of the construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present - KP 0+530 – Pipeline signs and marker posts loose / leaning – recommend repairs. - KP 0+950 – Part of a digging mat remains in ditch alongside Baseline Road – requires removal. Sept 22, 2015 – KP 0+530, 0+950, and 0+980 – Pipeline identification signs and marker posts were repaired, issues resolved. Sept 25, 2016 - KP 0+980 – Part of digging mat along Baseline Road was removed and disposed of, issue resolved.",,,
SW 3-109-12 W6,Mixedwood Treed Swamp (0.40 to 0.46),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 3-109-12 W6,Treed Fen (0.50 to 0.75),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 3-109-12 W6 to  NW 34-108-12 W6,Treed Fen (0.80 to 1.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
NW 34-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 1+000 and 1+500 – Marker post loose / leaning, repair recommended. Sept 22, 2015 - KP 1+000 and 1+500 – Pipeline identification sign and marker posts repaired, issue resolved.",,,
NW 34-108-12 W6,Shrubby Fen (1.40 to 1.50),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
,Treed Fen (1.50 to 1.74),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed, indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.",,,
SW 34-108-12 W6,Treed Fen (1.80 to 1.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 34-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract.  Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
SW 34-108-12 W6 to NW 27-108-12 W6,Treed Fen (2.40 to 3.00),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
