Legal Location,2013 Issue/Condition,2013 PCMP Recommendation(s),2014 PCRM Assessment and Work Completed,2014 Recommendations,VEC,GIS,Topic
94P-3-L33,Cabin Lake,None.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L33,Graminoid fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L34,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L34,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L35,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L35,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L36,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L36,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L37,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L37,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L38,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L38,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
H94P-3-L39,High vegetation establishment,None.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
H94P-3-L39,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L40,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-3-L40,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I31,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I31,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I41,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I42,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I43,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I43,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I44,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I44,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I45,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I45,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I46,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I46,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I47,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I47,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
94P-4-I48,Low vegetation establishment,Monitor in 2014 for vegetation establishment.,"September 17, 2014 - Healthy diverse vegetation covers the entire line no need to monitor further.",No further monitoring required.,,,
