Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
E1,NE 32-52-23,0.2 to 0.8,EL4-0021.00 EL4-0021.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E1,NE 32-52-23,0.2 to 0.8,EL4-0021.00 EL4-0021.01,Vegetation - Weeds,"Moderate density of stinkweed, white cockle and cleavers observed on construction right-of-way during ground reconnaissance.","Moderate density of cleavers, annual sow-thistle and shepherd’s-purse observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
E1,SE 32-52-23,0.8 to 1.3,EL4-0021.01,Vegetation - Weeds and clubroot disease,"High density of scentless chamomile, creeping thistle and perennial sow-thistle observed along construction right-of-way.",Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
E1,SW 33-52-23,E 0.2 to E 0.8,EL4-0022.00,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 28-52-23,E 0.8 to E 1.6,EL4-0023.00 EL4-0023.01 EL4-0023.02,Soils - Compaction,Moderate compaction observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 28-52-23,E 0.8 to E 1.6,EL4-0023.01,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E1,NW 28-52-23,E 1.6,EL4-0023.02,Soils - Subsidence,Minor subsidence on construction right-of-way.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,EDMONTON LOOP
E1,NW 28-52-23,E 1.7,EL4-0023.02,Vegetation - Weeds and clubroot disease,"Moderate to high density of perennial sow-thistle, Russian pigweed and creeping thistle on construction right-of-way.","Moderate density of creeping thistle, scentless chamomile, narrow-leaved hawk’s-beard and Russian pigweed observed on construction right-of-way during ground reconnaissance.",Weeds sprayed and area re-seeded in 2010.,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.6 to E 1.9,EL4-0024.01,Vegetation - Weeds,"Moderate density of perennial sow-thistle, scentless chamomile and creeping thistle on construction right-of-way.","Moderate density of perennial sow-thistle, scentless chamomile, creeping thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.9,EL4-0024.01,Soils - Contouring,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Contouring repaired by landowner in 2010.,Resolved,None.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.9 to E 2.1,EL4-0024.02,Vegetation - Weeds,Moderate density of perennial sow-thistle and scentless chamomile on construction right-of-way.,High density of perennial sow-thistle and creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,,EDMONTON LOOP
