Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,Discipline (field planning),"AMEC PCEM Observations, 2013","AMEC PCEM Observations, 2014","AMEC PCEM Observations, 2015","Amec FW Observations, 2016","Amec FW Observations, 2017","Wood Observations, 2018",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
10,31+180 to 31+280,SW 20-4-2 W2,Native grassland,"Seed mix, reclamation",Terrestrial,Not assessed.,Not assessed.,Not assessed in 2015.,The Sandy Soils Native Blend seed mix has not established at the site. None of the seed mix species were identified along the RoW.,Appearrs to have been seeded to a tame mix (alfalfa brome Kentucky bluegrass) and not the Sandy Soils native blend prescribed. Vegetation is well established.. Consider reseeding.,"None of the seed mix species were present, the ROW was dominated by tame species (Bromus inermus, Medicago sativa, Poa pratensis).","2018: eradicated tame species, reseeding. Weed management.",Unresolved,Re-seeding recommended pending landowner satisfaction (crown lands),,,
11,34+900 to 35+200,24-4-2 W2,Native grassland,"Seed mix, reclamation",Terrestrial,Not assessed.,Not assessed.,Not assessed.,"Southern Prairie Native Blend seed mix species have established with each of the species from the mix identified, and some of the seeded grasses are among the dominant species. Several invasive and weedy species present along RoW but comparable to off-RoW.",Vegetation established well with many species from seed mix present on the RoW. Several tame species on RoW and not off.  Some invasive species but similar to off of RoW.,"Similar in species composition on and off the ROW.   With the exception of crested wheat grass, smooth brome, and alfalfa being abundant on the ROW.  The results suggest the ROW was overseeded with tame seed mix.",Weed management to eradicate tame species in 2018 and ongoing.,Unresolved,Weed management to address tame species on RoW. Crown Lands.,,,
15,47+900 to 49+900,11-5-1 W2,Native grassland,"Seed mix, reclamation",Terrestrial,Not assessed.,Not assessed.,Not assessed in 2015.,"The Southern Prairie Native Blend seed mix species have not become well established at this Site. With the exception of needle and thread grass  and slender wheatgrass, the remaining seed mix species were identified along the RoW; however, none of the seed mix species were common along the RoW.","Some tame species still found on RoW but can also be found off RoW. Appears to be wrong seed mix used,  but some species from the Southern Prairie Native Blend seed mix found and does not impede on landuse (heavily grazed).","On and off ROW similar, although there were more seed mix species off the ROW than on the ROW.   Also there was more alfalfa on the ROW.   The results suggest the wrong seed mix may have been used, but many native shrubs and forbs are present on the ROW. Three populations of the S3 ranked plant Polygala senega were observed off the ROW",reseeding and Weed management in 2018 and ongoing.,Unresolved,Reseeding and weed management until established.,,,
21,70+300 to 71+300,NE 6-6-32 W1,Hayland,"Vegetation establishment, coarse fragments",Terrestrial,Not assessed.,"June 2014: Bare patches, sparse growth, but clearly seeded and desired species present.","Good vegetation establishment, with no bare patches.","Patchy growth and coarse fragments on hills and north facing side slopes. Otherwise vegetation well established. Suggest spraying to kill off weeds prior to cultivating and reseeding as there is a fair amount of Canada thistle, and pennycress. Continue to monitor after it is reseeded in Fall 2016.",Assessed in July with limited growth establishment. Revisit,Reseeded in 2018. Very little establishment. Possibly mow in future.,"Summer fallowed in 2016. Reseeded in 2017. 2018 -topsoil stripped, subsoil decompacted, re-countoured and additional topsoil brought in and mixed with existing topsoil. Site was then seeded. Weed management activities occured every two weeks. Dominant seeding occured in the fall.",Unresolved,Reseeding and weed management until established.,,,
1,0+000 - 1+200,NW 9-4-5 W2,Crop,Weeds,Terrestrial,,"Weedy on RoW, and off RoW.  No noxious weeds present.",Weedy on- and off-RoW.,Grass appears to be establishing OK. Lots of perennial sowthistle (N) in lower areas along RoW. Bare patch at 1+050 where there is only about 30% desirable grasses and 70% bare.,Converted to crop (canola). Crop is comparable to off of RoW. Issue resolved.,,Mowed August 2014. Reseeded May 2016. Land was transferred in 2016 and has been cultivated/tilled. Transfer represented a change in farming practices for this land.,Resolved,,,,
1,1+200,SE 9-4-5 W2,Crop,Weeds,Terrestrial,,"June 2014: Looks as though there was extra topsoil at end of reclamation, and excess was placed at this location.  Weedy.",Weedy on- and off-RoW.,"Grass and alfalfa establishing well. Roughness was addressed. Some bare patches still present. Lots of weeds, pigweed, perennial sowthistle, and pennycress.","Converted to crop (canola), crop is comparable to off RoW. Issue resolved.",,Mowed and broadcasted seed August 2014. Area was cultivated and reseeded Spring 2016.,Resolved,,,,
3,7+850,SW 6-4-4 W2,Crop,Subsidence,Terrestrial,No issue identified.,No issue identified.,,"Crop is stunted between 7+850 to 8+000. Sunken trench was not visible and may have been addressed; however, some admixing was noted and may be the result of the stunted crop.",20 m patch of vegetation remains slightly stunted  on the RoW. (~60% growth compared to off RoW). Suggest a shovel test for compaction in August 2018,"Sunken trench no longer evident. Shovel test conducted, compaction not an issue. Crop growth similar off and on the RoW. 2 patches with stunted growth north and south but off RoW that are Low lying saline areas. Consider resolved",RoW was reworked and cultivated May 2016.,Resolved,,,,
3,8+000,SE 6-4-4 W2,Crop,Vegetation establishment,Terrestrial,No issue identified.,,,"Crop is stunted between 7+850 to 8+000. Sunken trench was not visible and may have been addressed; however, some admixing was noted and may be the result of the stunted crop.",Vegetation establishment is comparable to off RoW.,,Silt fence removed June 2013. RoW was reworked and cultivated May 2016.,Resolved,,,,
6,19+000 to 19+700,SE 6-4-3 W2,Modified grass. Native grassland,Vegetation establishment,Terrestrial,"July 2013: Sparse vegetation, needs further investigation.","August 2014: Desired species established, bare ground minimum.",Not assessed.,Evidence of correct seed mix species used at site. Establishment of seed mix species patchy.,4 transects completed. Desired vegetation establishing well.,"4 transects completed.  Species composition was generally similar on and off RoW, although there were more weedy patches on the ROW (mostly Canada thistle, Bull Thistle and Sow thistle), as well as more patches of tame hay species (alfalfa and smooth brome). This site was in better condition in August than in June.",None recommended.,Resolved,,,,
8,25+300,NE-10-4-3-2,,Subsidence - daylighting holes,Terrestrial,,,,Sunken bell hole still visible from road.,"Subsidence still somewhat evident, but comparable to off the RoW. Issue resolved.",,,Resolved,,,,
8,26+000,NW 11-4-3 W2 / SW 14-4-3 W2,Crop,"Subsidence, weeds",Terrestrial,,,"Area of subsidence 2 m x 12 m x 0.1 m.  Weeds on RoW, 15 m x 24 m, including lambs quarters, flixweed, false ragweed and prairie rocket.",Sunken trench 50 m south of road along RoW in crop. Approx. 20x2m in size and holding water after recent rainfall. 26+050 there are some weeds at the crossing of farmers road. Weeds are present on- and off-RoW.,Sunken trench still evident but comparable to offsite. Could be drainage into wetland. Weed composition/abundance is comparable on and off RoW. Issue resolved,,,Resolved,,,,
8,26+340 to 26+400,SW 14-4-3 W2 / SE 14-4-3 W2,Modified grass,Weeds,Terrestrial,"July 2013: Patchy growth, moderate compaction, admixing.",August 2014: False ragweed infestation.,"Weeds observed on- and off-RoW. Species included canola, absinthe, mustard, stinkweed, flixweed and false ragweed.","Good grass establishment. Minor amount of weeds are present on the RoW, however, they are present throughout the 1/4 as well, not just on the RoW.",Good grass establishment. Weed composition and abundance are comparable on and off RoW.,,Cultivated and reseeded in October 2013.,Resolved,,,,
9,29+250 to 30+570,NW 18-4-2 W2 / SW 19-4-2 W2,Hayland,Weeds,Terrestrial,"July 2013: No noxious weeds at this location, nuisance species on- and off-RoW.",August 2014: Mowed prior to monitoring.,"Weedy on-RoW.  Species included flixweed, common burdock, curly dock and brassica spp.",Land use changed from hay to crop. Heavy infestation of Canada thistle & wild mustard throughout the 1/4 as well as on the RoW. Not likely an Enbridge issue.,,,Mowed in August 2013  and 2014,Resolved,,,,
10,31+240,SW 20-4-2 W2,Hayland,Rare plant,Terrestrial,Polygala senega  not observed.,Polygala senega  not observed.,Polygala senega  not observed.,Polygala senega  not observed.,No Polygala senega  found on or off RoW,June: No rare plants found.                                       July: No rare plants found.                                           August 21: No rare plants found.Land use conditions have changed since pre-construction and habitat no longer suitable for this species. Consider resolved.,None recommended.,Resolved,Land use for this area has changed from modified grassland to hayland since construction and no longer suitable habitat to support this rare plant.,,,
11,33+800 to 34+450,21-4-2 W2,Native grassland,"Seed mix, reclamation",Terrestrial,Not assessed,Not assessed.,Not assessed in 2015.,The Moist Soils Native Blend seed mix has not well established at the Site. Only fowl bluegrass (Poa palustris ) and streambank wheatgrass (Elymus lanceolatus ssp. Lanceolatus ) were observed. The remaining species from the seed mix were not observed. Site and surrounding land use appears to be more upland than lowland (drier than initial assessment indicates).,"The Moist Soils Native Blend seed mix has not  established at the Site.  Only northern wheatgrass,  western wheatgrass, and awned wheatgrass were observed from the seed mix. Appears to be more upland landuse than lowland. Lots of Canada thistle found on RoW. Consider mowing.","Seed mix not consistenty established on ROW. Species on ROW not same as off ROW.  The dominant species on the ROW were Bromus inermus, Poa pratensis and Artemesia frigida.    There were small patches of some of the seed mix species, (Agropyron subsecundum, Agropyron trachycalum, Poa palustris).   Poa palustris, Symphoriocarpus alba, and Eleangus commatata  were dominant off of the ROW.",Weed management in 2018. Plan to continue in 2019.,Resolved,Weed management to address tame species on RoW. Crown Lands.,,,
12,38+900,SW 36-4-2 W2,Tame pasture,Subsidence,Terrestrial,No issue identified.,,,"Signs of subsidence not evident, however multiple low areas  are holding water along RoW. Low areas are present throughout the quarter section and were noted pre-construction.","converted to crop, no issues. Resolved.",,Silt fence removed 2013. Added soil May 2016. Area cultivated and additional soil added Spring 2016.,Resolved,,,,
12,39+650 to 39+750,NE 36-4-2 W2,Wetland (W-143) Weeds,,Wetland,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Not assessed in 2015.,Typhus  re-establishing. High density of weeds around the wetland (on and off RoW).,Wetland vegetation and riparian area establishing  well. Weed compostition and abundance are comparable on and off RoW. Consider resolved.,,,Resolved,,,,
13,43+850,SW 4-5-1 W2,Crop,Vegetation establishment,Terrestrial,No issue identified.,,"Low crop density in shoofly area.  Landowner suspects compaction, may be due to water accumulation in low area.",There is a 30m x 20m area that is still holding water from recent rainfalls. May need additional topsoil to resolve and appease landowner.,"No subsidence noted. Bare patch near wetland observed both on and off RoW. Likely due to low lying saline areas, considered resolved.",,Silt fence removed June 2013. 2016: Topsoil to be brought in to fill sunken portion of access. Area was cultivated and additional soil brought in in Spring 2016.,Resolved,,,,
15,48+300,SW 11-5-1 W2,Native grassland,"Seed mix, coarse fragments",Terrestrial,"August 2013: Documents state native prairie seed mix was planted, but seed mix appears more like the Viterra seed mix (timothy, alfalfa, brome present in RoW but not off RoW).","August 2014: Area was to be cultivated and re-seeded, has not been done.  Some rutting on the RoW.","Tame pasture species present, does not match off-RoW.  Native species not establishing.  Coarse fragments at surface.","Tame vegetation mixture is well established. Although not optimal to have tame species in a native pasture, since it is well established it makes more sense to leave it unless the landowner has an issue with the mix. It does not impede on the land use (grazing). Coarse fragments also noted, however, they are not impeding grass establishment.","No change from 2016. Off RoW is modified native and tame species are found throughout the quarter. Reseeding not recommended, as grass is well established and does not impede grazing regimes. Consider resolved if landowner has no issues.",,,Resolved,Coarse fragments no longer an issue. The  ROW has had the subsidence repaired and has been sprayed to kill the project planted seed mix. Southern Prairie Native Blend has since been seeded. Enbridge plans to dormant seed again this fall as well as next spring if required. Enbridge plans to do weed control if necessary in 2019.,,,
16,52+720 to 52+930,SW 15-5-34 W1,Wetland (W-339) Weeds,,Wetland,August 2013: Some woody riparian vegetation of wetland was has been removed on the pipeline RoW.,,Not assessed in 2015.,Emergent vegetation establishing around wetland. It remains weedy outside the riparian area. Woody vegetation will not be permitted to establish on RoW due to pipeline integrity requirements.,"Field sprayed to edge of wetland, no weeds present in crop. Consider resolved",,,Resolved,,,,
