Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2013) Issue(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,3<s>rd</s> Year (2015) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 33-62-7 W6,Shallow open water: artificially created pond,Wetland is on the trajectory to reaching pre-construction functional condition.,"June 22, 2014 - emergent and submergent vegetation present along south edge.","June 25, 2015 - Submergent and emergent vegetation present around entire pond aquatic  - Vegetation establishing well. - Amphibians present.",,,
NW 33-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 70-75% vegetation established compared to off RoW. - Sparsely vegetated areas along ditchline. - Cross drains working effectively to drain water off RoW.","June 25, 2015- Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  Some bare patches on RoW exist, due to woody debris.  - Diversion berm/ditches are functioning and vegetating.",,,
NE 33-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 60-65% vegetation established compared to off RoW. - Extensive areas of bare soil along ditchline. - Cross drains working effectively to drain water off RoW. - Drainage located at kp 0+630. - Vegetation is well established along banks and erosion control measures installed are functional.","June 25, 2015- Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Some bare patches on RoW exist may be attributed to woody debris.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Some ponding water evident adjacent new construction,  - KP 0+800 replace missing sign and post on pipeline markers August 20, 2015 – pipeline marker posts replaced and sign repaired.",,,
NE 33-62-7 W6,Watercourse crossing: unnamed tributary to Seymour Creek - Kp 1+023,No concerns observed at the watercourse crossing at KP 0.6. Moderate vegetation establishment. Vegetation cover is expected to improve in subsequent years.,"June 22, 2014 - Minor subsidence located on west bank of the tributary, monitor","June 25, 2015- Vegetation established on banks no signs of erosion.  - Deciduous species emerging from within revetment banks.  - Ponding on ditch line - recommend cobble redistribution. August 20, 2015 – cobble redistributed.",,,
NW 34-62-7 W6,Treed bog,Wetland is on the trajectory to reaching pre-construction functional condition.,"June 21, 2014 - Vegetation is well established in treed bog located at kp 1+700. - Silt fence is in place at kp 1+700 - Silt fence is functional at time of assessment.","June 25, 2015 - Low areas of moderate vegetation establishment on RoW adjacent ditchline.  - Standing water and aquatic plants present - sedges and rushes.  - Deciduous species establishing well on ditchline.  Diversion berms are moving water across ROW.",,,
NW 34-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line starting at KP 1.9, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 21, 2014 - 70-75% vegetation establishment. - Sparse amounts of dead litter impeding vegetation growth.","June 25, 2015 - Vegetation coverage approximately 80%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Some bare patches on RoW exist may be attributed to woody debris.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - KP 1+600 - minor erosion on ditchline. August 20, 2015 – installed erosion control materials (straw wattles), monitor in 2016. Reset pipeline markers and sign at KP 1+860.",,,
NE 34-62-7 W6,Treed fen,Wetland is on the trajectory to reaching pre-construction functional condition.,"June 21, 2014- 70-75% vegetation establishment. - Poorly contoured ground at kp 2+200 has caused water to pond on south side of ditchline. - Silt fencing is in place on west edge of fen at kp 2+550. - Silt fence is non-functional and could be removed at any time. - Extremely wet and soft treed fen located from kp 2+550 to kp 2+850. - Erosion rill present at ditchline at kp 2+900, no berms installed along slope - continue to monitor. July 17, 2014 - Removed silt fence material at KP 2+550.","June 25, 2015 - Good vegetation establishment on RoW adjacent ditchline, - Standing water and aquatic plants present - sedges and rushes.  - Deciduous species establishing well on ditchline.  - Diversion berms are moving water across ROW – monitor for appropriate flow after adjacent construction cleanup. - no erosion noted during assessment.",,,
NE 34-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",No issues noted,"June 25, 2015 - Vegetation coverage approximately 85%, mostly grasses. Common weeds observed included horsetail and dandelion.  - Some bare patches on RoW exist may be attributed to woody debris.  - Signs of ATV activity exist bordering new construction side of RoW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Ponding water throughout.",,,
NW 35-62-7W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 60-65% vegetation established compared to off RoW. - Portion of RoW is located within a clear-cut block. - Large areas of bare soil attributed to disturbed soils and mulch present along ditchline, potentially impeding vegetation growth. July 17, 2014 - Implemented straw waddle erosion control material within rill erosion on west facing hill slope (KP 3+000 to KP 3+040).","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses. Common weeds observed included fireweed and clover. Deciduous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Coarse woody debris identified throughout the ROW. Monitor. - A strip of coarse woody debris was observed along the southern edge of the ROW. Likely from the adjacent new construction. At times, the encroachment of the coarse woody debris intersects with the ditch line. - Signs of ATV activity were noted. - Silt fence associated with the new construction to the south, has failed at KP 3+220, resulting in sediment being deposited across the ROW. - The erosion control measures implemented last year, at KP 2+900 to 3+030, appear successful. New construction tied in with a cross drain and silt fence on the opposite side of their ROW. Appears to be functioning well. Continue to monitor. August 20, 2015 – Reset pipeline markers and sign at KP 3+200.",,,
NE 35-62-7 W6,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.","June 22, 2014 - 65-75% vegetation cover on RoW compared to off RoW control. Extensive areas along RoW exhibiting bare areas with vegetation just starting to establish. - Weed cover on RoW is comparable to off RoW control. Non-noxious weeds consisting of dandelion and horsetail. - Poor drainage evident along ditchline (KP 3+800 to KP 3+875), intermittent ponding. Minimal flow of water out of ponding to low area off ditchline to the southwest. Continue to monitor, may need to implement cross drain if problem escalates in magnitude. - Significant area of relatively bare vegetation cover from KP 4+080 to KP 3+930. Extensive woody debris present within area. Continue to monitor","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses. Common weeds observed included clover and dandelion. Deciduous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Coarse woody debris identified throughout the ROW. Monitor. - A strip of coarse woody debris was observed along the southern edge of the ROW, from the adjacent new construction. - Signs of ATV activity were noted. - Pipeline marker sign at KP 4+100 crooked/falling over. Recommend re-establishing. August 20, 2015 – Reset pipeline marker sign at KP 4+100.",,,
