Legal Land Description (W6M),Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
NE 13-96-5,Forested,Low/Moderate Vegetation Establishment,0.00 to 0.64,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
NW 13-96-5,Forested,Low/Moderate Vegetation Establishment,0.64 to 0.95,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 24-96-5,Forested,Low/Moderate Vegetation Establishment,0.95 to 1.78,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 24-96-5,Forested,Rare Plant,1.5,"No scalloped moonwort (S1) were observed on July 30, 2014. Habitat has been restored to suitable conditions for this species at this location.",Monitor in 2016.,,,
SE 23-96-5,Forested,Low/Moderate Vegetation Establishment,1.78 to 2.63,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 23-96-5,Unnamed tributary to Midget Creek,Low Vegetation Establishment,2.40,"Low vegetation establishment observed on approach slopes of watercourse (Plates 2 to 4, Appendix B).",Monitor in 2015.,,,
SW 23-96-5,Forested,Low/Moderate Vegetation Establishment,2.63 to 3.47,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SE 22-96-5,Forested,Low/Moderate Vegetation Establishment,3.47 to 4.27,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 22-96-5,Forested,Low/Moderate Vegetation Establishment,4.27 to 5.20,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 22-96-5,Treed Fen,None,4.30 to 4.45,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
SW 22-96-5 (cont’d),Shrubby Swamp,None,5.10 to 5.14,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, based on the • growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow • due to the construction right-of-way.",Monitor in 2015.,,,
SE 21-96-5,Forested,Low/Moderate Vegetation Establishment,5.20 to 6.00,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
SW 21-96-5,Forested,Low/Moderate Vegetation Establishment,6.00 to 6.96,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,Monitor in 2015.,,,
