Biophysical Element,Location,Outstanding Issues,Potential Adverse Environmental Effect,Proposed Action and Schedule,VEC,GIS,Topic
Physical Environment,KP 0+350,"Minor trench line subsidence; however, area appears stable due to rollback","Unnatural topography, possible erosion","Monitoring for erosion, seed with native seed mix to promote re-vegetation,  Spring 2015",,,
Physical Environment,KP 1+100,"Minor trench line subsidence; however, area appears stable due to rollback","Unnatural topography, possible erosion","Monitoring for erosion, seed with native seed mix to promote re-vegetation,  Spring 2015",,,
Physical Environment,KP 3+300,"Minor trench line subsidence; however, area appears stable due to rollback","Unnatural topography, possible erosion","Monitoring for erosion, seed with native seed mix to promote re-vegetation, Spring 2015",,,
Physical Environment,KP 4+900,"Minor trench line subsidence; however, area appears stable due to rollback","Unnatural topography, possible erosion","Monitoring for erosion, seed with native seed mix to promote re-vegetation, Spring 2015",,,
Physical Environment,KP 5+900,"Minor trench line subsidence; however, area appears stable due to rollback","Unnatural topography, possible erosion","Monitoring for erosion, seed with native seed mix to promote re-vegetation, Spring 2015",,,
Physical Environment,KP 11+200,"Minor trench line subsidence; however, area appears stable due to rollback","Unnatural topography, possible erosion","Monitoring for erosion, seed with native seed mix to promote re-vegetation,  Spring 2015",,,
Physical Environment,"Sinkhole on ROW, KP 1+250",Subsidence,"Unnatural topography, low erosion potential due to gentle slopes","Monitoring for erosion, seed with native seed mix to promote re-vegetation, Spring 2015",,,
Physical Environment,"Sinkhole on ROW, KP 6+200",Subsidence,"Unnatural topography, low erosion potential due to gentle slopes","Monitoring for erosion, seed with native seed mix to promote re-vegetation, Spring 2015",,,
Vegetation,Entire ROW,Pine saplings to match adjacent Talisman ROW not planted,Slowed progression through seral stages,"Plant pine sapling tree bands to reflect conditions of TLM ROW, Spring 2015",,,
Vegetation,KP 7+100,Scentless Chamomile,Spreading of noxious weed,"Handpick plants during spring 2015, continue to monitor ROW",,,
Physical Environment,E: 307747 N: 6046478 UTM Zone 11,Swamp matting left on ROW,Industrial debris,Remove debris. Winter 2015,,,
Physical Environment,E: 308635 N: 6046141 UTM Zone 11,Two rig mats left on ROW,Industrial debris,Remove debris Winter 2015,,,
Physical Environment,E: 309358 N: 6046069 UTM Zone 11,Broken pieces of rig matting left on ROW,Industrial debris,Remove debris Winter 2015,,,
