Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,"AMEC PCEM Observations, 2013","Enbridge Environmental Inspector (EI) Observations, 2013","AMEC PCEM Observations, 2014","Enbridge Environmental Inspector (EI) Observations, 2014",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
1,0+000,NW 9-4-5 W2,crop,weeds,,,"Weedy on RoW, and off RoW.  No noxious weeds present.","Mowed, August 2014",Mowed August 2014,unresolved,Monitor,,,
1,0+000 to 1+800,NW 9-4-5 W2,pasture/hayland,"subsidence, topsoil",Backfill incomplete.  AMEC instructed by Enbridge to omit 0 to 1+800 for this monitoring event.,Subsidence,No issue identified.,,"Backfilled, 2013",resolved,,,,
1,0+190 to 0+220,NW 9-4-5 W2,wetland,silt fence,August 2013: Frog exclusion fencing /silt fencing was  left in place. At the time of the assessment topsoil had not been replaced on the RoW.,Frog fencing removed after topsoil replacement was completed. September 2013,,No issues identified - August 2014,"Topsoil replaced, frog fence removed September 2013",unresolved,Continue wetland health and function monitoring,,,
1,1+200,SE 9-4-5 W2,crop,"contouring, weeds",,,"June 2014: Looks as though there was extra topsoil at end of reclamation, and excess was placed at this location.  Weedy.",Mowed and broadcasted seed. No topsoil pile identified - August 2014,Mowed and broadcasted seed. August 2014,unresolved,Monitor,,,
1,1+600,SE 9-4-5 W2,crop,subsidence,No issue identified.,Daylighting trench subsidence,,,"Backfilled, 2013",resolved,,,,
1,1+825,SW 10-4-5 W2,pasture,weeds,"July 2013: On-RoW noxious weeds: annual sow-thistle, prickly lettuce, downy brome",Mowed in 2013,No issue identified.,,"Mowed, 2013",resolved,,,,
1,2+000,SW 10-4-5 W2,crop,"subsidence, silt fence",No issue identified.,"Subsidence, remove silt fence",,,,resolved,,,,
1,2+200,SW 10-4-5 W2,crop,"subsidence, silt fence",No issue identified.,"Subsidence, remove silt fence",,,,resolved,,,,
1,2+700,SW 10-4-5 W2,pasture,silt fence,No issue identified.,Remove silt fence,,,,resolved,,,,
1,2+915,SE 10-4-5 W2,pasture,"weeds, seed mix, establishment, compaction","July 2013: Stressed vegetation, weedy.  Noxious species: Canada thistle, common tansy.August 2013: Related to July 2013 observation (see above): patchy growth, exposed subsoil, moderate compaction, impacted rooting depth.",,"June 2014: Yellow sweet clover infestation, should mow and bag.  August 2014: Land use changed to hayland, unseeded",,None recommended,unresolved,Monitor,,,
1,2+975,SE 10-4-5 W2,pasture,subsidence,July 2013: Subsidence (0.03 m x 0.3 m ) expressed as cracks,,,Did not identify,None recommended,resolved,,,,
1,3+100,SE 10-4-5 W2,pasture,marker,No issue identified.,Missing RoW sign,,,Replaced sign June 2013,resolved,,,,
1,3+200 to 3+600,SE 10-4-5 W2 / SW 11-4-5 W2,pasture,"subsoil, stressed vegetation",July 2013: On-RoW noxious weeds: annual sow-thistle,Weeds observed,No issue identified.,,None recommended,resolved,,,,
1,3+360,SE 10-4-5 W2,pasture,"vegetation establishment, compaction, topsoil","August 2013: patchy growth, exposed subsoil, moderate to highly compacted.",,No issue identified.,,None recommended,resolved,,,,
1,3+400,SE 10-4-5 W2,pasture,subsidence,No issue identified.,Subsidence on sasktel cable,,,,resolved,,,,
