Legal Location (W6M),Land Use,Vegetation Issue(s),Soil Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
SE 12-79-12,Bush,No,No,--,None.,,,
NE 1-79-12,Treed,No,No,See Plate 1.,None.,,,
NW 1-79-12,Treed,No,Erosion,Gully erosion observed on the right-of-way at KP 0.12.  Erosion was repaired in September 2012.,Monitor in 2013.,,,
NW 1-79-12,Tributary of Henderson Creek,No,No,--,None.,,,
NE 2-79-12,Tributary of Henderson Creek,No,Erosion,Rill erosion observed on the right-of-way on the lower diversion berm of the east slope at KP 1.10.  See Plate 2.,"Monitor in 2013 and, if warranted, install additional erosion control measures and/or reseed.",,,
NE 2-79-12,Treed,Poor vegetation establishment,Erosion,Rill erosion observed on the right-of-way on diversion berms with poor vegetation establishment at KP 1.78. Poor vegetation establishment and tree planting survival on line of sight berm at KP 1.53.,"Monitor in 2013 and, if warranted, install additional erosion control measures and/or reseed at KP 1.78. Seed line of sight berm and monitor in 2013.",,,
NE 2-79-12,Treed,Rare plants - hairy buttercup,No,"Rare plant specialists visited the area of a watercourse at KP 1.15 which appeared to be disturbed by construction. Flooding also occurred at this watercourse in 2011. No plants were observed; however, plants were not observed during two previous site visits. This species is most readily observed early in the growing season.",Further monitoring is recommended early in the growing season (June to July) to determine if the mitigation measures were successful or unsuccessful.,,,
NW 2-79-12,Treed,No,No,--,None.,,,
NE 3-79-12,Treed,Poor vegetation establishment,No,Poor vegetation establishment and tree planting survival on line of sight berm at KP 2.29.,Seed line of sight berm and monitor in 2013.,,,
NW 3-79-12,Treed,Poor vegetation establishment,Subsidence,"Subsidence was observed on the right-of-way at KP 3.70, KP 3.75, KP 3.96 and KP 4.10. Poor vegetation establishment and tree planting survival on line of sight berm at KP 3.95.",Repair subsidence and monitor in 2013. Seed line of sight berm and monitor in 2013.,,,
NE 4-79-12,Hay,No,No,--,None.,,,
NE 4-79-12,Tributary of Henderson Creek,No,No,--,None.,,,
NE 4-79-12,Cultivated,No,Subsidence,Subsidence observed on the right-of-way at KP 4.73.  See Plate 3.,Repair subsidence and monitor in 2013.,,,
NW 4-79-12,Cultivated,No,No,--,None.,,,
NE 5-79-12,Tame pasture,Moderate vegetation establishment,Erosion,Rill erosion observed on the right-of-way at KP 6.54.  See Plate 4. Moderate vegetation establishment observed on the right-of-way on the steep slope at KP 6.54.,"Repair erosion, reseed and monitor in 2013. Monitor vegetation growth in 2013, and, if warranted, reseed.",,,
NW 5-79-12,Tame pasture,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way.  Moderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on right-of-way.","Monitor vegetation growth in 2013, and, if warranted reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 6-79-12,Tame pasture,"Poor vegetation establishment, weeds",No,"Poor vegetation establishment observed on the right-of-way.  Moderate to high densities of flixweed, stinkweed and lamb’s-quarters observed on the right-of-way.","Monitor vegetation growth in 2013 and, if warranted, reseed. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 6-79-12,Tributary to Henderson Creek,Rare plants - Carolina geranium,No,"Rare plant specialists visited a riparian area at KP 7.76. No plants were observed; however, this species is most readily observed early in the growing season. The right-of-way was narrowed at the riparian area and, therefore, it is likely that some of the population has been avoided.",Further monitoring is recommended early in the growing season (June to July) to determine if the mitigation measures were successful or unsuccessful.,,,
