Location Legal Location (WPM),Location Construction Start KP,Location Construction End KP,Location Environment Start KP,Location Environment End KP,Land Use/ Environmental Feature,Construction KP of Issue,Environment KP of Issue,UTM of Issue (14 U),Issue(s) Observed,Observations/Comments,Repair Work Completed by Enbridge,Status,Recommendations/Notes,VEC,GIS,Topic
NE 17-9-28,0.000,0.059,959.346,959.639,Facility Site/ Disturbed,--,--,--,No issues observed.,2016 – This area was not assessed. The Cromer Terminal is an area of permanent disturbance.,--,Resolved.,No further action required.,,,
NW 16-9-28,0.090,0.907,959.671,960.482,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NW 16-9-28,0.306,0.378,959.880,959.950,Wetland No. 1,0.306,959.880,339146E 5513517N,Vegetation – Weeds.,"2015 – Elevated trench crown in wetland causing pooling water (CH2M drainage and wetland assessment). 2016 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment at margins. Weed observations of white sweet-clover, perennial sow-thistle, Canada thistle, and foxtail barley. 2017 – Wetland health: healthy and high-moderate functional condition. Slow vegetation establishment at margins. Weed observations of white sweet-clover, perennial sow-thistle, Canada thistle, and foxtail barley. 2018 – Wetland health: healthy with problems and high-moderate functional condition. Margins of wetland cultivated. Few bare soil patches observed in cultivated margin. Weed densities are moderate on and off right-of-way, and observations include Canada thistle, perennial sow-thistle, foxtail barley, white sweet-clover, night-flowering catchfly and summer-cypress.",--,Unresolved.  Wetland vegetation in the riparian area is,unlikely to establish under the current land use (cultivation) and is considered resolved. Control weeds in Spring 2019 and monitor weed growth in 2019.,,,
NE 16-9-28,0.907,1.752,960.482,961.304,Cultivated,--,--,339768E 5513390N,Vegetation – Weeds.,"2016 – Equivalent land capability has been achieved. 2017 – A single patch of dense weeds were observed at one location on the right-of-way. Observations include yellow/white sweet-clover Canada thistle, perennial sow-thistle, foxtail barley, common dock, absinth wormwood, common plantain, white sweet-clover and wild oats. 2018 – A single patch of dense weeds was observed at one location on the right-of-way. Observations include Canada thistle, common dandelion, green foxtail, perennial sow-thistle, smooth brome and wild oat.",--,Unresolved.,Control weeds in Spring 2019 and monitor weed growth in 2019.,,,
NE 16-9-28 (cont’d),1.12,--,960.69,--,Cultivation,--,--,339970E 5513353N,Landscape – Compaction.,"2018 – Compaction observed in the topsoil in a 40 m x 20 m area, resulting in bare soil.",--,New Issue.,"The compaction issue was not evident during previous years of PCEM and may have worsened through contributing factors, such as cultivation with heavy machinery. Compaction may reduce under the current land use and through the natural freeze/thaw cycle. Monitor for reduced crop growth and compaction in 2019. If compaction persists, discing of the topsoil may be recommended.",,,
NE 16-9-28 (cont’d),0.926,1.026,960.5,960.6,Wetland No. 2,--,--,--,No issues observed.,2015 - Elevated trench crown on west margin of the wetland causing pooling water (CH2M drainage and wetland assessment). 2016 – Health and Function Assessment: healthy and low-moderate functional condition. Positive trajectory towards recovery observed.,--,Resolved.,The low-moderate functional condition is due to cultivation through the Class II/III zone of the wetland. No further action required.,,,
NE 16-9-28 (cont’d),1.046,1.105,960.62,960.68,Wetland No. 3,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 16-9-28 (cont’d),1.336,1.357,960.9,960.93,Wetland No. 4,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 16-9-28 (cont’d),1.603,1.643,961.16,961.2,Wetland No. 5,1.603,961.16,340413E 5513224N,No issues observed.,2016 – Change in vegetation composition noted due to increased bare soil. 2017 – Slow vegetation establishment due to cultivation within wetland margins. 2018 – Slow vegetation establishment due to cultivation within wetland margins. The uncultivated portion of the wetland is well vegetated and on a positive trajectory towards recovery.,--,Resolved.,Wetland vegetation in the riparian area is unlikely to establish under the current land use (cultivation) and is considered resolved. No further action required.,,,
NW 15-9-28,1.782,2.591,961.335,962.15,Cultivated,1.879,961.436,340690E 5513181N,Landscape – Erosion and compaction.,2015 – Minor rill erosion was observed (CH2M drainage and wetland assessment). 2016 – Minor rill erosion was observed crossing the right-of-way adjacent to the wetland. 2017 - Minor rill erosion was observed crossing the right-of-way adjacent to the wetland. Minor soil compaction was observed along right-of-way. 2018 – Minor rill erosion was observed crossing the right-of-way adjacent to the wetland within cultivation. The erosion is associated with overland flow into the adjacent wetland. Compaction of the topsoil was observed on the right-of-way within the riparian area of the adjacent wetland.,--,Unresolved.,Recontour the eroded area and disc the compacted topsoil. Monitor the erosion and compaction issues in 2019.,,,
NW 15-9-28,1.893,1.933,961.45,961.49,Wetland No. 6,--,--,--,No issues observed.,2016 – Minor rill erosion was observed adjacent to wetland. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 15-9-28 (cont’d),2.002,2.062,961.560,961.620,Wetland No. 7,--,--,--,No issues observed.,2016 – Change in vegetation composition noted due to increased bare soil. 2017 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 15-9-28 (cont’d),2.320,2.409,961.880,961.970,Wetland No. 8,2.320,961.880,341118E 5513076N,No issues observed.,"2016 – Slow vegetation establishment at wetland margins. 2017 – Weed observations of perennial sow-thistle and white sweet-clover at west wetland margin. 2018 – Weed observations of night-flowering catchfly, perennial sow-thistle and Canada thistle at wetland margin. Weed densities are low and equivalent on and off the right-of-way.",--,Resolved.,No further action is required.,,,
NE 15-9-28,2.591,3.400,962.150,962.964,Cultivated,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NE 15-9-28,2.648,2.697,962.210,962.260,Wetland No. 9,2.648,962.210,341445E 5513092N,Landscape – Elevated trench crown.,"2016 – Slightly elevated trench crown at east and west wetland margins, but hydrology not impeded. 2017 – Slightly elevated trench crown at east and west wetland margins, but hydrology not impeded. 2018 – Slightly elevated trench crown was observed and is resulting in an increase of weeds within the wetland. Wetland vegetation establishment on the trench crown is not occurring at a satisfactory rate.",--,Unresolved.,Repair the elevated trench crown in Winter 2018/2019. Weed densities should decrease within the wetland and wetland vegetation should establish upon correction of the elevated trench crown. Monitor elevated trench crown repair in 2019.,,,
NE 15-9-28,2.757,2.836,962.320,962.400,Wetland No. 10,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 15-9-28,2.926,3.164,962.490,962.730,Wetland No. 11,2.926,962.490,341832E 5513049N,No issues observed.,"2016 – Wetland health: healthy with problems and high-moderate functional condition. Bare soil at wetland margins. Weed observations of perennial sow-thistle, Canada thistle, and foxtail barley.  2017 – Wetland health: healthy with problems and high-moderate functional condition. Bare soil at east wetland margin. Weed observations of perennial sow-thistle and foxtail barley.  2018 – Wetland health: healthy with problems and high-moderate functional condition. Weed densities were equivalent on and off the right-of-way.",--,Resolved.,Wetland health and function is affected by cultivation within the wetland margin and will not improve under the current land use practices. The issue is considered resolved. No further action required.,,,
NE 15-9-28,3.065,3.084,962.630,962.650,Wetland No. 12,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 15-9-28 (cont’d),3.223,3.293,962.790,962.860,Wetland No. 13,3.223,962.790,342098E 5513015N,Vegetation – Weeds.,"2016 – Wetland health: healthy with problems and high-moderate functional condition. Contouring at east wetland margin appears to have elevated portions and a slight trench crown extends into the wetland basin. Bare soil at wetland margins. Slow wetland vegetation establishment at wetland margins and weed observations of white sweet-clover, perennial sow-thistle, Canada thistle, and foxtail barley.  2017 – Wetland health: healthy and high-moderate functional condition. Minor subsidence at west wetland margin. Contouring at east wetland margin appears to have elevated portions and a slight trench crown extends into the wetland basin, but hydrology not impeded. Weed observations of white sweet-clover, perennial sow-thistle, Canada thistle, and foxtail barley. 2018 – Wetland health: healthy with problems and high-moderate functional condition. The subsidence and elevated trench crown were not observed. Weed observations of perennial sow-thistle, Canada thistle and foxtail barley. Weed densities are higher on the right-of-way than off.",--,Unresolved.,The subsidence and elevated trench crown issues are considered resolved. Control weeds in Spring 2019 and monitor weed growth in 2019.,,,
NW 14-9-28,3.430,4.234,962.994,963.803,Pasture,3.650 to 4.212,963.219 to 963.784,342451E 5512974N to 343008E 5512918N,No issues observed.,"2016 – An area of poor vegetation establishment was observed requiring seeding with approved seed mix (Enbridge observed issue). 2016 – Reduced crop growth and density observed on the right-of-way. As a result, weeds were outcompeting desirable species. High densities of yellow sweet-clover, Canada thistle, perennial sow-thistle, foxtail barley, and moderate densities of curled dock were observed. No soil issues were observed. 2017 –Higher densities of yellow sweet-clover and white sweet-clover were observed on right-of-way than off. No soil issues were observed. General weed densities and vegetation establishment were improved from previous year. 2018 – Weed densities are low to moderate and are equivalent on and off the right-of-way.","August 2016 – weeds were mowed, and the right-of-way was reseeded between KP 3.600 to KP 4.212.",Resolved.,No further action required.,,,
NW 14-9-28 (cont’d),3.452,3.611,963.020,963.180,Wetland No. 14,3.452,963.020,342450E 5512979N,No issues observed.,2015 - Trench subsidence causing pooling water approximately 10 m long on east margin of the wetland (CH2M drainage and wetland assessment). 2016 – Minor contouring issue on the east wetland margin causing water to pool.  2017 – Slow vegetation establishment at east wetland margin. 2018 – Wetland vegetation is well established. Minor contouring issue was observed at the time of assessment.,--,Resolved.,"Repair of the minor contouring issue is not recommended in Winter 2018/2019. Wetland vegetation is established, and hydrological function is maintained. No further action required.",,,
NW 14-9-28 (cont’d),3.691,3.731,963.260,963.300,Wetland No. 15,3.691,963.260,342499E 5512981N,Vegetation – Establishment.,2016 – Slow vegetation establishment at east and west wetland margins. 2017 – Slow vegetation establishment at east and west wetland margins. 2018 – Slow vegetation establishment at the wetland margin.,--,Unresolved.,The presence of cattle is a contributing factor to the slow vegetation establishment at this site. Exclusion fencing around the wetland is recommended to allow the wetland vegetation to establish. Monitor vegetation establishment in 2019.,,,
NW 14-9-28 (cont’d),3.770,3.850,963.340,963.420,Wetland No. 16,--,--,342628E 5512958N 342643E 5512957N,Landscape – Subsidence.,2015 - Elevated trench crown/unnatural contouring causing altered hydrological function and inhibiting vegetation establishment throughout entire wetland along the right-of-way (CH2M drainage and wetland assessment). 2016 – Slow vegetation establishment at east and west wetland margins. 2017 – Wetland recovery is on a trajectory to equivalent health and function status. 2018 – New issue of subsidence over a 15 m x 5 m area within the wetland.,--,New Issue.,Repair subsidence within the wetland. Monitor subsidence repair in 2019.,,,
NW 14-9-28 (cont’d),3.949,4.079,963.520,963.650,Wetland No. 17,--,--,--,No issues observed.,2016 – Wetland located on temporary workspace only. Not disturbed during construction.,--,Resolved.,No further action required.,,,
NW 14-9-28 (cont’d),4.218,4.258,963.790,963.830,Wetland No. 18,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NE 14-9-28,4.234,5.043,963.803,964.624,Pasture,--,--,--,No issues observed.,2016 – Equivalent land capability has been achieved.,--,Resolved.,No further action required.,,,
NE 14-9-28 (cont’d),4.427,4.594,964.000,964.170,Wetland No. 19,4.427,964.000,343242E 5512899N,Landscape – Elevated trench crown.,"2015 – Elevated trench crown/unnatural contouring causing altered hydrological function on west and east margins of the wetland (CH2M drainage and wetland assessment). 2016 – Slightly elevated trench crown at east and west wetland margins, but hydrology not impeded. 2017 – Slightly elevated trench crown at east wetland margin, but hydrology not impeded. Evidence of some trench settlement compared to 2016. 2018 – Slightly elevated trench crown at east wetland margin, but hydrology not impeded. Evidence of additional trench settlement compared to 2016.",--,Unresolved.,"Repair of the trench crown at this location is not recommended in Winter 2018/2019, as the elevated trench crown is settling through natural processes and the wetland vegetation is well established. Monitor settlement of trench crown in 2019.",,,
NE 14-9-28 (cont’d),4.662,4.761,964.240,964.340,Wetland No. 20,4.662,964.240,343469E 5512868N,Vegetation –  Weeds.,"2016 – Slightly elevated trench crown at east and west wetland margins, but hydrology not impeded. 2017 – Slightly elevated trench crown at east and west wetland margins, but hydrology not impeded. 2018 – Elevated trench crown not observed after repairs undertaken in Winter 2017/2018. Increased incidence of weeds (perennial sow-thistle, foxtail barley) observed along trenchline within wetland.",Repaired elevated trench crown in Winter 2017/2018.,Unresolved.,Control weeds in Spring 2019 and monitor weed growth in 2019.,,,
NW 13-9-28,5.075,5.899,964.656,965.489,Cultivated,--,--,344591E 5512750N to 344405E 5512760N,No issues observed.,2015 – Elevated trench crown/unnatural contouring causing altered hydrological function on west and east margins of the wetland (CH2M drainage and wetland assessment). 2016 – Equivalent land capability has been achieved. 2018 – Extensive bare soil and reduced crop growth observed on the right-of-way due to cultivation in the wetland margins.,--,Resolved.,Reduced crop growth and bare soil is due to cultivation within saline wetland margins and is not likely a result of Project construction. No further action required.,,,
NW 13-9-28,5.432,5.508,965.000,965.080,Wetland No. 21,--,--,--,Landscape – Subsidence.,2016 – Wetland recovery is on a trajectory to equivalent health and function status. 2018 – Landowner concerned about subsidence within the wetland. Wetland was not monitored in 2018.,Subsidence to be repaired at the request of the landowner in Winter 2018/2019.,Unresolved.  Monitor subsidence repair in 2019.,,,,
NW 13-9-28 (cont’d),5.508,5.536,965.100,965.130,Wetland No. 22,5.508,965.100,344317E 5512793N,No issues observed.,"2016 – Wetland health: healthy with problems and low-moderate functional condition. Cultivation of wetland margins lowers wetland function, but overall, the wetland is on the trajectory towards recovery. Weed observations of perennial sow-thistle.  2017 – Land access was not granted at the time of the Year 2 PCEM field program. 2018 – Wetland health: unhealthy and low-moderate functional condition. Rutting caused by farm equipment observed in riparian area and Class II/III zone of the wetland. Weed observations include perennial sow-thistle and were at low density on and off the right-of-way. Wetland vegetation is well established in the non-cultivated zones.",--,Resolved.,The reduction in wetland health and function is due to current land use practices (cultivation) and is not associated with the Project. No further action required.,,,
NW 13-9-28 (cont’d),5.566,5.606,965.160,965.200,Wetland No. 23,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 13-9-28 (cont’d),5.636,5.727,965.230,965.320,Wetland No. 24,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
NW 13-9-28 (cont’d),5.676,5.787,965.270,965.380,Wetland No. 25,--,--,--,No issues observed.,2016 – Wetland recovery is on a trajectory to equivalent health and function status.,--,Resolved.,No further action required.,,,
