Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-J74,High vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW. Scentless Chamomile present along ditchline at KP 0+170. Recommend herbicide application.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. - Scentless chamomile present in tract at KP 0+020.  Recommend herbicide application. - Roach has slightly less vegetation cover compared to ROW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 13, 2015  - Herbicide application conducted along intermittent sections of ROW to control scentless chamomile. All flowered scentless chamomile plants were handpicked, bagged and removed from ROW before spraying was conducted. September 21, 2015 - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - Previous herbicide application appears to have established control over seasonal growth. -- No noxious or prohibited noxious weeds were observed however broadleaf vegetation was abundant throughout the area which suggests there is no residual effect.","June 20, 2016 KP 0+000 Cabin Receipt Meter Station - Station pad gravelled, no vegetation present within the fence line and 2.0 meter buffer of vegetation sprayed around fence line. July 21, 2016 - No noxious weeds observed within the Cabin Meter Station. - 80-90% vegetation established within tract compared to off ROW. - Scentless Chamomile observed along ROW at KP 0+025 and KP 0+400, primarily along ditchline. - Herbicide application conducted to control Scentless Chamomile.",,,
94P-4-J64,High vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW. • Large Scentless Chamomile plants present along ROW at KP 0+755. • Scentless Chamomile plants have already gone to seed between KP 0+755 and KP 0+800. Recommend herbicide application.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. -  Scentless chamomile present in tract from KP 0+750 to KP 0+830. Recommend herbicide application. - Roach has slightly less vegetation cover compared to ROW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 13, 2015  - All scentless chamomile plants found within rare plant zone were handpicked, bagged and removed from site from KP 0+750 to 0+830. No spraying was conducted in rare plant zone. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No weed concerns were observed.","June 20, 2016 - KP 0+700 valve. Vegetation present within fence line and around perimeter. Recommend vegetation control.   - KP 1+000 watercourse, banks are stable. July 21, 2016 - 80-90% vegetation established compared to off ROW. - Watercourse (KP 1+020) banks were stable and revetments were in good condition. - Scentless Chamomile observed along ROW between KP 0+600 and KP 0+700, primarily along ditchline. - Herbicide application conducted to control Scentless Chamomile.",,,
94P-4-J64,"Rare Plant - western Jacob's ladder (S4) – KP 0+700 to 1+000 On August 24, 2013, rare plant specialists visited the location and observed approximately 50 plants. Resolved: No further monitoring is recommended.",,,,,,
94P-4-J63,High vegetation establishment,"September 17, 2014 - 75-85% vegetation established compared to off ROW. Creek crossing at KP 1+020 is in good condition, banks are well vegetated.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. -  Patch of perennial sow thistle present at KP 1+400. Recommend herbicide application. - Roach has slightly less vegetation cover compared to ROW (75%) but appears to be stable with cross drains functioning well. - Creek crossing (KP 1+020) shows good vegetation growth on both north and south banks at this time. Bed appears stable with good cobble distribution and moderate flow. Revetment posts are functioning well with DeKaWe material successfully preventing sediment inflow to streambed. Areas of plastic matting exposed on banks appearing to inhibit vegetation growth. Sediment fence on south bank is functioning well. Recommend cutting out exposed plastic matting and removing silt fences. - Rollback on banks is functioning well as no foreign activity is present. - No subsidence or erosional issues evident within tract. July 13, 2015  - Silt fence was removed and exposed plastic matting was cut out on both north and south bank of creek crossing at KP 1+020. - Herbicide application conducted at KP 1+400 to control perennial sow thistle.  September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.","July 21, 2016 - 80-90% vegetation established compared to off ROW. - Small patches of Scentless Chamomile observed along ROW at KP 1+050, primarily along ditchline. - Herbicide application conducted to control Scentless Chamomile  September 24, 2016 - Previous herbicide application appears to have effectively controlled scentless chamomile. - KP 1+120 – straightened marker posts and signage at tributary crossing.  - Vegetation continues to establish, exhibiting good growth. No issues. - Perennial sow thistle, noted in 2015, no longer evident at KP 1+400, issue resolved.",,,
94P-4-J53,High vegetation establishment,"September 17, 2014 - 75-85% vegetation established compared to off ROW. Seasonal drain located at 1+950 in good condition. Seasonal drain located at 2+010 in poor condition, erosion across ditchline has undermined the matting installed. Recommend backfilling eroded sections and re-installing soil matting. October 4, 2014 - Kazmatt material removed due to undermining below the mats. Utilized hand tools, straw matting and 1 inch wooden stakes to install waddles along the eroded area of the cross drain to minimize further erosion.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. - Roach has slightly less vegetation cover compared to ROW (75%) but appears to be stable with cross drains functioning well. - Seasonal drain at KP 1+950 shows minimal vegetation growth within drain. Erosion has undermined the DeKaWe matting installing. Recommend erosion repair and installation of erosion control measures. - Seasonal drain at KP 2+050 appears to be slumping in some areas due to past erosion. Previous year’s erosion control measures are functioning effectively. Vegetation establishing in areas. Recommend the addition of straw material in areas of slumping to reduce any further erosion potential. July 12, 2015  - Seasonal drain at KP 1+950, existing erosion control DeKaWe material was tied into new straw waddle erosion control. The banks within drainage were re-contoured to reduce water velocity into drainage. Issue resolved. July 13, 2015  - Seasonal drainage at KP 2+050, Straw waddle erosion control was installed along erosion KP 2+050. The banks within drainage were re-contoured to reduce water velocity into drainage September 22, 2015.  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout.  - Previously addressed erosion issues in the non-classified drainage located at KP 1+950 appeared to be stabilizing, issue resolved.  - Previously addressed erosion concern located at KP 2+050 does not appear to be stabilizing. Edges of drainage show signs of fresh erosion, recommend monitoring and further stabilization, if required.  - No integrity concerns were noted.","July 21, 2016 - 80-90% vegetation established compared to off ROW. - Scentless Chamomile plants observed along ROW at KP 1+900, primarily along ditchline. - Herbicide application conducted to control Scentless Chamomile. - Erosion control measures installed at KP 1+950 and KP 2+050 are effective and in good condition.  No additional erosion has been observed and the waddles installed have successfully slowed down run-off and allowed vegetation to establish within the eroded area. No work recommended, issue resolved. September 24, 2016 - Previous herbicide application appears to have effectively controlled scentless chamomile.",,,
94P-4-J52,High vegetation establishment,"September 17, 2014 - 65-75% vegetation established compared to off ROW. Rollback present on ROW from KP 2+300 to KP 2+600 which is likely inhibiting vegetation growth.  Scentless Chamomile present along ROW at KP 2+650. Recommend herbicide application.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW - Scentless chamomile present from KP 2+320 to KP 2+650. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Excessive rollback present from KP 2+450 to KP 2+700 appears to be inhibiting vegetation growth. - Subsidence east of road crossing at KP 2+300. Recommend filling in with excess ROW material. July 13 - 15, 2015  - Subsidence east of road crossing at KP 2+300 was filled in using excess ROW material and straw waddle erosion control was installed to reduce water velocity into area. Issue resolved. - Herbicide application conducted from KP 2+100 to 2+200 and KP 2+350 to control scentless chamomile. All flowered scentless chamomile plants were handpicked, bagged and removed from ROW before spraying was conducted, including those noted from KP 2+320 to 2+650 September 22, 2015. - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable throughout the tract with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted. - Perennial sow thistle was identified along the roach. Herbicide application conducted to control perennial sow thistle.","July 21, 2016 - 80-90% vegetation established compared to off ROW. Rollback inhibiting vegetation growth from KP 2+450 to 2+700 is no longer evident, issue resolved. - Scentless Chamomile observed along ROW intermittently at KP 2+150 to KP 2+230 and KP 2+350, and KP 2+750, primarily along ditchline. - Intermittent herbicide application conducted to control Scentless Chamomile within the tract. September 24, 2016. - KP 1+120 – straightened marker posts and signage at tributary crossing.  - KP 2+150 and KP 2+200 to 2+250 – Intermittent herbicide application conducted to control Scentless Chamomile. - Vegetation continues to establish, exhibiting good growth. No issues. - Perennial sow thistle identified in 2015 is no longer evident, issue resolved.",,,
94P-4-J42,Moderate vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW. 2013 vegetation issue resolved. Perennial Sow Thistle present along ROW at KP 3+270. Recommend herbicide application.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. - Roach has slightly less vegetation cover compared to ROW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 14, 2015  - 5 scentless chamomile plants were handpicked bagged and removed from ROW at KP 3+500 September 22, 2015.  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable throughout the tract with no apparent subsidence, erosion or contour issues.   - Minor ditchline subsidence was observed, not affecting land use, recommend monitoring during 2016.","July 21, 2016 - 80-90% vegetation established compared to off ROW. - Scentless Chamomile observed along ROW at KP 2+940 and KP 3+022 and perennial sow thistle at KP 3+300, primarily along ditchline. - Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. September 24, 2016 - Previous herbicide application appears effective on majority of ROW. - KP 3+300 and 3+400 – herbicide application to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
94P-4-J42,"Rare Plant - western Jacob's ladder (S4) – KP 3+300 to 3+500 On August 24, 2013, rare plant specialists visited the location and observed 10 plants with limited regenerating vegetation. Resolved: No further monitoring is recommended.",,,,,,
94P-4-J41,Moderate vegetation establishment,"September 17, 2014 - 75-85% vegetation established compared to off ROW. 2013 vegetation issue resolved. Rollback present on ROW at KP 3+650 which is likely reducing vegetation growth.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. - Scentless chamomile present in rollback from KP 3+750 to KP 3+940. Recommend herbicide application. - Excessive rollback present from KP 3+750 to KP 3+940 appears to be inhibiting vegetation growth. - Roach has slightly less vegetation cover compared to ROW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 14, 2015  - Several single scentless chamomile plants were handpicked, bagged and removed from ROW intermittently throughout tract. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable throughout the tract with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.","July 21, 2016 - 80-90% vegetation established compared to off ROW.  Reduced vegetation cover from KP 3+750 to KP 3+940, noted in 2015, is no longer evident, issue resolved. - Scentless Chamomile observed along ROW at KP 3+750 and KP 4+150, primarily along ditchline. - Intermittent herbicide application conducted to control Scentless Chamomile. September 24, 2016 -- Previous herbicide application appears to have effectively control scentless chamomile.  - Straightened marker posts and signage in tract. - KP 4+050 – herbicide application to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
94P-4-J31,Moderate vegetation establishment,"September 17, 2014 - 75-85% vegetation established compared to off ROW. 2013 vegetation issue resolved. Fixed fallen TCPL pipeline marker posts. Issue resolved.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW. - Single scentless chamomile plants evident at KP 4+170, KP 4+250, and KP 4+600. Recommend herbicide application. - Creek crossing at KP 4+300 appears to be stable with vegetation establishing on banks. South bank exhibiting 70% vegetation growth compared to off ROW likely as a result of exposed plastic matting. Bed appears stable with good cobble distribution. Revetment posts are functioning well. Sediment fences on banks are functioning well. Recommend cutting out exposed plastic fabric and removing silt fences on bank. - Roach appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 14, 2015  - Scentless chamomile plants were handpicked, bagged and removed from ROW at KP 4+170, 4+250 and 4+600. - On both banks of creek crossing at KP 4+300 the silt fences and steel pegs within waddles were removed and exposed plastic matting was cut out.  Issue resolved. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. No weed concerns were observed. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Tributary appeared to be stable. Banks were well vegetated, no signs of erosion or slumping were observed.   - No integrity concerns were noted.","July 21, 2016 - 80-90% vegetation established compared to off ROW. - Perennial Sow Thistle observed at KP 4+700, primarily along ditchline. - Herbicide application conducted to control perennial sow thistle. September 24, 2016 - Previous herbicide application appears to have effectively controlled perennial sow thistle. - Scentless chamomile no longer evident, issue resolved.",,,
94P-4-I40,High vegetation establishment,"September 17, 2014 - 75-80% vegetation established compared to off ROW. Rollback present on ROW at KP 4+700 which may be contributing to reduced vegetation growth.","June 18, 2015  - Vegetation on ROW appears to be 85% comparable to off ROW.  - Patch of scentless chamomile at KP 4+720 and KP 4+900. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback within tract is functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 14, 2015  - Patches of scentless chamomile plants were handpicked, bagged and removed from ROW at KP 4+720 and at 4+900. - Patch of perennial sow thistle plants was handpicked at KP 5+000. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Road crossing appeared to be stable with no apparent erosion or other impact to the ROW  - No integrity concerns were noted.","July 21, 2016 - 80-90% vegetation established compared to off ROW.  Reduced vegetation cover at KP 4+700 (2014), no longer evident, issue resolved. - Perennial Sow Thistle at KP 5+000, primarily along ditchline. - Herbicide application conducted to control Perennial Sow Thistle. September 24, 2016 - KP 5+000 – additional herbicide application to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues. - Scentless chamomile noted in 2015 is no longer evident, issue resolved.",,,
94P-4-I30,Low vegetation establishment,"September 17, 2014 - 70-80% vegetation established compared to off ROW. 2013 vegetation issue resolved.","June 18, 2015  - Vegetation on ROW appears to be 80-85% comparable to off ROW with some areas exhibiting thinner cover likely attributed to heavier mulch densities.  - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees growing throughout. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.","July 21, 2016 - 80-85% vegetation established compared to off ROW. - Scentless chamomile observed at KP 5+500, primarily along ditchline. - Herbicide application conducted to control scentless chamomile. - A marker post was down at KP 5+600. Recommend re-setting post. September 25, 2016 - KP 5+600 – straightened and secured marker posts and signage, issue resolved.  - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
