Location Range,Issue(s),KP  Range,Prior Observations (Source),2013 TERA Observations,2013 Status,2013 Recommendation(s),2015 Assessment,December 2015 Details**Current Status/Action Plan,VEC,GIS,Topic
a‑59‑A/94O14 to c‑49‑A/94O14(KP 0.00 to KP 1.00),Physical Environment – Trench Crown,0.05 (2015 km 0-0.62),2010 (Westcoast): Water from hydrostatic testing ponding in low-lying areas near KP 0.00.2011 (TERA): Ponded water observed intermittently. Poor Drainage noted at KP 0.00.,"Trench crown restricting cross drainage, water ponding on northwest side of the construction right-of-way at KP 0.05.",Unresolved,Recontour trench crown and monitor.,Resolved,Site monitoring in 2015 did not note any trench crown; healthy plant community has established.,,,
a‑59‑A/94O14 to c‑49‑A/94O14(KP 0.00 to KP 1.00),Vegetation - Establishment,0.05 to 0.10 (2015 km 0-0.62),--,Low vegetation establishment observed on the construction right-of-way from KP 0.50 to KP 0.60.,Unresolved,Monitor vegetation establishment.,Resolved,Site monitoring in 2015 noted healthy plant community has established,,,
a‑59‑A/94O14 to c‑49‑A/94O14(KP 0.00 to KP 1.00),Infrastructure and Services - Refuse,0.50 to 2.50 (2015 km 3.51),--,Refuse (clear plastic sheeting caught in mulch) observed on the construction right-of-way from KP 0.50 to KP 2.50.,Unresolved,Dispose of refuse appropriately.,Resolved,Waste was picked up and properly disposed during summer 2015 assessment,,,
a‑59‑A/94O14 to c‑49‑A/94O14(KP 0.00 to KP 1.00),Physical Environment - Subsidence,0.8 (2015 km 0.62),2010 (Westcoast): Subsidence observed intermittently and issue causing water to pond from 2011 (TERA): No subsidence was noted from KP 0.5 to 2012 (TERA): Unable to assess subsidence due to snow cover.,Subsidence observed at KP 0.80 (30 m long x 1 m wide x 0.50 m deep) ponding water over the trench line.,Unresolved,Repair and monitor.,Ongoing monitoring required,2015 assessment noted a possible hole present; filled in with bullrush,,,
c‑49‑A/94O14 to a‑40‑A/94O14(KP 1.00 to KP 2.00),Physical Environment - Subsidence,2,2010 (Westcoast): Subsidence observed intermittently and issue causing water to pond from KP 1.00 to KP 2.00.2012 (TERA): Unable to assess subsidence due to snow cover.,Subsidence observed at KP 2.00 (20 m long x 5 m wide x 1.00 m deep) ponding water over the trench line.,Unresolved,Repair and monitor.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,,,
a‑20‑A/94O14 to a‑10‑A/94O14(KP 4.00 to KP 5.00),Physical Environment - Erosion,4.20 to 5.20,2010 (Westcoast): North and south approach slopes to watercourses required grading during construction. Potential exists for erosion on slopes.2011 (TERA): Unable to access watercourse due to ground conditions.2012 (TERA): Unable to assess soil erosion due to snow cover.,No erosion issues noted on approach slopes to watercourse in 2013.,Resolved,--,,,,,
a‑20‑A/94O14 to a‑10‑A/94O14(KP 4.00 to KP 5.00),Vegetation – Establishment,4.70 to 5.20,"2010 (Westcoast): Assess success and status of rare plants and revegetation in late summer/fall of 2011. 2011 (TERA): One clump of plants was observed on theConstruction right-of-way at the time of monitoring (UTM 493500/6623869). Could not confirm ID as the rare northern bog bedstraw, but the plant was able to produce seeds. Monitoring recommended in 2012.",Good vegetation establishment observed in 2013. Rare plant status not monitored.,Resolved,"Monitor rare plants, if warranted.",,,,,
,Watercourse (Unnamed Tributary,4.88,--,No issues observed in 2013.,Resolved,--,,,,,
a‑10‑A/94O14 to a‑100‑I/94O11(KP 5.00 to KP 6.00),Physical Environment - Subsidence,5.75,2010 (Westcoast): Monitor subsidence and drainage during 2011 from 5.30 to 9.20,Subsidence (10 m long x 5 m wide x 0.50 m deep) ponding water over the trench line observed along the construction right‑of‑way at KP 5.75.,Unresolved,Repair subsidence and monitor.,Resolved,2015 assessment did not note this issue,,,
a‑100‑I/94O11 to a-90-I/94O11(KP 6.00 to KP 7.00),Physical Environment - Erosion,6.80 to 7.00,2012 (Westcoast): Ditch and gully erosion alongside of trench crown. 2012 (TERA): Unable to assess soil erosion due to snow cover.,Rill erosion (200 m long x 0.40 m wide x 0.20 m deep) on west side of trench crown observed from KP 6.80 to KP 7.00. Gully repaired.,Unresolved,Monitor.,Resolved,2015 assessment did not note this issue,,,
