Pipeline Extension Location (KP),Issue(s),Note(s),Recommendations,VEC,GIS,Topic
0.0 – 1.0,Infrastructure and Services – Culvert,Crushed culvert observed at KP 0.54.,Replace  culvert  and  monitor  in  2015  to ensure  culvert is  not  affecting  natural drainage patterns,,,
0.0 – 1.0,Vegetation – Weeds,Low  density  of  dandelions  observed  along  access  road  at  KP 0.62.,Control weeds and monitor in 2015.,,,
1.00 – 2.00,Infrastructure and Services – Culvert and Refuse,Remnant  geotextile  fabric  observed  surrounding  buried  culvert at S6 channel at KP 1.04 (Crossing #18).,Dispose of refuse appropriately.,,,
1.00 – 2.00,Vegetation Establishment/Soil Admixing,"Moderate  vegetation  establishment from  KP  1.26 to  KP 1.42, KP 1.49  to  KP 1.59,  and  from  KP  1.90  to  KP  1.92  likely  due  to  soil admixing.",Monitor vegetation establishment in 2015.,,,
2.00 – 3.00,Vegetation Establishment/Soil Admixing,"Low vegetation establishment from KP 2.02 to KP 2.39, at KP 2.54, and  from  KP  2.62  to  KP2.68  likely  due  to  admixing  and  coarse fragments.","Reseed in spring and monitor vegetation establishment in fall, 2015.",,,
2.00 – 3.00,Physical  Environment – Erosion,Significant topsoil layer lacking from KP 2.02 to KP 2.39.,"Prepare  soil  to  be reseeded in  spring, 2015 and monitor vegetation establishment in fall, 2015.",,,
3.00 – 4.00,Infrastructure and Services – Refuse,Silt fence remnants observed on small drainage at KP 3.05.,Dispose of refuse appropriately.,,,
3.00 – 4.00,Vegetation Establishment/Soil Admixing,MLow vegetation establishment from KP 3.07 to KP 3.22.  oderate vegetation establishment from KP 3.24 to KP 3.31 and from KP 3.72 to KP 3.85 likely due to admixing.,"Reseed in spring, 2015  and  monitor vegetation establishment in fall, 2015.",,,
3.00 – 4.00,Physical  Environment – Erosion,10m  section  of  rilling  erosion  observed  along  east  side  of  ROW from KP 3.72 to KP 3.85.,Monitor  erosion in  2015  and repair if unstable.,,,
4.00 – 5.00,Physical  Environment – Erosion,Sloughing  of  ROW  observed  (5m  wide  x  5m  long  x  0.6m  deep) along high gradient at KP 4.00.,Monitor  erosion in  2015  and repair if unstable.,,,
