Legal Location,1<s>st</s> Year (2013) Issue/Condition,1<s>st</s> Year (2013) PCMP Recommendation(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
94P-4-J74,High vegetation establishment,None.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. Scentless Chamomile present along ditchline at KP 0+170. Recommend herbicide application.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. - Scentless chamomile present in tract at KP 0+020.  Recommend herbicide application. - Roach has slightly less vegetation cover compared to RoW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 13, 2015  - Herbicide application conducted along intermittent sections of RoW to control scentless chamomile. All flowered scentless chamomile plants were handpicked, bagged and removed from RoW before spraying was conducted. September 21, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Previous herbicide application appears to have established control over seasonal growth. No noxious or prohibited noxious weeds were observed at the time of assessment however broadleaf vegetation was abundant throughout the area which suggests there is no residual effect.",,,
94P-4-J64,High vegetation establishment,None.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Large Scentless Chamomile plants present along RoW at KP 0+755. • Scentless Chamomile plants have already gone to seed between KP 0+755 and KP 0+800. Recommend herbicide application.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. -  Scentless chamomile present in tract from KP 0+750 to KP 0+830. Recommend herbicide application. - Roach has slightly less vegetation cover compared to RoW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 13, 2015  - All scentless chamomile plants found within rare plant zone were handpicked, bagged and removed from site from KP 0+750 to 0+830. No spraying was conducted in rare plant zone. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No weed concerns were observed at the time of the assessment.",,,
94P-4-J63,High vegetation establishment,None.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. Creek crossing at KP 1+020 is in good condition, banks are well vegetated.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. -  Patch of perennial sow thistle present at KP 1+400. Recommend herbicide application. - Roach has slightly less vegetation cover compared to RoW (75%) but appears to be stable with cross drains functioning well. - Creek crossing (KP 1+020) shows good vegetation growth on both north and south banks at this time. Bed appears stable with good cobble distribution and moderate flow at time of assessment. Revetment posts are functioning well with DeKaWe material successfully preventing sediment inflow to streambed. Areas of plastic matting exposed on banks appearing to inhibit vegetation growth. Sediment fence on south bank is functioning well. Recommend cutting out exposed plastic matting and removing silt fences. - Rollback on banks is functioning well as no foreign activity is present. - No subsidence or erosional issues evident within tract. July 13, 2015  - Silt fence was removed and exposed plastic matting was cut out on both north and south bank of creek crossing at KP 1+020. - Herbicide application conducted at KP 1+400 to control perennial sow thistle.  September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.",,,
94P-4-J53,High vegetation establishment,None.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. Seasonal drain located at 1+950 in good condition. Seasonal drain located at 2+010 in poor condition, erosion across ditchline has undermined the matting installed. Recommend backfilling eroded sections and re-installing soil matting. October 4, 2014 - Kazmatt material removed due to undermining below the mats. Utilized hand tools, straw matting and 1 inch wooden stakes to install waddles along the eroded area of the cross drain to minimize further erosion.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. - Roach has slightly less vegetation cover compared to RoW (75%) but appears to be stable with cross drains functioning well. - Seasonal drain at KP 1+950 shows minimal vegetation growth within drain. Erosion has undermined the DeKaWe matting installing. Recommend erosion repair and installation of erosion control measures. - Seasonal drain at KP 2+050 appears to be slumping in some areas due to past erosion. Previous year’s erosion control measures are functioning effectively. Vegetation establishing in areas. Recommend the addition of straw material in areas of slumping to reduce any further erosion potential. July 12, 2015  - Seasonal drain at KP 1+950, existing erosion control DeKaWe material was tied into new straw waddle erosion control. The banks within drainage were recontoured to reduce water velocity into drainage. July 13, 2015  - Seasonal drainage at KP 2+050, Straw waddle erosion control was installed along erosion KP 2+050. The banks within drainage were recontoured to reduce water velocity into drainage September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment.  - Previously addressed erosion issues in the non-classified drainage located at KP 1+950 appeared to be stabilizing at the time of the assessment   - Previously addressed erosion concern located at KP 2+050 does not appear to be stabilizing. Edges of drainage show signs of fresh erosion, recommend monitoring and further stabilization, if required.  - No integrity concerns were noted at the time of assessment.",,,
94P-4-J52,High vegetation establishment,None.,"September 17, 2014 - 65-75% vegetation established compared to off RoW. Rollback present on RoW from KP 2+300 to KP 2+600 which is likely inhibiting vegetation growth.  Scentless Chamomile present along RoW at KP 2+650. Recommend herbicide application.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW - Scentless chamomile present from KP 2+320 to KP 2+650. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Excessive rollback present from KP 2+450 to KP 2+700 appears to be inhibiting vegetation growth. - Subsidence east of road crossing at KP 2+300. Recommend filling in with excess RoW material. July 13 - 15, 2015  - Subsidence east of road crossing at KP 2+300 was filled in using excess RoW material and straw waddle erosion control was installed to reduce water velocity into area. - Herbicide application conducted from KP 2+100 to 2+200 and KP 2+350 to control scentless chamomile. All flowered scentless chamomile plants were handpicked, bagged and removed from RoW before spraying was conducted, including those noted from KP 2+320 to 2+650 September 22, 2015 - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. - Soils appeared stable throughout the tract at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment. - Perennial sow thistle was identified along the roach.  Herbicide application conducted to control perennial sow thistle.",,,
94P-4-J42,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Perennial Sow Thistle present along RoW at KP 3+270. Recommend herbicide application.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. - Roach has slightly less vegetation cover compared to RoW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 14, 2015  - 5 scentless chamomile plants were handpicked bagged and removed from RoW at KP 3+500 September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. - Soils appeared stable throughout the tract at the time of assessment with no apparent subsidence, erosion or contour issues.   - Minor ditchline subsidence was observed, not affecting land use, recommend monitoring during 2016",,,
94P-4-J41,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. • Rollback present on RoW at KP 3+650 which is likely reducing vegetation growth.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. - Scentless chamomile present in rollback from KP 3+750 to KP 3+940. Recommend herbicide application. - Excessive rollback present from KP 3+750 to KP 3+940 appears to be inhibiting vegetation growth... - Roach has slightly less vegetation cover compared to RoW (75%) but appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 14, 2015  - Several single scentless chamomile plants were handpicked, bagged and removed from RoW intermittently throughout tract. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. - Soils appeared stable throughout the tract at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.",,,
94P-4-J31,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. • Fixed fallen TCPL pipeline marker posts.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW. - Single scentless chamomile plants evident at KP 4+170, KP 4+250, and KP 4+600. Recommend herbicide application. - Creek crossing at KP 4+300 appears to be stable with vegetation establishing on banks. South bank exhibiting 70% vegetation growth compared to RoW likely as a result of exposed plastic matting. Bed appears stable with good cobble distribution. Revetment posts are functioning well. Sediment fences on banks are functioning well. Recommend cutting out exposed plastic fabric and removing silt fences on bank. - Roach appears to be stable with cross drains functioning well. - No subsidence or erosional issues evident within tract. July 14, 2015  - Scentless chamomile plants were handpicked, bagged and removed from RoW at KP 4+170, 4+250 and 4+600. - On both banks of creek crossing at KP 4+300 the silt fences and steel pegs within waddles were removed and exposed plastic matting was cut out. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. No weed concerns were observed at the time of the assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Tributary appeared to be stable at time of assessment. Banks were well vegetated, no signs of erosion or slumping were observed.   - No integrity concerns were noted at the time of assessment.",,,
94P-4-I40,High vegetation establishment,None.,"September 17, 2014 - 75-80% vegetation established compared to off RoW. • Rollback present on RoW at KP 4+700 which is likely reducing vegetation growth.","June 18, 2015  - Vegetation on RoW appears to be 85% comparable to off RoW.  - Patch of scentless chamomile at KP 4+720 and KP 4+900. Recommend herbicide application. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback within tract is functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 14, 2015  - Patches of scentless chamomile plants were handpicked, bagged and removed from RoW at KP 4+720 and at 4+900. - Patch of perennial sow thistle plants was handpicked at KP 5+000. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Road crossing appeared to be stable at time of assessment with no apparent erosion or other impact to the RoW  - No integrity concerns were noted at the time of assessment.",,,
94P-4-I30,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW with some areas exhibiting thinner cover likely attributed to heavier mulch densities.  - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation continues to establish along the RoW with numerous willows and small trees growing throughout at time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.",,,
94P-4-I30,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 5+470 to KP 5+800 is holding water and contains emergent riparian vegetation at time of assessment. • Disturbance species present on the existing RoW crossing at KP 5+575.","June 18, 2015  - 70-80% vegetation established compared to off RoW.  - Treed Bog located between kp 5+470 to kp 5+840 has standing water on east side of RoW and contains emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  -  Wetland functional at time of assessment.",,,
94P-4-I20,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 18, 2015  - Vegetation on RoW appears to be 70-80% comparable to off RoW. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback within tract appears to be functioning well as no foreign activity is evident. - No subsidence or erosional issues evident in tract. September 22, 2015  - Vegetation appeared to be well established at the time of assessment with numerous sedges and grasses, willows and small trees were observed throughout the RoW.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment. - No weed concerns were observed at the time of assessment",,,
94P-4-I20,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 6+400 is holding water and contains emergent riparian vegetation at time of assessment.","June 18, 2015  - 70-80% vegetation established compared to off RoW.  - Treed Bog located between kp 6+000 and kp 7+130 has standing water on east side of RoW and contains emergent riparian vegetation.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.",,,
94P-4-I10,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 18, 2015  - Vegetation on RoW appears to be 80-85% comparable to off RoW.  - No weed issues evident within tract. - Roach appears to be stable showing good vegetation growth with cross drains functioning well. - Rollback in tract appears to be functioning well as no foreign activity is present at time of assessment. - No subsidence or erosional issues evident in tract. July 14, 2015  - A single scentless chamomile plant was handpicked, bagged and removed from site at KP 7+400. September 22, 2015  - Vegetation appeared to be well established at the time of assessment with numerous sedges and grasses, willows and small trees were observed throughout the RoW.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No weed concerns were observed at the time of assessment.",,,
94P-4-I10,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 7+450 is holding water and contains emergent riparian vegetation at time of assessment.","June 18, 2015  - 70-80% vegetation established compared to off RoW.  - Treed Bog located between kp 7+280 and kp 7+620 has standing water on east side of RoW and contains emergent riparian vegetation.  -  Wetland functional at time of assessment.  - Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.",,,
