Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number,Environmental Issue(s),Mitigation Measures Implemented During Construction,Outstanding Issues(s) from As-Built Report,Issue Observed 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
E1,NE 32-52-23,0.2 to 0.8,EL4-0021.00 EL4-0021.01,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,EDMONTON LOOP
E1,NE 32-52-23,0.2 to 0.8,EL4-0021.00 EL4-0021.01,Vegetation - Weeds,--,--,"Moderate density of stinkweed, white cockle and cleavers observed on construction right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,NE 32-52-23,0.2 to 0.44,EL4-0021.00,2Wetland - Class IV 008 Health: unhealthy (53%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (40%),Resolved,None.,,,EDMONTON LOOP
E1,NE 32-52-23,0.5 to 1.0,EL4-0021.00 EL4-0021.01,Soils - Admixing,None.,Potential admixing.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E1,NE 32-52-23,0.7 to 0.8,EL4-0021.00,2Wetland - Class III 008 Health: healthy with problems (72%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (60%),Resolved,None.,,,EDMONTON LOOP
E1,SE 32-52-23,0.8 to 1.3,EL4-0021.01,Vegetation - Weeds and Clubroot Disease,Shovel-sweep,Weed introduction and spread.,"High density of scentless chamomile, creeping thistle and perennial sow-thistle observed along construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,SE 32-52-23,1.22 to 1.3,EL4-0021.01,2Wetland - Class III 008 Health: unhealthy (53%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: unhealthy (42%),Resolved,None.,,,EDMONTON LOOP
E1,SW 33-52-23,E 0.2 to E 0.8,EL4-0022.00,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011.  Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
E1,SW 33-52-23,E 0.8,EL4-0022.00,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E1,NW 28-52-23,E 0.8 to E 1.6,EL4-0023.00 EL4-0023.01 EL4-0023.02,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Unresolved,"Monitor grass/crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,EDMONTON LOOP
E1,NW 28-52-23,E 1.6,EL4-0023.02,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,Minor subsidence on construction right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,,EDMONTON LOOP
E1,NW 28-52-23,E 1.7,EL4-0023.02,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"Moderate to high density of perennial sow-thistle, Russian pigweed and creeping thistle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.6 to E 1.9,EL4-0024.01,Vegetation - Weeds,Mowed Weeds.,Weed introduction and spread.,"Moderate density of perennial sow-thistle, scentless chamomile and creeping thistle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.7,EL4-0024.01,GSoils - Subsidence Soils - Erosion (Watercourse) Water Quality and Quantity  old Bar Creek,"Appropriate vehicle crossing installed. Isolation method used. Stabilized banks; installed roll back, seeded, planted shrubs. Silt fence installed along creek.",Potential subsidence of banks. Potential for sedimentation until vegetation is established.,No issues observed on construction right-of-way.,Resolved,Silt fence can be removed.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.7 to E 1.9,EL4-0024.01,Subsidence between Gold Bar Creek and Tributary to Gold Bar Creek,Compacted area in accordance with EPP.,Potential subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.9,EL4-0024.01,TSoils - Erosion (Watercourse) Water Quality and Quantity ributary to Gold Bar Creek,"Appropriate vehicle crossing installed. Open cut method used. Stabilized banks; seeded, planted shrubs. Silt fence installed along creek.",Potential for sedimentation until vegetation is established.,No issues observed on construction right-of-way.,Resolved,Silt fence can be removed.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.9 to E 2.1,EL4-0024.02,Vegetation - Weeds,"Mowed weeds, bagged and disposed of at Clover Bar landfill.",Weed introduction and spread.,Moderate density of perennial sow-thistle and scentless chamomile on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,SW 28-52-23,E 2.1,EL4-0024.02,Vegetation - Weeds and Clubroot Disease,Shovel-sweep.,Weed introduction and spread.,Moderate density of perennial sow-thistle and scentless chamomile on construction right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,NW 21-52-23,E 2.5 to E 2.9,EL4-0025.00 to EL4-0025.08,Vegetation - Weeds,Mowed weeds.,Weed introduction and spread.,"High density of white cockle, scentless chamomile and creeping thistle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1 (cont'd),NW 21-52-23,E 2.6,EL4-0025.00 to EL4-0025.08,Soils - Subsidence,Compacted area in accordance with EPP.,Potential subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
E1 (cont'd),NW 21-52-23,E 3.2,EL4-0025.09,Soils - Subsidence,--,--,Two areas of subsidence (1.5 m apart) observed on construction right-of-way during ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,,EDMONTON LOOP
E1 (cont'd),NW 21-52-23,E 3.4,EL4-0025.09,Vegetation - Weeds and Clubroot Disease,Compressed air.,Weed introduction and spread.,"High density of white cockle, scentless chamomile and creeping thistle on construction right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,EDMONTON LOOP
E1,SW 21-52-23,E 3.4,EL4-0025.09,Soils - Admixing Soils - Subsidence,Compacted area in accordance with EPP.,Potential admixing and subsidence.,No issues observed on construction right-of-way.,Resolved,None.,,,EDMONTON LOOP
