Legal Location (W4),1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW-4-81-13,,,"July 14, 2016 - Vegetation is well established with desirable species throughout tract. - Good establishment of grasses, shrubs and clover. - Intermittent herbicide application conducted to control Scentless Chamomile, Common Tansy and Narrow Leaf Hawks Beard, on the ROW in the vicinity of the valve site. - Marker post down - No erosion or subsidence issues.","Aug 15, 2017 - Common Tansy, recommend weed control. - Vegetation established at 80-100% of off ROW.  - No subsidence noted Aug 21, 2017 - KP 0+000 to 0+180 – Intermittent herbicide application conducted to control common tansy and scentless chamomile.","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW.  - Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - Common tansy identified sporadically throughout ROW. Recommend weed control. - No erosion or subsidence issues.  - KP 0+500 – Reset marker post and sign. Issue resolved. July 31, 2018 – KP 0+000 to 0+180 – Intermittent herbicide application conducted to control common tansy.",,,
SE-4-81-13,,,,"Aug 15, 2017 - Rollback in place and effective - Vegetation established at 80-100% of off ROW  - No subsidence noted - Marker/Sign posts down both sides of WC1 House River 2+290. Repairs recommended. Aug 21, 2017 – KP 0+180 to 0+370 – Intermittent herbicide application conducted to control common tansy. Sept 15, 2017 - Rollback on ROW at KP 0+500 providing effective access control in area.  Sept 19, 2017 - KP 2+290 – Repaired marker posts and signs at WC crossing. Issue resolved.","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - Common tansy identified sporadically throughout ROW. Recommend weed control. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 0+180 to 0+370 – Intermittent herbicide application conducted to control common tansy.",,,
NE-33-80-13 to NW-34-80-13,,,"July 14, 2016 - Low vegetation, KP 0+680 to 1+000, with desirable species throughout tract. - Herbicide application conducted to control Scentless Chamomile KP0+850. - Rollback 0+900 - KP1+000 construction taking place across ROW (drilling pad installation). - KP1+300 subsidence noted, no work recommended, issue is not inhibiting the recovery of the ROW, issue resolved.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW (particularly 0+680 to 1+000). Low vegetation issue noted in 2016 resolved. - No subsidence noted Aug 21, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 1+320 and 0+850 to 0+600), scentless chamomile (KP 1+140 and 0+410), and common tansy (KP 1+430 to 0+420).","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW. - KP 0+700 – Scentless chamomile observed, recommend weed control. - Rollback appears to be functioning. -Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – Intermittent herbicide application conducted to control common tansy and scentless chamomile (KP 0+800).",,,
SW-34-80-13,Watercourse (House River) - 13-WC-01 Moderate bank erosion,"Some rilling and sediment movement on east side of the House River (13-WC-01) has caused silt fence to become overloaded. Bare area contributing to erosion may require seeding, and silt fence. The area was re-contoured, sedimentation and erosion controls were installed and reseeded in December 2014. Monitor in 2015.","June 20, 2016 - No terrain instability was observed. Soil and slopes surrounding watercourse appear stable. ·Vegetation is sparse on the east bank of this watercourse crossing. Continued monitoring of vegetation is recommended. Rilling erosion and sediment movement noted in 2014 is no longer evident. No seeding recommended, at this time, 2014 repairs were effective. Issues resolved. Marker posts are down. July 14, 2016 - Low vegetation in muskeg soil condition away from watercourse (KP2+000). - Vegetation is well established with desirable species in remainder of tract. - Good establishment of grasses, shrubs and aquatic vegetation.  - Wetland functioning well - KP2+200 – WC-01. Watercourse is functioning well. Banks are stable and the bed is of cobble. The riparian area has dense vegetation on north side of creek south side is filling in. Monitor. -Signs missing at WC crossing. - Intermittent herbicide application conducted to control Scentless Chamomile. - No erosion or subsidence issues. Sept 20, 2016 - Scentless Chamomile were observed at KP 2+160. Herbicide application conducted to control.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW control. Previous low vegetation issues resolved - WC1- 2+291 –Vegetation has re-established and stable. - Scentless Chamomile at 2+160. Weed control recommended Aug 21, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 2+150 and 2+050), scentless chamomile (KP 2+160 to 2+000), and common tansy (KP 2+116 to 2+000).","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willow, birch, black spruce, and pine observed. - Stub berms are functional. - KP 2+000 – 2+530 – Scentless chamomile observed, recommend weed control. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  Watercourse – House River  • KP 2+175 – Removed synthetic wattles and rebar from west side of water crossing.  • Banks are fully vegetated and stable. • Water level is high with moderate flow.  • Beaver activity has river backed up. July 31, 2018 – KP 2+000 to 2+530 – Intermittent herbicide application conducted to control scentless chamomile.",,,
NW-27-80-13,,,"July 14, 2016 - Low vegetation with desirable species throughout tract. Continue to monitor. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - No erosion or subsidence issues Aug 21, 2017 – Intermittent herbicide application conducted to control scentless chamomile (KP 2+500 to 2+600) and common tansy (KP 2+550).","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Willow, birch, black spruce, and pine observed. - No noxious weeds were identified. Issue resolved. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NE-27-80-13,,,"July 14, 2016 - Low vegetation with desirable species throughout tract. Continue to monitor. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - No erosion or subsidence issues Aug 21, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 2+650 to 3+000) and common tansy (KP 3+225). Sept 15, 2017 - Rollback on ROW at KP 3+600 providing effective access control in area, although there is an access road to the south of ROW providing parallel access.","July 10, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 2+950 – Herbicide application conducted to control scentless chamomile.",,,
SE-27-80-13,Treed Wetland / Forested Minor ponding / Low vegetation cover,"Minor ponding observed, likely due to heavy rainfall, and low vegetation cover. No issues associated with low vegetation cover. Monitor in 2015.","June 20, 2016 – minor ponding is not inhibiting the ROW from recovering or reaching equivalent land capability, 2014 issue resolved. Low vegetation observed, there are no secondary (eg. erosion) environmental issues as result. Recommend monitoring.  Marker post down KP 4+000.  KP 4+000 scentless chamomile noted, recommend implementation of control measures. July 14, 2016 -- Vegetation is well established with desirable species throughout tract. - Good establishment of grasses, shrubs and aquatic vegetation.  - Wetland functioning well. - Intermittent application of herbicide to control perennial sow thistle and scentless chamomile at KP 4+000. - No subsidence. No issues.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Low vegetation issue resolved. - No erosion or subsidence issues - 4+000 Marker signs/posts down, recommend repairs. Sept 15, 2017 - Rollback on ROW at KP 4+150 providing effective access control in area, although there is an access road to the south of ROW providing parallel access.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - KP 3+850 – 4+000 - Perennial sow thistle observed, recommend weed control. - Cross drains are vegetated and functioning. No erosion or subsidence issues.  - KP 4+000 – Repaired sign/marker posts, issue resolved. July 31, 2018 – KP 3+850 to 4+000 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
SW-26-80-13,,,"July 14, 2016 -- Low vegetation with desirable species throughout tract. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - No erosion or subsidence issues. - Common Tansy at KP 4+150, recommend weed control. - Rollback Access Control is present and functioning. - 4+100 Marker signs/posts down, recommend repairs. Sept 19, 2017 –KP 4+100 – Marker posts repaired, issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native broadleaves, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout ROW.  - KP 4+470 – Handpicked perennial sow thistle patch. Continue to monitor. - Cross drains are vegetated and functioning. No erosion or subsidence issues. July 31, 2018 – KP 4+470 – Herbicide application conducted to control perennial sow thistle.",,,
NW-23-80-13,,,"July 14, 2016 -- Low vegetation with desirable species throughout tract. - Herbicide application conducted to control perennial sow thistle at KP4+750. - No subsidence. No issues.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Low vegetation issue resolved. - KP 4+750 - Perennial sow thistle observed, recommend weed control. Sept 19, 2017 - KP 4+900 – Removed skid. Issue resolved.","July 9, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good natural recovery of native mix forest vegetation including broadleaves, grasses, willows, poplars, green alders, birch, pine and black spruce found throughout ROW.  - No noxious weeds were identified. Previous issues resolved. - Cross drains are vegetated and functioning. No erosion or subsidence issues.",,,
NE-23-80-13,Unnamed Watercourse (13-WC-02),Monitor in 2015.,"June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear to be stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing. July 14, 2016 - KP5+300 WC-2 – banks stable, vegetation within riparian area excellent - Marker posts down at KP5+700 and 5+750","Aug 15, 2017 - WC2 5+351 –Vegetation has re-established and stable. - KP 5+700 and 5+750 Marker/Signs down, recommend repairs. Sept 19, 2017 – KP 5+700, 5+750, and 5+300 – Marker posts repaired. Issues resolved.",Watercourse – (12-WC-02)  - Banks are fully vegetated and stable. Excellent willow natural recovery along banks and snow full areas. - Water level is high with fast flow.,,,
