Approximate KP [Legal Location],1st Year Issue/ Condition,1st Year (2014) Issue(s),2nd Year (2015) PCRM Assessment and Work Completed,3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
KP 0+000 - 0+330 [LT 29 CON 6],crop - wheat (harvested) (KP 0+070) No issues observed,"Crop height was not assessed, but crop stubble on the ROW and the Control were comparable. There was one Canadian thistle noted onsite. Recommendations: None","August 13, 2015 - Mechanical weed control completed at Station 130 access trail. Garbage on trail was disposed of. - Mechanical weed control completed from KP 0+280 to 0+330.","June 8, 2016 - Field recently worked and seeded. Soybean crop emerging. - Sprout height on ROW appears to be similar to off ROW. - No subsidence or erosion evident throughout tract.",,,
KP 0+000 - 0+330 [LT 29 CON 6],crop - wheat (harvested) (KP 0+285) Rill erosion issues (moderate),"Less crop litter/stubble was noted surrounding rill erosion. Crop height was not assessed, but crop stubble on the ROW and the Control were comparable. Recommendations: Monitor in 2015 and implement erosion controls if necessary.","August 13, 2015 - Mechanical weed control completed at Station 130 access trail. Garbage on trail was disposed of. - Mechanical weed control completed from KP 0+280 to 0+330.","June 8, 2016 - Field recently worked and seeded. Soybean crop emerging. - Sprout height on ROW appears to be similar to off ROW. - No subsidence or erosion evident throughout tract.",,,
KP 0+330 - 0+480 [PCL 27-1 SEC M2031 LT 27],residential (KP 0+325 to 0+680) noxious weed issue (high),"A minor presence of noxious weeds (Canada thistle, perennial sow thistle and goat’s beard) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 13, 2015 - Mechanical weed control completed from KP 0+330 to 0+480 to control noxious weeds. - Removed silt fence along fenceline at KP 0+425, issue resolved. August 24, 2015 - Removed silt fence and hay bales from drainage D5 at KP 0+325, issue resolved.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Minor erosion evident at east approach to ROW from Deans Place Road. Recommend repairs. June 29, 2016 – erosion repair completed at east approach to ROW from Deans Place Road. - KP 0+330 - 0+480 mowed by 3rd party prior to site assessment, controlling weeds noted on June 8th. July 26, 2016 - Additional erosion repairs recommended at approach from Deans Place Road. Dec 7, 2016 - Erosion repair completed (quick cement) at east approach to ROW from Deans Place Road.",,,
KP 0+330 - 0+480 [PCL 28-1 SEC M2031 LT28],residential (KP 0+325 to 0+680) noxious weed issue (high),"A minor presence of noxious weeds (Canada thistle, perennial sow thistle and goat’s beard) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 13, 2015 - Mechanical weed control completed from KP 0+330 to 0+480 to control noxious weeds. - Removed sediment control material at KP 0+450 and 0+475, issue resolved.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses, broadleaf vegetation. - Canada thistle, bull thistle and ox-eye daisy evident throughout tract. - No subsidence or erosion evident in tract. June 29, 2016 – KP 0+330 - 0+480 mowed by 3rd party prior to site assessment, controlling weeds noted on June 8th.",,,
KP 0+490 - 0+577 [PCL 21-1 SEC M2031 LT 21],residential (KP 0+325 to 0+680) noxious weed issue (high),"A minor presence of noxious weeds (Canada thistle, perennial sow thistle and goat’s beard) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 14, 2015 - Mechanical weed control completed from KP 0+490 to 0+577 to control noxious weeds. - Removed sediment control material at KP 0+550, issue resolved.","June 8, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses, broadleaf vegetation. - Canada thistle, bull thistle and ox-eye daisy evident throughout tract. - No subsidence or erosion evident in tract. June 29, 2016 – 0+490 - 0+577 mowed by 3rd party prior to site assessment, controlling weeds noted on June 8th.",,,
KP 0+490 - 0+595 [PCL 22-1 SEC M2031 LT 22],residential (KP 0+325 to 0+680) noxious weed issue (high),"A minor presence of noxious weeds (Canada thistle, perennial sow thistle and goat’s beard) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 14, 2015 - Mechanical weed control completed from KP 0+490 to 0+595 to control noxious weeds. - Removed sediment control material at KP 0+580, issue resolved. August 24, 2015 - Removed silt fence at KP 0+600, issue resolved.","June 8, 2016 - 90-95% vegetation establishment on ROW. Vegetation consisting of native grasses and broadleaf vegetation. -  Canada thistle, bull thistle and ox-eye daisy evident throughout tract. - No subsidence or erosion evident in tract. June 29, 2016 - KP 0+490 - 0+595 mowed by 3rd party prior to site assessment, controlling weeds noted on June 8th. July 26, 2016 - Debris remains on ROW from landowner, recommend removal. Dec 7, 2016 - Debris from landowner within ROW removed, issue resolved.",,,
KP 0+577 - 0+625 [PCL 19-1 SEC M2031 LT 19],residential (KP 0+325 to 0+680) noxious weed issue (high),"A minor presence of noxious weeds (Canada thistle, perennial sow thistle and goat’s beard) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 14, 2015 - Mechanical weed control completed from KP 0+577 to 0+625 to control noxious weeds.","June 8, 2016 - 90-95% vegetation establishment on ROW. Vegetation consisting of native grasses and broadleaf vegetation. -  Canada thistle, bull thistle, ox-eye daisy evident throughout tract. Cattails observed at KP 0+610 to KP 0+640 in naturally draining area. - No subsidence or erosion evident in tract. June 29, 2016 – KP 0+577 - 0+625 mowed by 3rd party prior to site assessment, controlling weeds noted on June 8th.",,,
KP 0+625 - 0+670 [PCL 18-1 SEC M2031 LT 18],residential (KP 0+325 to 0+680) noxious weed issue (high),"A minor presence of noxious weeds (Canada thistle, perennial sow thistle and goat’s beard) was noted on the ROW. Recommendations: Monitor in 2015, implement weed control as required.","August 14, 2015 - Mechanical weed control completed from KP 0+625 to 0+670 to control noxious weeds. - Removed sediment control material at KP 0+650, issue resolved.","June 8, 2016 - 90-95% vegetation establishment on ROW. Vegetation consisting of native grasses and broadleaf vegetation. - Seasonal drainage area in good condition with positive vegetation establishment; draining in lower area with minimal water present. - Ox-eye daisy and Canada thistle observed throughout tract. - No subsidence or erosion evident within tract. June 29, 2016 - KP 0+577 - 0+625 mowed by 3rd party prior to site assessment, controlling weeds noted on June 8th. - Intermittent mechanical weed control KP 0+625 to 0+670 along east hill slope.",,,
KP 0+595 - 0+750 [PCL 60-1 SEC M2031 BLK 61],Watercourse [15] (KP 0+700) Non-native species (moderate),"Non-native species have become established at the open cut crossings. Recommendations: Monitor in 2015 for establishment of native species in the riparian zone. If native species do not establish in riparian zone, develop a plan to remove non-native species and reseed with native species.","August 14, 2015 - Mechanical weed control completed from KP 0+595 to 0+720 to control noxious weeds and non native species. - Removed sediment control material on hill slope leading to WC 15 at KP 0+690 and 0+720, issue resolved. August 25, 2015 - Removed silt fence running parallel along hill slopes leading to watercourse 15 (KP 0+722), issue resolved. Silt fence at bottom of hill slopes running perpendicular to ROW were left in place; re-assess in 2016 for removal / establishment of vegetation along hill slopes.","June 8, 2016 - Watercourse 15 at KP 0+720 appears stable. Moderate flow observed. Both banks stable with good vegetation establishment including poplar and dogwood species. Revetment posts functioning well. Gravel distribution uniform. Recommend removal of silt fence, hay bales, and erosion control materials on both East and West sides of watercourse. - Ox-eye daisy and Canada thistle observed throughout tract. Tall Buttercup observed on both East and West banks of the watercourse.  Recommend implementation of control measures. - Diversion berms leading to watercourse were observed to be well vegetated and stable. June 28, 2016 – Removed erosion control materials (Filtrexx sediment logs) within diversion berms on west hill slope at KP 0+740 and KP 0+750. June 29, 2016 – Intermittent mechanical weed control from KP 0+525 to 0+845 for weed control.",,,
KP 0+595 - 0+750 [PCL 60-1 SEC M2031 BLK 61],near a watercourse crossing (KP 0+680 to 0+810) noxious weed issue (high),"A major presence of noxious weeds (Canada thistle and wild carrot) was noted on the ROW.  The slopes surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: Monitor in 2015, implement weed control as required.","August 14, 2015 - Mechanical weed control completed from KP 0+595 to 0+720 to control noxious weeds and non native species. - Removed sediment control material on hill slope leading to WC 15 at KP 0+690 and 0+720, issue resolved. August 25, 2015 - Removed silt fence running parallel along hill slopes leading to watercourse 15 (KP 0+722), issue resolved. Silt fence at bottom of hill slopes running perpendicular to ROW were left in place; re-assess in 2016 for removal / establishment of vegetation along hill slopes.","June 8, 2016 - Watercourse 15 at KP 0+720 appears stable. Moderate flow observed. Both banks stable with good vegetation establishment including poplar and dogwood species. Revetment posts functioning well. Gravel distribution uniform. Recommend removal of silt fence, hay bales, and erosion control materials on both East and West sides of watercourse. - Ox-eye daisy and Canada thistle observed throughout tract. Tall Buttercup observed on both East and West banks of the watercourse.  Recommend implementation of control measures. - Diversion berms leading to watercourse were observed to be well vegetated and stable. June 28, 2016 – Removed erosion control materials (Filtrexx sediment logs) within diversion berms on west hill slope at KP 0+740 and KP 0+750. June 29, 2016 – Intermittent mechanical weed control from KP 0+525 to 0+845 for weed control.",,,
