Environmental Issue/Concern,Legal Location/Site,Current Status 2010,Current Status 2011,Current Status 2012,Current Status 2013,Current Status 2014,Recommendations/Schedule for 2015,VEC,GIS,Topic
"Conversion
Site contours","SW 7-20-28-W3
Dig 7
MLV 2 (7+482.469)","Some soil re-contouring and seeding
Re-contour soil and seed- spring thru Fall 2011",Site completed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","NW 34-19-26-W3
MLV 3","Electrical Trench sinkage requires re-contouring
Re-contour soil and seed- spring thru fall 2011",Site completed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours",SW 34-19-25-W3  Liebenthal MS 9+850,"Electrical Trench sinkage requires re-contouring
Re-contour soil and seed- spring thru fall 2011",Site completed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","SW 27-19-23-W3
MLV 4","Electrical Trench sinkage requires re-contouring
Re-contour soil and seed- spring thru fall 2011",Site completed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","SW 1-19-18-W3
Dig 60
MLV 5(23+786.377)","Some soil re-contouring
Re-contour soil and seed- spring thru fall 2011",Site completed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","SE 1-19-18-W3
MLV 6","Ruts around site to be repaired - Top soil may be required for clean-up.
Repair ruts around site - haul in top soil if required for clean-up - spring thru Fall 2011.",Site completed - No further work required,"•  No issues, No work required",•  Minor subsidence around Keystone Valve.,"•  No issues, No work required •  Minor subsidence around Keystone Valve has been repaired by Keystone Operations",Monitor in 2015,,,
"Conversion
Site contours","SE 19-17-23-W2
Belle Plain + 6.3km
(MLV 15)","Recontouring of subsoil and topsoil, cultivate
Re-contour subsoil and topsoil, cultivate - spring thru fall 2011",Site completed - No further work required,•  Area between valve is un-farmable and was disked and re-seeded in 2012,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","SE 2-17-21-W2
Dig 510","Topsoil not replaced evenly - requires re-grading to level out work area and even up topsoil depths
Re-grade topsoil to level out work area and even up topsoil depths - Spring thru fall 2011",Site completed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","SE 2-17-20-W2
Steelman MS","Some soil re-contouring and seeding
Re-contour soil and seed- spring thru Fall 2011",Site completed - No further work required,•  Some small areas on the SW side of the meter station were re-seeded,"•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
"Conversion
Site contours","NE 36-16-20-W2
Belle Plain +45.3km RV","One topsoil stockpile to be cleaned up
Cleanup topsoil stockpile - Spring thru Fall 2011",Topsoil salvaged and removed - No further work required,"•  No issues, No work required","•  No issues, No work required","•  No issues, No work required",No issues. PCEM is considered to be complete.,,,
