Legal Location (W6M),Land Use,Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
NW 19-83-16,Forested,Vegetation - Establishment,Establishment issue observed from KP 0.38 to KP 0.43. Vegetation parameters on right-of-way not equal to <s>vegetation parameters off right-of-way.</s>,Reseed impacted area and monitor vegetation establishment in 2014.,,,
NW 19-83-16,Forested,Vegetation - Weeds,"Low densities of shepherd’s-purse, common peppergrass, common plantain, maple-leaved goosefoot, stinkweed, perennial sow-thistle, Canada thistle, foxtail barley and prickly lettuce were observed. Moderate densities of lamb's-quarters and annual hawk’s-beard observed.",Control weeds and monitor in 2014.,,,
NW 19-83-16,Forested,Soil - Rutting,Rutting observed from KP 0.12 to KP 0.38.,Repair rutting and monitor in 2014.,,,
SW 19-83-16,Hay,Soil - Erosion,"Erosion issue observed from KP 1.00 to KP 1.36 (20 cm wide, 15 cm deep).",Repair eroded area and monitor in 2014.,,,
SW 19-83-16,Hay,Vegetation - Weeds,"Low densities of shepherd’s-purse, common peppergrass, dandelion, annual hawk’s-beard and foxtail barley were observed. High densities of lamb's-quarters and stinkweed observed.",Control weeds and monitor in 2014.,,,
NW 18-83-16,Hay,Soil - Erosion,"Erosion issue observed from KP 1.53 to KP 1.96 (35 cm wide, 30 cm deep).",Repair eroded area and monitor in 2014.,,,
NW 18-83-16,Hay,Vegetation - Weeds,"Low densities of wild buckwheat, common plantain, dandelion, annual hawk’s beard, common peppergrass and shepherd’s-purse were observed. A moderate density of lamb’s-quarters was observed. A high density of stinkweed was observed.",Control weeds and monitor in 2014.,,,
NE 18-83-16,Cultivated,Vegetation - Establishment,Crop parameters (height and maturity) not equal to off right-of-way. No soil issues observed.,Monitor in 2014.,,,
NE 18-83-16,Forested,Vegetation - Weeds,"Weed issue observed from KP 2.80 to KP 2.98. Low densities of foxtail barley observed. Moderate densities of dandelion, annual hawk’s-beard, lamb’s-quarters, stinkweed and Bicknell’s geranium observed.",Control weeds and monitor in 2014.,,,
SE 18-83-16,Pasture,No issues observed,--,--,,,
SW 17-83-16,Pasture,Vegetation - Establishment,Establishment issue observed from KP 2.98 to KP 3.86. Vegetation parameters on right-of-way not equal to <s>vegetation parameters off right-of-way.</s>,Reseed impacted area and monitor vegetation establishment in 2014.,,,
SE 17-83-16,Pasture,Vegetation - Weeds,"Weed issue observed along entire quarter-section. Low densities of Bicknell’s geranium, annual hawk’s-beard, dandelion, common horsetail, ball mustard and spear-leaved goosefoot were observed. Moderate densities of wild buckwheat and lamb’s-quarters were observed. A high density of stinkweed was observed.",Control weeds and monitor in 2014.,,,
SE 17-83-16,Pasture,Vegetation - Establishment,Establishment issue observed at KP 4.08. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way. No soil issues observed.,Reseed impacted area and monitor vegetation establishment in 2014.,,,
SE 17-83-16,Pasture,Soil – Erosion,"Erosion issue observed from KP 4.46 to KP 4.48 (30 cm wide, 20 cm deep).",Repair eroded area and monitor in 2014.,,,
SE 17-83-16,Pasture,Soil – Erosion,"Erosion issue observed from KP 4.70 to KP 4.71 (30 cm wide, 20 cm deep)",Repair eroded area and monitor in 2014.,,,
SW 16-83-16,Pasture,Vegetation - Weeds,"Weed issue observed from KP 4.93 to KP 5.40. Low densities of Bicknell’s geranium, wild buckwheat and dandelion observed. A high density of stinkweed was observed.",Control weeds and monitor in 2014.,,,
SE 16-83-16,Forested,No issues observed.,--,--,,,
NE 16-83-16 (west side of Beatton River),Pasture,Vegetation - Weeds,"Weed issue observed from KP 6.45 to KP 6.80. Low densities of dandelion, Bicknell’s geranium, lamb’s-quarters, Canada thistle, Shepherd’s-purse and common plantain observed.",Monitor in 2014.,,,
