Legal Location (W4M),Land Use,1st Year (2013) Issue(s),1st Year (2013) Notes,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SW-2-83-6 W4,Mineral Wetland / Forested,None,Wetland areas had moderate to high vegetation cover. Excellent vegetation growth at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at temporary work space (TWS) areas.,"July 11, 2014 • 80-85% vegetation establishment compared to off RoW. - Rollback present on RoW at kp 0+025. - Minor Subsidence located at kp 0+050, monitor. - Scentless Chamomile present on RoW at kp 0+025. Weed control recommended. July 30, 2014 - Hand picked, bagged, and disposed of scentless chamomile located at kp 0+025.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - Vegetation on RoW is 85-90% compared to off RoW control. - Perennial sow thistle evident within tract from KP 0+000 to KP 0+130. Monitor and control, as required. - Rollback at beginning of tract from KP 0+025 to KP 0+100 appears to be functioning well. - Subsidence noted, within rollback area remains at KP 0+050, appears stable with good vegetation establishing within. Continue to monitor. July 22, 2015 - Herbicide application conducted to control perennial sow thistle, scentless chamomile, and Canada thistle. September 12, 2015  - Perennial sow thistle, Canada thistle, scentless chamomile were identified during the assessment. Herbicide application was conducted to control noxious weeds.",,,
NW-2-83-6,Forested,Low vegetation cover/Low cover of weeds,"This area was used as a pipe storage area in summer 2013. Vehicle and machine traffic had cleared much of the site of vegetation. Although low vegetation cover, no environmental concerns (e.g., soil erosion) observed. Low cover of scentless chamomile was observed.","July 11, 2014 • 80-85% vegetation establishment compared to off RoW, 2013 low vegetation cover issue is resolved. - Scentless chamomile present on RoW at kp 0+300. Weed control recommended. July 30, 2014 - Hand picked, bagged, and disposed of scentless chamomile located at kp 0+300. - Scentless Chamomile present on adjacent lines located with RoW.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 9, 2015 - Vegetation establishment 80-90% compared to off RoW control. - Scentless chamomile and perennial sow thistle evident intermittently within tract from KP 0+150 to KP 0+960. Recommend herbicide application. - Hydrovac hole evident at foreign line crossing at KP 0+150. Recommend filling in hole. Complete in 2016 - No subsidence or erosion issues evident within tract. July 22, 2015 - Herbicide application conducted to control perennial sow thistle. September 12, 2015  - Vegetation well established. Native vegetation appeared to be establishing on RoW.  - Soils and slopes appeared to be stable at time of assessment. No subsidence, erosion, or other integrity concerns were noted.  - Perennial sow thistle, Canada thistle, scentless chamomile were identified during the assessment. Herbicide application was conducted to control noxious weeds.",,,
NW-2-83-6,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • Good vegetation cover along RoW. July 11, 2014 • 80-90% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on RoW.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 9, 2015 - Vegetation establishment 90% compared to off RoW control, 2013 low vegetation cover issue is resolved. - Mineral wetland within tract appears to be stable at time of assessment. Good wet-tolerant species established such as sphagnum mosses, grasses and mars marigolds. Hydrology is maintained in wetland as indicated by saturated, organic soils. - No subsidence or erosion issues evident within tract. Subsidence noted in 2013, no longer evident, issues resolved.",,,
SW 11-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • Various areas of reduced vegetation cover along RoW. Continue to monitor. July 11, 2014 • 80-90% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on RoW. - Rill erosion next to ditchline located at kp 1+050, monitor.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 80-90% vegetation establishment compared to off-RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Rill erosion next to ditchline located at KP 1+050, well vegetated at this time. Continue to monitor. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are stable and well vegetated at this time. - Perennial Sow Thistle present along RoW at 1+000. Recommend herbicide application. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW  - Soils stable with good vegetation cover, no integrity concerns were noted. No additional environmental concerns were identified. - Herbicide application was conducted to control noxious weeds.",,,
NW 11-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 11, 2014 • 80-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on RoW.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 85% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are stable and well vegetated at this time. - Rill erosion next to ditchline located at KP 2+430, well vegetated at this time. Continue to monitor. - Perennial Sow Thistle present along RoW at KP 2+300 and KP 2+370. Recommend herbicide application to mitigate weed growth. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW - Minor subsidence noted along ditch line (KP 2+450), continue to monitor. Subsidence at screw anchor and bell locations noted in 2013, is no longer evident issue resolved. - Soils stable with good vegetation cover. No integrity concerns were noted and no additional environmental concerns were identified.  - Herbicide application was conducted to control perennial sow thistle.",,,
NE 10-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 11, 2014 • 80-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Minor patches of reduced vegetation cover present on RoW. - Wetlands within tract are establishing, 50-70% vegetation establishment compared to off RoW at this time. - Hand-picked, bagged, disposed of a single scentless chamomile plant at kp 3+400.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 85% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are establishing, 50-70% vegetation establishment compared to off-RoW. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - Rollback present on RoW at 2+850 effective at access control at time of assessment. - Perennial sow thistle present along RoW at KP 2+650 and between KP 2+900 and KP 3+500. Recommend herbicide application. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW  - Soils stable with good vegetation cover. No integrity concerns were noted and no additional environmental concerns were identified. - Intermittent herbicide application was conducted to control perennial sow thistle.",,,
SE 15-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 11, 2014 • 70-80% vegetation establishment compared to off RoW. 2013 issue with low vegetation is resolved. - Road crossing at kp 3+500.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - No subsidence or erosion issues evident from aerial assessment.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 80% vegetation establishment compared to off-RoW. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW. - Soils stable with good vegetation cover. No subsidence or other integrity concerns were noted and no additional environmental concerns were identified. Subsidence at screw anchor and bell locations noted in 2013, is no longer evident issue resolved.",,,
SW 15-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • patches of reduced vegetation cover along RoW. Continue to monitor. July 11, 2014 • 40-50% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are establishing, 60-70% vegetation establishment compared to off RoW at this time. - Minor patches of reduced vegetation cover present on RoW.","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 50% vegetation establishment compared to off-RoW, tract dominated by peat moss soil. - Conifer regeneration present along RoW, 10-15 saplings observed. - Minor patches of limited vegetation cover throughout tract, monitor  - Wetlands within tract are establishing, 60-70% vegetation establishment compared to off-RoW. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. July 23, 2015 - Herbicide application conducted to control perennial sow thistle. September 12, 2015  - Vegetation well established with low shrubs and willows throughout RoW  - Soils stable with good vegetation cover, no integrity concerns were noted. No additional environmental concerns were identified  - Foreign company line has stockpiled soils directly to the west of roach along this quarter section, these stockpiled soils contain large concentrations of perennial sow thistle which may negatively affect TCPL RoW, continue to monitor. - Intermittent herbicide application was completed to control perennial sow thistle.",,,
NW 15-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 11 • Vegetation cover is 70-80% of off RoW - 5+000 - 5+150 30-40% vegetation cover, continue to monitor vegetation - Wetlands throughout vegetation cover 50-60% of off RoW, continue to monitor vegetation - Minor water ponding within screw anchor holes","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 80% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are establishing, 50-60% vegetation establishment compared to off-RoW. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - Perennial sow thistle present along RoW at KP 4+775. Recommend herbicide application. July 23, 2015 - Herbicide application conducted to control perennial sow thistle. September 12, 2015  - Grasses and small forbs were observed throughout the RoW. - Soils stable with good vegetation cover, no integrity concerns were noted. No additional environmental concerns were identified.",,,
SW 22-83-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor sites/Minor subsidence at bell-hole sites/Low vegetation cover,"Some minor ponding at screw anchor sites. Minor subsidence at bell-hole sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted. Wetland areas had moderate to high vegetation cover. Moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas. Although some small areas of low vegetation cover at graded areas, no environmental concerns (e.g., soil erosion) observed.","July 5, 2014 • Good vegetation emergence within wetland area. - Minor patches of reduced vegetation cover present on RoW. July 11 • Vegetation cover 40-60% of off Row, continue to monitor - Wetlands throughout tract vegetation cover 60-80% of off RoW - Minor water ponding within screw anchor holes","June 7, 2015 - Vegetation establishment appears to be developing well along RoW.  - Wetlands appear to be stable throughout tract. June 9, 2015 - 60% vegetation establishment compared to off-RoW. - Minor patches of limited vegetation cover throughout tract, monitor. - Wetlands within tract are establishing, 60-80% vegetation establishment compared to off-RoW. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - Spoil from adjacent RoW construction (west of Cheecham line) is being stored in close proximity to ditchline- Main spoil pile is approximately 2 meters off of Cheecham hotline. Continue to monitor. July 23, 2015 - Perennial sow thistle located and herbicide application conducted to control perennial sow thistle. September 12, 2015  - Grasses and small forbs were observed throughout the RoW.  - Soils stable with good vegetation cover, no integrity concerns were noted. No additional environmental concerns were identified.",,,
