Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2013) Issue(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW-3-64-7 W6,Moderate Vegetation Establishment,Vegetation in the area cleared for the HDD from KP 0.0 to KP 0.1 has not yet established. Vegetation cover is expected to improve in subsequent years.,"July 4, 2014 - ~ 85-90% vegetation establishment as opposed to off RoW control. Good Native grass establishment Common weeds, comparable to off RoW. No erosion, subsidence or contour issues.","June 11, 2015 - Undisturbed portion of RoW is well vegetated, presence of minor, non-noxious weeds noted. Approximately 95% vegetation establishment as opposed to off RoW control.   - Recent construction of adjacent pipeline has encroached on RoW, straw wattle material has been placed and is effectively controlling potential erosion, continue to monitor in 2016.",,,
NE-3-64-7 W6,Watercourse Crossing: Cutbank River,HDD construction method was used in this area as a part of the Cutbank River watercourse crossing and no disturbance took place. No concerns were observed.,"July 4, 2014 - ~ 95+% vegetation establishment within forested section as opposed to off RoW. Horizontally Drilled, no ground disturbance. The only impact is trees have been slashed 1m width for `600m to the Cutbank River. No Issues.","June 11, 2015 - Approximately 95% vegetation coverage as opposed to off RoW. This area was horizontally drilled – No erosion no ground disturbance on surface.   - 1m slashed area is beginning to fill in with emerging tree and plant species, on both sides of Cutbank River.",,,
SE-10-64-7 W6,Watercourse Crossing: Cutbank River,The Cutbank River located at KP 0.7 was crossed using HDD construction methods and no disturbance to the banks of the river took place. No concerns were observed up to KP 1.0.,"July 4, 2014 - Cutbank river - no issues - Removed silt fencing at KP 1+170 1+230, 1+250, 1+280 KP 1+580 on diversion berm outlet, East side of RoW.  - Silt fencing at KP 1+600 - still functional and required – monitor in 2015  - KP 1+280 ditch plug functioning effectively – no issues. - Slopes appear stable no erosion or subsidence, diversion berms functioning effectively.","June 11, 2015 - Approximately 95% vegetation coverage as opposed to off RoW. This area was horizontally drilled – No erosion no ground disturbance on surface.   - 1m slashed area is beginning to fill in with emerging tree and plant species, on both sides of Cutbank River",,,
SE-10-64-7 W6,Moderate Vegetation Establishment,Moderate vegetation establishment in the area cleared for the HDD from KP 1.0 to KP 1.1.,"July 4, 2014 - ~ 85-90% vegetation establishment as opposed to off RoW, some sparse patches.  - Good Native grass establishment. Common weeds present and comparable to off ROW.  Diversion berm exhibiting ponding water KP 1+505, ditch plug present – no issues. June 28, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control tall buttercup. July 26, 2014 – positive results from spraying activities on June 28, 2014.","June 11, 2015 - ~95% vegetation establishment as opposed to off RoW, several bare patches on north side of HDD, monitor in 2016. - Noxious weed (perennial sow thistle) observed at KP 0+700 to 1+580, mainly on ditchline. July 14, 2015 - Spot sprayed from KP 0+700 to 1+580 for perennial sow thistle and spiny sow thistle. August 27, 2015 - Perennial sow thistle observed at KP 0+850. Recommend fall herbicide application. September 18, 2015 - Herbicide was applied at KP 0+850 to control perennial sow thistle.",,,
NE-10-64-7 W6,High Vegetation Establishment,No issues observed on the right-of-way.,"July 4, 2014 - ~90-95% vegetation establishment as opposed to off RoW control. Excellent establishment of native grasses. Common, non-noxious weeds present and appear to be slightly higher than off RoW (sweet clover). No issues observed on RoW.","June 11, 2015 - Approximately 95% coverage as opposed to off RoW.  - Common, non-noxious weeds observed in limited densities.  - Diversion berms functioning effectively and slopes appear well vegetated and stable.",,,
NW-10-64-7 W6,Moderate Vegetation Establishment,Moderate vegetation establishment observed over the right-of-way starting at KP 2.0. Vegetation cover is expected to improve in subsequent years.,"July 4, 2014 - 75 - 80% vegetation cover on RoW compared to off RoW control with areas of sparse coverage after KP 2+000, monitor in 2015 - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and sweet clover. - Silt fencing within diversion berms (KP 1+770 and KP 1+865) were functional and required in place. Continue to monitor for appropriate time of removal. - Diversion berms along hill slope functioning well at time of assessment. - No erosion or subsidence issues to report.","June 11, 2015 – RoW is well vegetated, approximately 95% vegetation cover on RoW compared to off RoW control.  Patches of limited vegetation cover were noted at KP 2+180, 2+200, and 2+250, monitor. - Diversion berms are functioning and well vegetated. - Common, non-noxious weeds observed in limited densities. Ox-eye daisy observed from KP 1+700 to 2+300.  Recommend spot spraying. - The silt fencing existing at KP 1+770 was no longer necessary and was removed. - The silt fencing existing at KP 1+865 is required, but requires repairs. Erosion uphill of diversion berm at ~ KP 1+865, recommend installing 6 to 12 straw wattles to mitigate. July 14, 2015 - Spot sprayed from KP 1+700 to 2+300 for ox-eye daisy. July 23, 2015 - Installed straw wattles and repaired silt fencing at KP 1+865. August 27, 2015 – Additional ox-eyed daisy observed at KP 2+250, previous herbicide application was effective on the remaining portions of the RoW. Recommend fall herbicide application at KP 2+250. September 18, 2015 - Herbicide was applied to control ox-eyed daisy at KP 2+250.",,,
NE-10-64-7 W6,Moderate Vegetation Establishment,Moderate vegetation establishment observed over the right-of-way. Vegetation cover is expected to improve in subsequent years.,"July, 4, 2014 - 70 - 75% vegetation cover on RoW compared to off RoW control. Several areas along ROW with thinner veg associated with recent disturbances. - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion and sweet clover. - Ox-eye daisy found within tract in sparse densities.  - Silt fencing within diversion berm (KP 2+390) still functional and required – monitor and remove when required. - No erosion or subsidence issues to report. June 28, 2014 - Blanket spraying was conducted within intermittent sections of the RoW, to control Tall buttercup. July 5, 2014 - Picked all visible ox eyed daisy noxious weeds within tract. Approximately 45 plants were handpicked and bagged. July 26, 2014 – Positive results from spraying on June 28. Additional noxious weeds (ox-eye daisy) picked (20 plants) at KP 2+170 and 2+300.","June 11, 2015 - -RoW is well vegetated, approximately 95% vegetation cover on RoW compared to off RoW control.  A patch of limited vegetation cover was noted at KP 2+320, monitor in 2016. - Diversion berms are functioning and well vegetated. - Common, non-noxious weeds observed in limited densities.  Tall buttercup observed from KP 2+300 to 2+450. Recommend spot spraying. - All silt fencing observed was necessary and functional. July 14, 2015 - Spot sprayed from KP 2+300 to 2+450 for tall buttercup. August 27, 2015 - Perennial sow thistle and Canada thistle observed at KP 2+350. Recommend fall herbicide application. September 18, 2015 - Herbicide was applied at KP 2+350 to control perennial sow thistle and Canada thistle.",,,
SE-15-64-7 W6,Low Vegetation Establishment,Low vegetation establishment observed on the right-of-way starting at KP 2.8. Vegetation cover is expected to improve in subsequent years.,"July 4, 2014 - 65-75% vegetation cover on RoW compared to off RoW control. Several areas along RoW exhibiting thinner vegetation cover. Monitor in 2015 - Slightly more weeds on RoW compared to off RoW control. Non-noxious weeds consisting of dandelion, vetch species’, sweet clover, narrow-leaved hawksbeard and horsetail. - Area (KP 2+660 to KP 2+510) for approximately 50m exhibits ponding of water on west side of ditchline likely attributed to poor drainage. Implementing cross-drain will likely remediate issue.  Monitor in 2015","June 11, 2015 - RoW is well vegetated, approximately 80% vegetation cover on RoW compared to off RoW control.   - Diversion berms are functioning and well vegetated.  Patch of reduced vegetation cover noted at KP 3+250, monitor. - There was no ponding observed on the RoW.  Ponding water, noted in 2015, from KP 2+510 to KP 2+660 is no longer a concern, no further work required. - All silt fencing observed was necessary and functional.",,,
SE-15-64-7 W6,Watercourse Crossing: Unnamed Tributary to Cutbank River,"No concerns were observed at the watercourse crossing at KP 3.0. Vegetation establishment is high on the channel banks of the tributary, although low on the slopes leading to the tributary. Erosion control measures are in place and functional.","July 24, 2014 - Unnamed tributary to Cutbank River (KP 2+960) stable at time of assessment. South side of bank exhibits lesser vegetation establishment compared to north bank. Rollback effective. Willows establishing well on both banks.  Small patch of scentless chamomile found on south bank of tributary - weeds were hand-picked. Revetment posts and Dekawe material functioning well at time of assessment. Recommend leaving silt fence in place at this time. Continue to monitor in 2015.","June 11, 2015 - Vegetation is comparable to off ROW.  Vegetative cover approaches 100% on the north side of the crossing and 50% on the south side of the crossing. Woody infill (willow) was observed. Common, non-noxious weeds observed in limited densities.   - Minimal water flow was observed. - Banks appear to be stabile with no subsidence or erosion observed. - Diversion berms and silt fencing are functioning and well vegetated. Rollback, employed as an erosion control measure, is effective. - Recommend removing all (approximately 200’) of silt fencing from the north side of the crossing, while leaving the south silt fencing in place, as it is required and functional. - Tall buttercup and perennial sow thistle were observed, recommend spot spraying. July 27, 2015 - Removed all of the silt fencing, associated stakes and t-bars from the north side of the crossing. September 18, 2015 - Herbicide was applied to control noxious weeds.",,,
NE-15-64-7 W6,Low Vegetation Establishment,Low vegetation establishment observed on the right-of-way. Vegetation cover is expected to improve in subsequent years.,"July 5, 2014 - ~65-75% vegetation establishment as opposed to off RoW. Excellent grass establishment in some areas however many areas of moderate cover with vegetation still establishing. Common weeds slightly higher density on RoW than off. -Surface water across RoW at KP 3+645, flow observed and minor erosion occurring, continue to monitor. - Cross drains functioning effectively.","June 15, 2015 - RoW is well vegetated, approximately 75 to 85% vegetation cover on RoW compared to off RoW control.  Patches of reduced vegetation cover were noted at KP 3+300 and 3+700 to 3+900, monitor. - Common, non-noxious weeds observed in limited densities. Tall buttercup and perennial sow thistle observed from KP 3+300 to 4+180, recommend spot spraying. - Diversion berms/ditches are functional and vegetating.  The associated silt fencing is function and required to remain in place. - Erosion rills observed at KP 3+600. The erosion rills are well vegetated and no work is required, monitor to ensure erosion does not worsen. - Ditch plugs, effectively functioning at KP 4+100 and 4+130.  Water emerging with minor erosion at both locations.  ATV tracks are present.  Recommend the installation of straw wattles to limit further erosion. July 11, 2015 - Spot spraying was conducted from KP3+300 to 4+180 for perennial sow thistle and tall buttercup. July 27, 2015 - Installed wattles at KP 4+100 and 4+130 to control erosion. August 28, 2015 - Perennial sow thistle observed at KP 3+850 and scentless chamomile at KP 4+000. Recommend fall herbicide application. September 19, 2015 - Herbicide was applied to control perennial sow thistle and scentless chamomile.",,,
