Legal Land Description (W6M),KP,Issue/Condition,Notes,Recommendation,VEC,GIS,Topic
SW 31-96-7,0.00,Moderate Vegetation Establishment,"Vegetation on the right-of-way (ROW), particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SW 31-96-7,0.00,Shrubby Swamp<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
NE 36-96-8,0.06,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
NE 36-96-8,0.06,Rollback Installation,Rollback installed for access control from KP 0.21 to KP 0.26 is sparse,The placement of additional rollback is scheduled for winter 2014. Monitor access control in 2014.,,,
NE 36-96-8,0.06,Emergent Marsh<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
NE 36-96-8,0.06,Shrubby Swamp<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
NW 36-96-7,1.05,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, from KP 1.07 to KP 1.13, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
NW 36-96-7,1.05,Watercourse Crossing: Chinchaga River,This location was crossed using an HDD crossing method and no construction-related disturbance occurred in this area. No erosion or any form of disturbance was observed over the ROW.,None.,,,
SE 2-97-8 and NE 35-96-8,1.90,None,The HDD crossing method was used up to KP 2.10. No disturbance to soil or vegetation occurred in this area.,None.,,,
SE 2-97-8 and NE 35-96-8,1.90,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SE 2-97-8 and NE 35-96-8,1.90,Shrubby Fen<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
SW 2-97-8 and NW 35-96-8,2.82,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SE 3-97-8 and NE 34-96-8,3.55,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SE 3-97-8 and NE 34-96-8,3.55,Shrubby Fen<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
SE 3-97-8 and NE 34-96-8,3.55,Treed Fen<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
SW 3-97-8 and NW 34-96-8,4.45,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SW 3-97-8 and NW 34-96-8,4.45,Treed Fen<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
SE 4-97-8 and NE 33-96-8,5.28,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SE 4-97-8 and NE 33-96-8,5.28,Shrubby Swamp<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
SW 4-97-8 and NW 33-96-8,6.08,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
SW 4-97-8 and NW 33-96-8,6.08,Unnamed Tributary to Chinchaga River,"No erosion observed. Vegetation cover is moderate on upper slopes, but recovering well on creek banks and several seedlings observed. Sediment fence is covered by vegetation.",Monitor vegetation establishment in 2014. Remove sediment fencing where required.,,,
SW 4-97-8 and NW 33-96-8,6.08,Open Water Pond<s>1</s>,Beaver activity is influencing hydrology on the ROW and causing water to pond. Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
SW 4-97-8 and NW 33-96-8,6.08,Shrubby Swamp<s>1</s>,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
