Approximate KP [Legal Location],1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),2<s>nd</s> Year (2015) PCRM Assessment and Work Completed,3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Residential – soccer fields (KP 0+025) No issues.,Sod on the soccer field is comparable to the Control. Recommendations: None,"November 23, 2015 - Silt fence removal completed, issue resolved. -Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - Trees surrounding station at KP 0+018 in fair to poor condition. Recommend further monitoring of tree health. - Fallen mature tree evident located at KP 0+098. Recommend removal of woody debris off ROW. - No subsidence or erosion evident throughout tract. Oct 14, 2016 - Planted 160 Emerald Cedars around the two fenced facilities at KP 0+000.","May 24, 2017 - Cedar trees surrounding station at KP 0+000 are in good heal, some minor shock (red foliage) ranges from 0% – 15%. Recommend further monitoring of tree health in the near term to assess remediation requirements. - No subsidence or erosion evident throughout tract. June 20 and 21, 2017 - 160 cedar trees that were planted at KP 0+000 surrounding facility were fertilized, weeded and mulch added. - Mechanical weed control conducted within area surrounding cedar trees. Unable to conduct vegetation control further up due to construction of foreign line. July 25, 2017 - Cedar trees doing well; five trees may need replaced pending survival through the winter. - Large amounts of Canada Thistle and Sow Thistle present along access path to facility. Recommend weed control - No subsidence or erosion present. August 8, 2017 - Cedar trees at KP 0+000 were weeded and pruned. - Mechanical weed control conducted from KP 0+020 – KP 0+520 where possible. Noxious weeds along walking path were removed.","May 28, 2018 - Cedar trees surrounding station at KP 0+018 appear to be in poor health Recommend replacement of trees in poor health. - Grass establishment on ROW appears to be similar to off ROW. - No subsidence or erosion evident throughout tract. June 11, 2018 - Mechanical vegetation control completed along tract and fence line near and around valve stations August 3, 2018 - Cedar trees in similar condition to earlier assessment. - Grass establishment on ROW is similar to off ROW. - No subsidence or erosion evident throughout tract. September 26, 2018 - Mechanical weed control conducted around valve stations, fence line and along pathway. - Cedar tree health has not improved over growing season, recommend removal of trees and installation of alternative site line barrier. Work to be completed in 2019.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Watercourse [11]/ Wetland (KP 0+325) No issues observed,No issues observed Recommendations: None,"November 23, 2015 - Silt fence removal completed, issue resolved. -Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - Watercourse #11 was dry during time off assessment, native grasses established and appears stable at this time. - Wetland area dry at this time; grasses and vegetation established and in good condition. Cattails and Canada thistle evident at in wetland/drainage area.  - No subsidence or erosion evident throughout tract. June 24, 2016 - Intermittent mechanical weed control completed within ROW.","May 24, 2017 - Watercourse #11 had moderate flow during time of assessment, native grasses established and appears stable at this time. No erosion evident on banks and vegetation comparable to off ROW - Native grasses along gravel pathway established 0.25m to 0.5m height at KP 0+000 to 0+360. August 8, 2017 - Intermittent mechanical weed control conducted within area in front of Watercourse 11 at KP 0+325 to remove noxious weeds","May 28, 2018  - Watercourse #11 had no flow during time of assessment, native grasses established and appears stable at this time. - Native grasses along gravel pathway established ½ m to 1 m height. Heavy amounts of Canada thistle and perennial sow thistle present along the edge of the pathway. Recommend weed control. - Wetland area dry at this time; grasses and vegetation established and in good condition. - No subsidence or erosion evident throughout tract. August 3, 2018 - Watercourse #11 had no flow during time of assessment, native grasses established and appears stable at this time. - Wetland area dry at this time; grasses and vegetation established and in good condition.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Near a watercourse crossing (KP 0+360) No issues.,The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,"November 23, 2015 - Silt fence removal completed, issue resolved. -Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - Watercourse #11 was dry during time off assessment, native grasses established and appears stable at this time. - Wetland area dry at this time; grasses and vegetation established and in good condition. Cattails and Canada thistle evident at in wetland/drainage area.  - No subsidence or erosion evident throughout tract. June 24, 2016 - Intermittent mechanical weed control completed within ROW.","May 24, 2017 - Watercourse #11 had moderate flow during time of assessment, native grasses established and appears stable at this time. No erosion evident on banks and vegetation comparable to off ROW - Native grasses along gravel pathway established 0.25m to 0.5m height at KP 0+000 to 0+360. August 8, 2017 - Intermittent mechanical weed control conducted within area in front of Watercourse 11 at KP 0+325 to remove noxious weeds","May 28, 2018  - Watercourse #11 had no flow during time of assessment, native grasses established and appears stable at this time. - Native grasses along gravel pathway established ½ m to 1 m height. Heavy amounts of Canada thistle and perennial sow thistle present along the edge of the pathway. Recommend weed control. - Wetland area dry at this time; grasses and vegetation established and in good condition. - No subsidence or erosion evident throughout tract. August 3, 2018 - Watercourse #11 had no flow during time of assessment, native grasses established and appears stable at this time. - Wetland area dry at this time; grasses and vegetation established and in good condition.",,,
,Residential – soccer fields (KP 0+420 to 0+520) vegetation issue (moderate),Small dead patches of sod along the fence; and medium sized dead sod patches in the drainage ditch (ditch is intentional) Recommendations: Monitor in 2015 and re-vegetate as required.,,"June 9, 2016 - No subsidence or erosion evident throughout tract.","August 8, 2017 - Mechanical weed control from KP 0+020 – KP 0+520 where possible. Noxious weeds along walking path were removed.","May 28, 2018 - Native grasses along gravel pathway established ½ m to 1 m height.  – Heavy amounts of Canada thistle and perennial sow thistle present along the edge of the pathway. August 3, 2018 - City of Brampton has mowed along the edges of gravel pathways and installed new signage for park. - Heavy amounts of Canada thistle and perennial sow thistle remain along the edge of the pathway. September 26, 2018 - Mechanical weed control conducted around valve stations, fence line and along pathway.",,,
,Woodland (KP 0+400 to 0+650) Noxious weed issue (high),"The presence of noxious weeds (Canada thistle, common ragweed, bull thistle, scotch thistle, annual sow thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.",,"June 9, 2016 - No subsidence or erosion evident throughout tract. June 24, 2016 - Intermittent mechanical weed control completed within ROW.","August 8, 2017 - Intermittent mechanical weed control within Woodlot off of ROW where noxious weeds were present.","May 28, 2018 - Native grasses along gravel pathway established ½ m to 1 m height.  – Heavy amounts of Canada thistle and perennial sow thistle present along the edge of the pathway. August 3, 2018 - City of Brampton has mowed along the edges of gravel pathways and installed new signage for park. - Heavy amounts of Canada thistle and perennial sow thistle remain along the edge of the pathway. September 26, 2018 - Mechanical weed control conducted around valve stations, fence line and along pathway.",,,
,Woodland (KP 0+455 to 0+485) Thin topsoil- thickness issues (moderate),A 30 m patch of cattail is present on the northwest side of ROW where no soils disturbance appears to have occurred. Areas of bare ground are approximately 25% of the ROW. The topsoil appears to be thinner along the ditchline of the ROW. Recommendations: Monitor in 2015 and implement remedial action if necessary.,,"Bare ground noted in 2014 (KP 0+455 to 0+485) no longer evident, issue resolved. Reported thin topsoil has not inhibited the ROW from attaining equivalent land capability, issue resolved.","August 8, 2017 - Intermittent mechanical weed control within Woodlot off of ROW where noxious weeds were present.","May 28, 2018 - Native grasses along gravel pathway established ½ m to 1 m height.  – Heavy amounts of Canada thistle and perennial sow thistle present along the edge of the pathway. August 3, 2018 - City of Brampton has mowed along the edges of gravel pathways and installed new signage for park. - Heavy amounts of Canada thistle and perennial sow thistle remain along the edge of the pathway. September 26, 2018 - Mechanical weed control conducted around valve stations, fence line and along pathway.",,,
KP 0+000 - 0+520 [East half LT 12 CON 4 WHS],,,,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. - Canada thistle, ox-eye daisy, tall buttercup, bull thistle, scentless chamomile, dog-strangling vine evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Mechanical weed control and intermittent herbicide application conducted along the ROW from KP 0+621 – KP 0+000 to control weeds noted on June 9<s>th</s> assessment. July 27, 2016 - Noxious weeds evident along pathway; recommend mechanical weed control.","May 24, 2017 - Canada thistle, ox-eye daisy, tall buttercup, bull thistle, scentless chamomile, dog-strangling vine evident throughout tract. Recommend weed control. June 21, 2017 - Unable to complete vegetation control due to 3<s>rd</s>party activity within area. July 25, 2017 - Canada thistle, ox-eye daisy, tall buttercup, bull thistle, scentless chamomile, dog-strangling vine evident throughout tract. Recommend weed control. August 8, 2017 - Mechanical weed control conducted to control Canada thistle, ox-eye daisy, tall buttercup, bull thistle, scentless chamomile, dog-strangling vine. - Woodlot off of ROW was spot weed whacked where noxious weeds were present Weed issue resolved.","May 28, 2018 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Canada thistle, ox-eye daisy, bull thistle, and scentless chamomile observed. Recommend weed control. - No subsidence or erosion evident in tract. June 11, 2018 - Intermittent Mechanical weed control conducted to manage noxious weeds. August 3, 2018 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of native grasses and broadleaf vegetation. - Canada thistle, ox-eye daisy, bull thistle, and scentless chamomile remain. Recommend weed control. - No subsidence or erosion evident in tract. September 25, 2018 - Intermittent Mechanical weed control conducted to manage noxious weeds.",,,
KP 0+520 - 0+950 [West half LT 13 CON 4 WHS] And  KP 0+520 - 1+300 [East half LT 12 CON 4 WHS],Woodland (KP 0+400 to 0+650) Noxious weed issue (high),"The presence of noxious weeds (Canada thistle, common ragweed, bull thistle, scotch thistle, annual sow thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.",,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses. - Canada thistle, bull thistle, broadleaf plantain, scentless chamomile, perennial sow thistle and ox-eye daisy evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Mechanical weed control completed.","May 24, 2017 - Canada thistle, bull thistle, broadleaf plantain, scentless chamomile, perennial sow thistle and ox-eye daisy evident throughout tract. No vegetation control recommended. Lands currently being maintained by subdivision developer. - No subsidence or erosion evident in tract.","May 28, 2018 - Weeds (including noxious species) evident throughout tract; conditions within ROW are the same as off ROW. No weed control recommended. - No subsidence or erosion evident in tract August 3, 2018 - Weeds (including noxious species) evident throughout tract; conditions within ROW are the same as off ROW. No weed control recommended. Previous weed issues resolved. - No subsidence or erosion evident in tract.",,,
KP 0+520 - 0+950 [West half LT 13 CON 4 WHS] And  KP 0+520 - 1+300 [East half LT 12 CON 4 WHS],Residential (KP 0+720 to 1+225) No issues observed,ROW was turned over to developer of housing - ponding; weeds; microtopography issues are all currently noted along the ROW due to the housing development being constructed. This area includes watercourse crossings 9 and 10. Recommendations: None - Land turned over to the housing developer for management.,,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses. - Canada thistle, bull thistle, broadleaf plantain, scentless chamomile, perennial sow thistle and ox-eye daisy evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Mechanical weed control completed.","May 24, 2017 - Canada thistle, bull thistle, broadleaf plantain, scentless chamomile, perennial sow thistle and ox-eye daisy evident throughout tract. No vegetation control recommended. Lands currently being maintained by subdivision developer. - No subsidence or erosion evident in tract.","May 28, 2018 - Weeds (including noxious species) evident throughout tract; conditions within ROW are the same as off ROW. No weed control recommended. - No subsidence or erosion evident in tract August 3, 2018 - Weeds (including noxious species) evident throughout tract; conditions within ROW are the same as off ROW. No weed control recommended. Previous weed issues resolved. - No subsidence or erosion evident in tract.",,,
,Watercourse [10] (KP 0+850) No issues observed,"Two watercourses (9 and 10) have been combined into one channel by surrounding housing development project as planned prior to construction of Parkway Loop. As such, the watercourses have now been realigned to a different location that was not disturbed during construction therefore areas disturbed during construction are not present at the current watercourse crossing. Recommendations: None - Land turned over to the housing developer for management.",,"June 9, 2016 - Watercourse appears to be in good condition. Native grasses established, low flow within watercourse, water level mid-way.","May 24, 2017 - Watercourse appears to be in good condition at time of assessment. Native grasses established, medium flow within watercourse, water level mid-way, mallard ducks observed within watercourse. - No subsidence or erosion evident in tract.","May 28, 2018 and August 3, 2018 - Watercourse is in good condition at time of assessment. Native grasses established, medium flow within watercourse, water level mid-way, toads observed within watercourse. - No subsidence or erosion evident in tract",,,
