Location (KP),Land Use,Issue(s),Observations Noted,Corrective Actions Recommended,<s>Status</s>,VEC,GIS,Topic
KP 0.000 to KP 0.900,Forested / Muskeg,Vegetation,"Ex tensive vegetative cover has established through most of this muskeg section.  There w ere a few  minor isolated patches w here v egetativ e cov er w as less than required.  There is a trench crow n through much of the w et muskeg area how ever it has vegetated, there are openings to allow  surface flow s and it does not appear to be causing flow  or ponding concerns.  Construction debris was noted as well as minor third party  caused rutting (not causing env ironmental concerns).",Generally  this is a very wet area and access is limited (foot access only  during the PCEM work).  Hand seeding and fertilizer application w as completed on areas with little or w eak v egetativ e cov er.  Seed mix tures and application rates v aried to meet site specific requirements (Photo 1 in Section 5.2).  All construction debris w as collected and remov ed from site.  No further action required.,Resolv ed,,,
KP 0.000 to KP 0.900,Watercourse - Tributary  to Kobes Creek (FN1),No issues observ ed,No env ironmental issues observ ed at FN1,No action required,Resolv ed,,,
KP 0.000 to KP 0.900,Watercourse - Tributary  to Kobes Creek (FN2),No issues observ ed,No env ironmental issues observ ed at FN2,No action required,Resolv ed,,,
KP 0.000 to KP 0.900,Watercourse - Tributary  to Kobes Creek (FN3),No issues observ ed,No env ironmental issues observ ed at FN3,No action required,Resolv ed,,,
KP 0.900 to KP 1.050,Forested,Weeds,There is ex tensiv e sow  thistle throughout this section.,Inform the Westcoast Lands personnel of this concern and add this area  into  the  ongoing  Westcoast  w eed  management  program for future treatment as appropriate (see footnote at end of this table).,Resolv ed,,,
KP 1.050 to KP 1.250,Forested,Vegetation,Vegetativ e  cov er  w as not at standard on the right-of-w ay  (ROW)  or temporary   w ork  space (TWS) through this location.,"Harrow , seed and fertilize to establish vegetation in bare areas and to enhance poorly  vegetated areas (see Photos 3 and 4 in Section 5.2 for treatment ex amples.  See Photo 5 for a partial v iew  of the site).",Resolv ed,,,
KP 1.250 to KP 2.150,Forested,Vegetation,Vegetativ e cov er is ex tensiv e throughout much of this section.  How ever there were several minor areas w here v egetativ e cov er w as less than required.,"Hand rake, seed and fertilize.",Resolv ed,,,
KP 1.250 to KP 2.150,Watercourse - Tributary  to Kobes Creek (FN4),Surface Disturbance,"Ev idence of third party , recreational use rutting continued to be observ ed.  No other env ironmental issues observ ed.","The area of rutting is through a low , flat w et site w ith minimal if any  surface flow .  No adv erse impacts w ould be ex pected and most prev ious ruts hav e healed and are v egetated.  Additional seed w as applied.  No further action required.",Resolv ed,,,
KP 1.250 to KP 2.150,Watercourse - Tributary  to Kobes Creek (FN5),No issues observ ed,No env ironmental issues observ ed at FN5,No action required,Resolv ed,,,
KP 2.150 to KP 3.200,Forested,No issue,Vegetativ e cover is w ell established throughout most of this section including ex tensiv e grow th throughout the Kobes Creek riparian zone and slopes.  There are tw o minor low  areas to the south of Kobes Creek that w ill hold w ater seasonally  (depending on the y ear).  These areas are v egetating and not ex pected to cause env ironmental issues.  No other concerns w ere noted.,Seed w here v egetation re-establishment w as slow  or light. No other action required,Resolv ed,,,
KP 2.150 to KP 3.200,Kobes Creek Temporary Access Trail,Cleanup of Erosion Control Materials,Erosion control fencing had been left in place to assist w ith the stabilization and re-v egetation of the temporary  access trail that w as used for construction.  Vegetation re-establishment w as light on the low er portion of the reclaimed trail.,Remov e silt fencing and w ooden stakes from site.  Seed w here v egetation re-establishment w as slow  or light.,Resolv ed,,,
KP 2.150 to KP 3.200,Watercourse - Kobes Creek (FN6),No issues observ ed,"Armoring, bed and banks are stable on Kobes Creek (FN6) and the riparian zone is w ell v egetated.  Surv iv al of planted stock (e.g. w illow) is reasonable given the extensive vegetativ e cov er and associated competition",No action required,Resolv ed,,,
