Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 2-79-19,Forested,Moderate vegetation issues,00+150,Vegetation cover is expected to improve in subsequent years.,"August 21, 2014  – KP 0+150 – Poor vegetation noted in 2013 is establishing well, issue resolved. – KP 0+300 – Erosion rills noted in 2013 on slope.  No signs of erosion issues as slope is fully vegetated, issue resolved. – KP 0+570 to 0+700 – Subsidence in hay field at bell hole south of foreign line crossings.  Monitor in 2015. – KP 0+750 – Previously noted bare areas in 2013 are re-vegetating well. Area is located south of foreign line crossing.  No water present at time of assessment and no signs of integrity issues. Recommend monitoring area for re-vegetation and any other issues.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+480, natural drainage across ROW, functional with mature vegetation. Minor water pooling over ditchline, monitor in 2016. – KP 0+570 to 0+700, subsidence at convergence of two foreign line crossings, currently holding water. Recommend re-assessment after haying has been completed, to construct a more accurate work plan. August 25, 2015- Re-assessed subsidence at KP 0+570 to 0+700. Subsidence is minor and not impacting the land use. There was no indication of erosion or vegetation issues related to the ponding water. Continue to monitor.",,,
SW 2-79-19,Forested,Moderate erosion (rills) issue,00+300,Erosion rills observed on the ROW.,"August 21, 2014  – KP 0+150 – Poor vegetation noted in 2013 is establishing well, issue resolved. – KP 0+300 – Erosion rills noted in 2013 on slope.  No signs of erosion issues as slope is fully vegetated, issue resolved. – KP 0+570 to 0+700 – Subsidence in hay field at bell hole south of foreign line crossings.  Monitor in 2015. – KP 0+750 – Previously noted bare areas in 2013 are re-vegetating well. Area is located south of foreign line crossing.  No water present at time of assessment and no signs of integrity issues. Recommend monitoring area for re-vegetation and any other issues.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+480, natural drainage across ROW, functional with mature vegetation. Minor water pooling over ditchline, monitor in 2016. – KP 0+570 to 0+700, subsidence at convergence of two foreign line crossings, currently holding water. Recommend re-assessment after haying has been completed, to construct a more accurate work plan. August 25, 2015- Re-assessed subsidence at KP 0+570 to 0+700. Subsidence is minor and not impacting the land use. There was no indication of erosion or vegetation issues related to the ponding water. Continue to monitor.",,,
SW 2-79-19,Forested,Surface drainage (ponding issue,00+750,"Slight swale and ponding on ROW, bare ground, clover and timothy present.","August 21, 2014  – KP 0+150 – Poor vegetation noted in 2013 is establishing well, issue resolved. – KP 0+300 – Erosion rills noted in 2013 on slope.  No signs of erosion issues as slope is fully vegetated, issue resolved. – KP 0+570 to 0+700 – Subsidence in hay field at bell hole south of foreign line crossings.  Monitor in 2015. – KP 0+750 – Previously noted bare areas in 2013 are re-vegetating well. Area is located south of foreign line crossing.  No water present at time of assessment and no signs of integrity issues. Recommend monitoring area for re-vegetation and any other issues.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+480, natural drainage across ROW, functional with mature vegetation. Minor water pooling over ditchline, monitor in 2016. – KP 0+570 to 0+700, subsidence at convergence of two foreign line crossings, currently holding water. Recommend re-assessment after haying has been completed, to construct a more accurate work plan. August 25, 2015- Re-assessed subsidence at KP 0+570 to 0+700. Subsidence is minor and not impacting the land use. There was no indication of erosion or vegetation issues related to the ponding water. Continue to monitor.",,,
NW 2-79-19,Hayland,No issues observed,"01+150, 01+700",The ROW is revegetating well.,"August 21, 2014  – KP 0+860 – Sow thistle noted on ROW at foreign line crossing. Recommend monitoring weeds to determine if the foreign line operator controls weeds, as the majority are on the foreign line. – KP 0+860 to 0+880 – Subsidence in hay field, monitor in 2015. – KP 1+200 – Vegetation in field burnt from 1+200 to 1+220 for ROW width. Area on ROW is a small portion of the total burn area. Reassess vegetation growth 2015.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+860 to 0+880, subsidence on north side of foreign line crossing is well vegetated and comparable to off ROW. Not impacting land use, continue to monitor.  – KP 1+200 to 1+220 for ROW width. Last year’s burn area appears to be doing excellent. No issues. Vegetation density is higher than off ROW, issue resolved. – No erosion apparent within tact.",,,
SW 11-79-19,Hayland,Moderate microtopography (subsidence) issue,01+850,"Subsidence observed at “bell hole"" on south side of road.","August 21, 2014 – KP 1+650 to 1+825 – Subsidence in hay field south of access road, recommend repairs. Same issue noted in 2013 at KP 1+850 – KP 2+100 to 2+150 – Subsidence in hay field at side bend, recommend repairs. September 18, 2014– KP 1+650 to 1+825 areas of subsidence repaired, seeded and harrowed.  KP 2+100 to 2+150, subsidence repaired, seeded and harrowed.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 1+650 to 1+825, subsidence repair completed in Sept 2014 appears to be well vegetated, comparable to off ROW, issue resolved. – KP 2+100 to 2+150, subsidence repair completed in Sept 2014 has moderate growth. Continue to monitor. – No erosion or additional subsidence issues. – KP 1+825 – Pipeline marker posts in place but TransCanada sign missing from post. Replace sign and bolts on post.",,,
SW 11-79-19,Hayland,No issues observed,02+250,The ROW is revegetating well.,"August 21, 2014 – KP 1+650 to 1+825 – Subsidence in hay field south of access road, recommend repairs. Same issue noted in 2013 at KP 1+850 – KP 2+100 to 2+150 – Subsidence in hay field at side bend, recommend repairs. September 18, 2014– KP 1+650 to 1+825 areas of subsidence repaired, seeded and harrowed.  KP 2+100 to 2+150, subsidence repaired, seeded and harrowed.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 1+650 to 1+825, subsidence repair completed in Sept 2014 appears to be well vegetated, comparable to off ROW, issue resolved. – KP 2+100 to 2+150, subsidence repair completed in Sept 2014 has moderate growth. Continue to monitor. – No erosion or additional subsidence issues. – KP 1+825 – Pipeline marker posts in place but TransCanada sign missing from post. Replace sign and bolts on post.",,,
SE 10-79-19,Forested,Moderate surface drainage (ponding) issue,02+450,Temporary ponding on work side.,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.  – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of assessment. No signs of pooling water or integrity issues, land owner had recently harrowed area. Re-assess in 2015. – KP 2+800 – Drainage ditch in good condition with established vegetation throughout it. – KP 2+800 to 3+080 – Nettle, Lamb’s quarter, Sow thistle and Canada thistle noted throughout ROW. Recommend weed control. – KP 2+875 to 3+000 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. September 20, 2014 - KP 2+800 to 3+080 – Intermittent herbicide application conducted.","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3 + 080, fence across ¼ line is missing barbed wire. Landowner requested posts be removed during landowner consultation, landowner concern was forwarded to Land Department, which continues to work with landowner for resolution. October 31, 2015 - KP 2+475, Subsidence. The land has not been hayed and the ground is covered with woody debris. It appears the land use is forested and the subsidence is not affecting land use. Recommend re-assessing in the spring and discussing with land agents as landowner has complained about subsidence. - Weeds appear to be getting choked out by existing vegetation. Recommend continued monitoring and control as needed.",,,
SE 10-79-19,Forested,Moderate vegetation issue,02+450,Vegetation cover is expected to improve in subsequent years.,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.  – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of assessment. No signs of pooling water or integrity issues, land owner had recently harrowed area. Re-assess in 2015. – KP 2+800 – Drainage ditch in good condition with established vegetation throughout it. – KP 2+800 to 3+080 – Nettle, Lamb’s quarter, Sow thistle and Canada thistle noted throughout ROW. Recommend weed control. – KP 2+875 to 3+000 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. September 20, 2014 - KP 2+800 to 3+080 – Intermittent herbicide application conducted.","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3 + 080, fence across ¼ line is missing barbed wire. Landowner requested posts be removed during landowner consultation, landowner concern was forwarded to Land Department, which continues to work with landowner for resolution. October 31, 2015 - KP 2+475, Subsidence. The land has not been hayed and the ground is covered with woody debris. It appears the land use is forested and the subsidence is not affecting land use. Recommend re-assessing in the spring and discussing with land agents as landowner has complained about subsidence. - Weeds appear to be getting choked out by existing vegetation. Recommend continued monitoring and control as needed.",,,
SE 10-79-19,Forested,Moderate vegetation issues,02+750,Vegetation cover is expected to improve in subsequent years.,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.  – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of assessment. No signs of pooling water or integrity issues, land owner had recently harrowed area. Re-assess in 2015. – KP 2+800 – Drainage ditch in good condition with established vegetation throughout it. – KP 2+800 to 3+080 – Nettle, Lamb’s quarter, Sow thistle and Canada thistle noted throughout ROW. Recommend weed control. – KP 2+875 to 3+000 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. September 20, 2014 - KP 2+800 to 3+080 – Intermittent herbicide application conducted.","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3 + 080, fence across ¼ line is missing barbed wire. Landowner requested posts be removed during landowner consultation, landowner concern was forwarded to Land Department, which continues to work with landowner for resolution. October 31, 2015 - KP 2+475, Subsidence. The land has not been hayed and the ground is covered with woody debris. It appears the land use is forested and the subsidence is not affecting land use. Recommend re-assessing in the spring and discussing with land agents as landowner has complained about subsidence. - Weeds appear to be getting choked out by existing vegetation. Recommend continued monitoring and control as needed.",,,
SE 10-79-19,Forested,Moderate weed (not noxious) issue,02+950,Hemp nettle and lamb’s quarter observed on workside,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.  – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of assessment. No signs of pooling water or integrity issues, land owner had recently harrowed area. Re-assess in 2015. – KP 2+800 – Drainage ditch in good condition with established vegetation throughout it. – KP 2+800 to 3+080 – Nettle, Lamb’s quarter, Sow thistle and Canada thistle noted throughout ROW. Recommend weed control. – KP 2+875 to 3+000 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. September 20, 2014 - KP 2+800 to 3+080 – Intermittent herbicide application conducted.","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3 + 080, fence across ¼ line is missing barbed wire. Landowner requested posts be removed during landowner consultation, landowner concern was forwarded to Land Department, which continues to work with landowner for resolution. October 31, 2015 - KP 2+475, Subsidence. The land has not been hayed and the ground is covered with woody debris. It appears the land use is forested and the subsidence is not affecting land use. Recommend re-assessing in the spring and discussing with land agents as landowner has complained about subsidence. - Weeds appear to be getting choked out by existing vegetation. Recommend continued monitoring and control as needed.",,,
