Land Description,Length  (m),Width (m),Observations 2010 Assessment,Observations 2011 Assessment,Observations 2012 Assessment¹,Observations 2013 Assessment,Observations 2014 Assessment¹,Observations 2015 Assessment,Observations 2016 Assessment,VEC,GIS,Topic
SW 22-40-9 W4 CofT No. n/a,700,20 or narrower if ditchline stripped,Native Range/REC #1 area:  Native grass growth (A7 mix) is not spectacular – appears moderate to poor with low density ground coverage – vegetative cover during initial ROW assessment was described as not well established – this area should definitely be checked next summer to determine if re-seeding is required – this area was mowed in July but it does not appear as though much has grown since then; fescue plugs (spring 2010) appear well established but most were brown in appearance suggesting possible dormancy or possibly stressed. Most other plug planting observed in other planted ¼ sections had some degree of “green” at each plug.,"•  REC #1 area. Good native vegetation establishment (± 70%) of A7 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (13% cover), Kentucky bluegrass (11% cover). •  Recovering site Trending to Modified due to the presence of Kentucky bluegrass, smooth brome & to a lesser extent quack grass. •  Plains rough fescue present (2% cover) from plugs and seed. •  Canada thistle at 1% cover requires control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species Kentucky bluegrass (22%), northern wheat grass (7%), green needle grass 6%. •  Plains rough fescue decreased from 2% to 1%. •  Kentucky bluegrass increased from 11 % to 22%, quack grass decreased from 2% to <1%, awnless/smooth brome increased from 0% to 1%, monitor site as it is trending to modified. Invasive species cover should be similar to control. •  Control is dominated by western porcupine grass (25%), sedges (12%), Kentucky bluegrass (11%), trending to modified. •  East fence wire removed, gates open to the south, moderate grazing intensity, observed utilization 35%. •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 15-39-9 W4 CofT No. 932 028 685,100,20 or narrower if ditchline stripped,Native Range/REC #3: moderate-good native grass growth including seeded fescue (A7 mix) – some interseeding was conducted through this 100m REC area this summer (on workside); I was not able to find one fescue plug (spring 2010 planting) – was this area possibly missed?  There were some bare soils through this stretch that were interseeded this summer but there was no evidence of fescue plugs (even in the bare areas). Seeded grasses in the coulters rows from interseeding were starting to grow.,•  REC # 3 area. Good native vegetation establishment (± 70%) of A7 mix.  •  Difficult to identify fescue plugs but noticed seeded fescue has established. Unable to determine if plugs were planted in this particular location. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2014.,"Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species slender wheat grass (13% cover), Kentucky bluegrass (11% cover). •  Recovering site Trending to Modified due to the presence of Kentucky bluegrass, smooth brome & to a lesser extent quack grass. •  Plains rough fescue present (2% cover) from plugs and seed. •  Canada thistle at 1% cover requires control.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","Information below extrapolated by Keystone. Conditions assumed to be similar to NW 11-39-9-W4, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species likely Kentucky bluegrass.  •  Continue with spot spraying for undesirable broadleaf perennials to aide in helping to keep seed mix on track. •  Stage not assigned, as detailed assessment for this site not conducted by third party specialist.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NW 11-39-9-W4,160,20,NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,•  Plugs only within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.,"Detailed assessment for this site not conducted by specialists, as 2012 was not a planned field year. Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species Kentucky bluegrass (33%), slender wheat grass (16%). •  Recovering site Trending to Modified due to the presence of Kentucky bluegrass, and to a lesser extent quack grass. •  Canada thistle (2%) and perennial sow thistle (<1%) require control.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  A7N- A7 sites have higher cover values of forbs than any other seed mix in experiment.  •  Seed treatment offering good cover and erosion control, valuable livestock grazing but with bluegrass dominance not showing positive trajectory to endemic species stable grassland. •  Hay treatment showing large diversity of species and more bare-ground than other treatments indicating earlier seral stage and instability. •  Seed and hay treatment similar to seed treatment with some representation of native unseeded spp.  •  Seed and plug treatment identical to seed treatment- poor winter survival of plugs in this section of pipeline. •  Continued spot spraying for undesirable broadleaf perennials evident and helping to keep seed mix on track.",Weed control was conducted in 2015 based on assessment recommendations.,"KInnotech Alberta observations: •  Open to grazing but not observed to be heavily grazed. •  Kentucky blue grass dominant but with considerable native and infill species. •  Native  hay  treatment,  on  top  of  hill,  showing  more  green  needle  and porcupine grass than others likely due to lower moisture regime. • Identified 1 fescue plug onsite. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
NE 11-39-9-W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species Kentucky bluegrass (33%), slender wheat grass (16%). •  Recovering site Trending to Modified due to the presence of Kentucky bluegrass, and to a lesser extent quack grass. •  Canada thistle (2%) and perennial sow thistle (<1%) require control. •  Trending to Modified.","§  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species Kentucky bluegrass (62%), western and northern wheat grasses, and sedge spp. (1% each). •  Plains rough fescue not recorded. •  Kentucky bluegrass increased from 33% to 62%, quack grass decreased from 4% to <1%, awnless/smooth brome constant at < 1%, monitor site as it is modified. Invasive species cover should be similar to control. •  Control is dominated by Kentucky bluegrass (34%), western porcupine grass (14%), trending to modified. •  Site fenced, possibly mowed, unutilized to light grazing intensity, observed utilization 5%.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 12-39-9-W4,160,20,NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,•  Plugs only within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.,"•  Dominant species fowl bluegrass (11%)  Kentucky bluegrass (7%), slender wheat grass (5%). •  Recovering site Trending to Modified due to the presence of Kentucky bluegrass, and to a lesser extent smooth brome & quack grass. •  Canada thistle (4%) requires control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species Kentucky bluegrass (48%), brome species (awnless/smooth & hybrid 12%), green needle grass (5%). •  Plains rough fescue not recorded. •  Kentucky bluegrass increased from 7% to 48%, brome species increased from 7% to 12%, quack grass not recorded, monitor site as it is modified. •  Site not fenced, unutilized to light grazing intensity, observed utilization 0%. •  Canada thistle (3%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,"KInnotech Alberta observations: •  All fencing has been taken down. •  Piles  of  fence posts and  wire  at  what  was the beginning of  the trial  on  the  North side. •  Very little grazing evident thus far. •  Kentucky blue grass and green needle grass dominant. •  1 fescue plug found onsite. •  Excellent cover, good vegetative growth, poor diversity. •  Furthest south treatment is ephemeral wetland with rushes and foxtail, dried  up somewhat in 2016. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
SE 12-39-9-W4,160,20,Not applicable,Not applicable,Not applicable,Not applicable,"•  A7M Site. •  Seed treatment offering good cover and erosion control, valuable livestock grazing but with bluegrass dominance not showing positive trajectory to endemic species stable grassland. •  Hay treatment showing large diversity of species and more bare ground than other treatments indicating earlier seral stage and instability. •  Seed and hay treatment similar to seed treatment with some representation of native unseeded spp.  •  Seed and plug treatment identical to seed treatment- poor winter survival of plugs in this section of pipeline.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 07-039-08W4,,,NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,•  Plugs only within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.,"•  Dominant species slender wheat grass (7%)  Canada wild rye & green needle grass (4% each). •  Plains rough fescue present (<1%) from seed. •  Kentucky bluegrass is invading (<2%), and to a lesser extent quack grass. •  Canada thistle (1%) and perennial sow thistle (1%) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species Kentucky bluegrass (13%), green needle grass (9%). •  Plains rough fescue not recorded or observed. •  Kentucky bluegrass increased from 2% to 13%, quack grass increased from < 1% to 4%, brome species constant at 1 to 2%, monitor site as it is trending to modified. •  South fence removed, unutilized, consider removing north fence line.  •  Canada thistle (< 1%) requires control.",Assessed in 2015. Weed control not conducted as weed concentrations were equivalent to off- ROW.,"Innotech Alberta observations: •  The site is still fenced, but no cattle observed on the ROW. •  Site contains shrubs (raspberry and rose), smooth brome grass, Kentucky blue grass, green needle grass (dominant), and clover. •  Multiple patches of Canada thistle identified. •  Native hay mulch and seed and native hay treatments contain many fescue bunches.",,,
SW 07-039-08W4,160,20,Not applicable,Not applicable,Not applicable,Not applicable,"•  A7S Site. •  Seed treatment offering good cover and erosion control, valuable livestock grazing but with bluegrass dominance not showing positive trajectory to endemic species stable grassland. •  Hay treatment showing large diversity of species and more bare ground than other treatments indicating earlier seral stage and instability. •  Seed and hay treatment similar to seed treatment with some representation of native unseeded spp.  •  Seed and plug treatment identical to seed treatment- poor winter survival of plugs in this section of pipeline.",Assessed in 2015. Weed control not conducted as weed concentrations were equivalent to off- ROW.,"Keystone observations: •  Fence noted in Innotech Alberta observations was removed in 2016. •  Monitor and treat weeds in 2017, as required.",,,
SE-07-039-08W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species Canada wild rye (15%), fowl bluegrass (10%), slender wheat grass (5%). •  Plains rough fescue present (<1%) from seed. •  Kentucky bluegrass is invading (4%), and to a lesser extent quack grass. •  Canada thistle (4%) and perennial sow thistle (1%) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species Kentucky bluegrass (21%), fowl bluegrass (9%). •  Plains rough fescue not recorded nor observed. •  Kentucky bluegrass increased from 4 % to 21%, quack grass decreased from 4% to < 1%, awnless/smooth brome increased from 2% to 4%, monitor site as it is trending to modified. •  Site fenced, not grazed, consider removing the fence.  •  Canada thistle (4%) requires control.",Assessed in 2015. Weed control not conducted as weed concentrations were equivalent to off- ROW.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete. •  Fence was removed in 2016.",,,
NE 32-38-8 W4 CofT No. 002 125 248 +5,400,20 or narrower if ditchline stripped,"Native Range: ROW seeded to improved pasture mix (alfalfa, brome grass, crested wheatgrass). Seeded grasses well established. Area deleted as it is tame pasture.",Area deleted as land use is tame pasture.,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,
