Legal Location,2013 Issue/Condition,2013 PCMP Recommendation(s),2014 PCRM Assessment and Work Completed,2014 Recommendations,VEC,GIS,Topic
94P-4-J74,High vegetation establishment,None.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. Scentless Chamomile present along ditchline at KP 0+170. Recommend herbicide application.",Monitor in 2015.,,,
94P-4-J64,High vegetation establishment,None.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Large Scentless Chamomile plants present along RoW at KP 0+755. • Scentless Chamomile plants have already gone to seed between KP 0+755 and KP 0+800. Recommend herbicide application.",Monitor in 2015.,,,
94P-4-J63,High vegetation establishment,None.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. Creek crossing at KP 1+020 is in good condition, banks are well vegetated.",Monitor in 2015.,,,
94P-4-J53,High vegetation establishment,None.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. Seasonal drain located at 1+950 in good condition. Seasonal drain located at 2+010 in poor condition, erosion across ditchline has undermined the matting installed. Recommend backfilling eroded sections and re-installing soil matting. October 4, 2014 - Kazmatt material removed due to undermining below the mats. Utilized hand tools, straw matting and 1 inch wooden stakes to install waddles along the eroded area of the cross drain to minimize further erosion.",Monitor in 2015.,,,
94P-4-J52,High vegetation establishment,None.,"September 17, 2014 - 65-75% vegetation established compared to off RoW. Rollback present on RoW from KP 2+300 to KP 2+600 which is likely inhibiting vegetation growth.  Scentless Chamomile present along RoW at KP 2+650. Recommend herbicide application.",Monitor in 2015.,,,
94P-4-J42,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Perennial Sow Thistle present along RoW at KP 3+270. Recommend herbicide application.",Monitor in 2015.,,,
94P-4-J41,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. • Rollback present on RoW at KP 3+650 which is likely reducing vegetation growth.",Monitor in 2015.,,,
94P-4-J31,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 75-85% vegetation established compared to off RoW. • Fixed fallen TCPL pipeline marker posts.",Monitor in 2015.,,,
94P-4-I40,High vegetation establishment,None.,"September 17, 2014 - 75-80% vegetation established compared to off RoW. • Rollback present on RoW at KP 4+700 which is likely reducing vegetation growth.",Monitor in 2015.,,,
94P-4-I30,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW.",Monitor in 2015.,,,
94P-4-I30,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 5+470 to KP 5+800 is holding water and contains emergent riparian vegetation at time of assessment. • Disturbance species present on the existing RoW crossing at KP 5+575.",Monitor in 2015.,,,
94P-4-I20,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.",Monitor in 2015.,,,
,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 6+400 is holding water and contains emergent riparian vegetation at time of assessment.",Monitor in 2015.,,,
94P-4-I10,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.",Monitor in 2015.,,,
94P-4-I10,Treed bog,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 7+450 is holding water and contains emergent riparian vegetation at time of assessment.",Monitor in 2015.,,,
94P-4-H100,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 17, 2014 - 70-80% vegetation established compared to off RoW. • Cross drains installed along ditchline are fully functional and are allowing water to drain across RoW.",Monitor in 2015.,,,
94P-4-H100,Treed fen,Monitor vegetation establishment in 2014.,"September 17, 2014 - Wetland located at KP 8+700 is holding water and contains emergent riparian vegetation at time of assessment.",Monitor in 2015.,,,
94P-4-H90,Low vegetation establishment,Monitor in 2014 for vegetation establishment and erosion.,"September 18, 2014 - Vegetation showing healthy re-establishment, no issues (50% cover ditchline, 70% ROW)",Monitor in 2015.,,,
94P-4-H90,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.",Monitor in 2015.,,,
94P-4-H90,Erosion,Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,No issues noted,Monitor in 2015.,,,
94P-4-H80,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, mostly wetland species, no issues (30% cover ditchline, 80% ROW)",Monitor in 2015.,,,
94P-4-H80,Treed fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 9+100 to KP 10+250 is holding water, contains emergent riparian vegetation and appears functional at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.",Monitor in 2015.,,,
94P-4-H70,High vegetation establishment,None.,"September 18, 2014 - Predominate species is sweet clover (85% cover over ROW)",Monitor in 2015.,,,
94P-4-H60,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Tributary at KP 12+500 in good condition, well vegetated, no issues. Silt fence can be removed. October 2, 2014 – silt fencing removed.",Monitor in 2015.,,,
94P-4-H50,Moderate vegetation establishment,Monitor vegetation establishment and in 2014.,"September 18, 2014 - Predominate species is sweet clover (85% cover over ROW) • Sow Thistle observed at KP 13+750 (10V 0579193, 6554006) approximately 20x20m area of large plants no other issues",Monitor in 2015.,,,
94P-4-H50,Invasive species,Monitor vegetation establishment and invasive species in 2014.,No issues noted,Monitor in 2015.,,,
94P-4-H40,Shrubby fen,Monitor vegetation establishment in 2014.,"September 18, 2014 - Wetland located from KP 13+910 to KP 13+970 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. Banks of riparian area appear stable and water depth is approximately 1.0 m at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW. Silt fence can be removed at KP 13+900 October 2, 2014 – silt fencing removed.",Monitor in 2015.,,,
94P-4-H40,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Predominate species is sweet clover (85% cover over ROW)",Monitor in 2015.,,,
94P-4-H30,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 18, 2014 - Vegetation showing healthy re-establishment, small rill at KP 15+450 and silt fence can be removed, no issues 85% cover over ditchline and ROW October 3, 2014 – silt fencing removed.",Monitor in 2015.,,,
