SPREAD,QUARTER SECTION,LAND USE,ISSUES1,REPAIRS COMPLETED YR. 1 (2014),MONITOR/REPAIR YR. 2 (2015),MONITOR YR. 3,STATUS,VEC,GIS,Topic
A,SE 11-20-01 W4M,Improved pasture,N/A,N/A,N/A,N/A,Resolved,,,
A,SW 11-20-01 W4M,Cultivated,Unable to complete full PCEM assessment*; Admixing; Compaction,Erosion repaired and/or ESC implemented,n/a,Complete PCEM assessment; Monitor stunted crop; admixing; compaction; erosion and/or ESC,Unresolved,,,
A,NW 02-20-01 W4M,Cultivated,Contouring,n/a,n/a,Monitor contouring,Unresolved,,,
A,NE 02-20-01 W4M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 02-20-01 W4M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 01-20-01 W4M,Hay,Seed catch; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SW 01-20-01 W4M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 01-20-01 W4M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SE 06-20-29 W3M,Cultivated,Rutting; Wind/water erosion,n/a,n/a,Monitor stunted crop; rutting,Unresolved,,,
A,NE 31-19-29 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 32-19-29 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,SW 32-19-29 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,SE 32-19-29 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,NE 29-19-29 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
A,NW 28-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*; Rutting,n/a,n/a,Complete PCEM assessment; Monitor rutting,Unresolved,,,
A,SW 28-19-29 W3M,Cultivated,Admixing; Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; admixing; compaction,Unresolved,,,
A,NW 21-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,NE 21-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,SE 21-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,SE 21-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,SW 22-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment; Monitor stunted crop,Unresolved,,,
A,NW 15-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment; Monitor stunted crop,Unresolved,,,
A,NE 15-19-29 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
A,SE 15-19-29 W3M,Cultivated,Subsidence; Wind/water erosion,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
A,SW 14-19-29 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 11-19-29 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
A,NE 11-19-29 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
A,SE 11-19-29 W3M,Cultivated,Wind/water erosion,Erosion repaired and/or ESC implemented,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
A,NE 02-19-29 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
A,NW 01-19-29 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
A,SW 01-19-29 W3M,Native prairie,Silt fence and/or construction debris; Weed concerns; Wind/water erosion,Silt fence and/or construction debris removed,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
A,SE 01-19-29 W3M,Native prairie,Silt fence and/or construction debris; Weed concerns; Wind/water erosion,Silt fence and/or construction debris removed,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
A,NE 35-18-29 W3M,Native prairie,Silt fence and/or construction debris; Weed concerns,Silt fence and/or construction debris removed,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SE 35-18-29 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SW 36-18-29 W3M,Native prairie,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
A,SW 36-18-29 W3M,Cultivated,Unable to complete full PCEM assessment*; Silt fence and/or construction debris; Wind/water erosion,Erosion repaired and/or ESC implemented; Silt fence and/or construction debris removed,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
A,NW 25-18-29 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
