Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
68,NE 17-9-28,CT 1.4 to CT 2.0,4021,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
68,NW 16-9-28,CT 2.0 to CT 2.8,4022,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,NE 16-9-28,CT 2.8 to 961.3,4023,Landscape - Coarse Fragments,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,NE 16-9-28,961.0,4023,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,NW 15-9-28,961.5 to 962.2,4024,Soils - Contouring,--,Poor contouring observed on construction right-of-way by landowner.,Contouring repaired in fall 2011.,Unresolved,Monitor in 2012.,,,
68,NW 15-9-28,961.55 to 961.63,4024,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (65%),"Health: Unhealthy (25%).  Weeds: creeping thistle, perennial sow-thistle. Bare ground on construction right-of-way. Landowner has cultivated portion of construction right-of-way.","Health: Unhealthy (45%) Weeds: annual sow-thistle, creeping thistle, lamb’s-quarters, shepherd’s purse, kochia, white cockle. Riparian area partially cultivated. Disturbance and weedy species observed along construction right-of-way. Bare ground and pooling water on construction right-of-way.",Elevated berm located in wetland was regraded with a bulldozer in fall 2011.,Unresolved,Monitor in 2012.,,,
68,NW 15-9-28,961.87 to 961.96,4024,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (79%),"Health: Unhealthy (25%).  Weeds: creeping thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Bare ground on construction right-of-way. Landowner has cultivated wetland margins.",Health: Healthy (82%),--,Resolved,None.,,,
68,NE 15-9-28,962.2 to 962.9,4025,Soils - Admixing,--,Moderate admixing observed on construction right-of-way by landowner.,Admixing repaired in fall 2011.,Unresolved,Monitor in 2012.,,,
68,NE 15-9-28,962.6,4025,Soils - Water Erosion,Land access not granted at the time of the ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68 (cont’d),NE 15-9-28 (cont’d),962.82 to 962.83,4025,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (70%),Health: Unhealthy (51%).  Bare ground on construction right-of-way. Landowner has cultivated portion of construction right-of-way.,Health: Healthy with Problems (61%),--,Resolved,None.,,,
68 (cont’d),NE 15-9-28 (cont’d),962.9,4025,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,NW 14-9-28,963.0 to 963.4,4026,Soils - Subsidence,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
68,NW 14-9-28,963.04 to 963.18,4026,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy with Problems (60%),"Health: Unhealthy (54%).  Weeds: creeping thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Landowner has cultivated wetland margins.",Health: Healthy (81%),--,Resolved,None.,,,
68,NW 14-9-28,963.37 to 963.42,4026,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: healthy with problems (71%),"Health: Unhealthy (54%).  Weeds: creeping thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Landowner has cultivated portion of construction right-of-way.",Health: Healthy (83%),--,Resolved,None.,,,
68,NW 14-9-28,963.6,4026,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Repair subsidence and monitor in 2012.,,,
68,NW 14-9-28,964.00 to 964.11,4026.01,Wetland Class Overall: IV Wetland Class on construction right-of-way: II 2008 Health: No baseline assessment completed,"Health: Unhealthy (43%).  Weeds: creeping thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Landowner has cultivated wetland margins.","Health: Healthy (80%) No baseline assessment was completed, however, this wetland is determined to be Resolved because the post-construction health ranking was in the optimal Healthy category",--,Resolved,None.,,,
68,NE 14-9-28,964.5,4026.01,Vegetation - Weeds,"High density of false ragweed, lamb’s-quarters, creeping thistle, common pepper-grass and perennial sow-thistle on construction right-of-way.","High density of false ragweed, lamb’s-quarters, creeping thistle, wild oats and perennial sow-thistle on construction right-of-way.",--,Unresolved,Follow weed control plan and monitor in 2012.,,,
68,N ½ 13-9-28,964.7 to 966.3,4027 4027.01,Soils - Compaction,--,Moderate compaction observed on construction right-of-way by landowner.,--,Unresolved,"Alleviate compaction, if warranted, and monitor in 2012.",,,
68,NW 13-9-28,964.7,4027,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,NW 13-9-28,964.9,4027,Soils - Drainage,--,Poor drainage observed on construction right-of-way by landowner.,--,Unresolved,"Monitor drainage in 2012 and repair, if warranted.",,,
68,NE 13-9-28,966.0,4027.1,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,,
68,NE 13-9-28,966.3,4027.01,Vegetation - Weeds,"Moderate density of creeping thistle, perennial sow-thistle and foxtail barley on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,SW 18-9-27,966.3 to 967.1,4029,Soils - Drainage,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
68,SW 18-9-27,966.8,4029,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,,
