Quarter Section,Tract,Land Use,KHE Land ID,Year 1 Issues,Repaired Year 1,Year 2 Issues,Repaired Year 2,Year 3 Issues,Repaired Year 3,Year 3 Current Recommendations,Year 3 Rationales,Year 3 PCEM Status,VEC,GIS,Topic
SE 11-20-01 W4M,BESK-0001.2,Improved Pasture,LAND ID 001,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SW 11-20-01 W4M,BESK-0001.3,Cultivated,LAND ID 002,--,--,--,--,Contouring_1,--,No Further Action Recommended.,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 11-20-01 W4M,BESK-0001.3,Cultivated,LAND ID 002,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 11-20-01 W4M,BESK-0001.3,Cultivated,LAND ID 002,Compaction,--,--,--,Compaction,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 11-20-01 W4M,BESK-0001.3,Cultivated,LAND ID 002,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 11-20-01 W4M,BESK-0001.3,Cultivated,LAND ID 002,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,MONITOR,,,
SW 11-20-01 W4M,BESK-0001.3,Cultivated,LAND ID 002,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 02-20-01 W4M,BESK-0001.4,Cultivated,LAND ID 003,--,--,--,--,Compaction,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 02-20-01 W4M,BESK-0001.4,Cultivated,LAND ID 003,--,--,--,--,Subsidence_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NW 02-20-01 W4M,BESK-0001.4,Cultivated,LAND ID 003,Contouring,--,--,--,Contouring_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NE 02-20-01 W4M,BESK-0001.5,Cultivated,LAND ID 004,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 02-20-01 W4M,BESK-0002.1,Cultivated,LAND ID 005,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 01-20-01 W4M,BESK-0003.1,Cultivated,LAND ID 006,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 01-20-01 W4M,BESK-0003.1,Cultivated,LAND ID 006,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 01-20-01 W4M,BESK-0003.0,Hay,LAND ID 007,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 01-20-01 W4M,BESK-0003.0,Hay,LAND ID 007,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 01-20-01 W4M,BESK-0004.0,Cultivated,LAND ID 008,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 06-20-29 W3M,BESK-0005.0,Cultivated,LAND ID 009,Rutting,--,--,--,Rutting,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 06-20-29 W3M,BESK-0005.0,Cultivated,LAND ID 009,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 31-19-29 W3M,BESK-0006.0,Cultivated,LAND ID 010,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 32-19-29 W3M,BESK-0007.0,Cultivated,LAND ID 011,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 32-19-29 W3M,BESK-0008.0,Cultivated,LAND ID 012,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 32-19-29 W3M,BESK-0009.0,Cultivated,LAND ID 013,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 29-19-29 W3M,BESK-0010.0,Cultivated,LAND ID 014,--,--,--,--,Contouring_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 29-19-29 W3M,BESK-0010.0,Cultivated,LAND ID 014,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 29-19-29 W3M,BESK-0010.0,Cultivated,LAND ID 014,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 28-19-29 W3M,BESK-0011.0,Cultivated,LAND ID 015,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NW 28-19-29 W3M,BESK-0011.0,Cultivated,LAND ID 015,Rutting,--,--,--,Rutting,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 28-19-29 W3M,BESK-0012.0,Cultivated,LAND ID 016,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 28-19-29 W3M,BESK-0012.0,Cultivated,LAND ID 016,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 28-19-29 W3M,BESK-0012.0,Cultivated,LAND ID 016,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 21-19-29 W3M,BESK-0013.0,Cultivated,LAND ID 017,--,--,--,--,Compaction,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 21-19-29 W3M,BESK-0013.0,Cultivated,LAND ID 017,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,MONITOR,,,
NE 21-19-29 W3M,BESK-0014.0,Cultivated,LAND ID 018,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 21-19-29 W3M,BESK-0014.0,Cultivated,LAND ID 018,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SE 21-19-29 W3M,BESK-0015.0,Cultivated,LAND ID 019,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 21-19-29 W3M,BESK-0015.0,Cultivated,LAND ID 019,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SE 21-19-29 W3M,BESK-0016.0,Cultivated,LAND ID 020,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
,,,,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,,,,
SW 22-19-29 W3M,BESK-0017.0,Cultivated,LAND ID 021,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SW 22-19-29 W3M,BESK-0017.0,Cultivated,LAND ID 021,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
