Legal Location,Land Use,KP,UTM,Site Name Identifier,July 2018 Observations,Recommendations/ Corrective Actions,Report Photo #,VEC,GIS,Topic
S 1/2 13-82-18 W6M,Hay (ALR),0+000,10N 644129 6220264,Mainline hydro-test discharge area,Grass growth sufficient; site appears stable.,None at this time.,N/A,,,Upstream Loop
,,Access Road 7,10N 644514 6220164,UL 01 (NCD),Landowner re-worked and re-seeded area this year; new seed growth well-established; minor erosion along ditchline (but no change from June 2018 overflight); no other erosion and sediment control (ESC) concerns.,Continue to monitor ditchline erosion.,1,,,Upstream Loop
,,0+117,10N 644157 6220163,UL 02 (NCD),Landowner re-worked and re-seeded this year; new seed growth well-established; no ESC concerns.,None at this time.,2,,,Upstream Loop
,,0+522,10N 643945 6219818,UL 03 (NCD),"Landowner re-worked and re-seeded this year; new seed growth well-established; minor erosion areas near the edge of the pasture, but no significant erosion or off-site sedimentation observed.",None at this time.,3,,,Upstream Loop
,,KP 1+000,-,-,Minor erosion and patchy grass growth across the ROW.,Re-seed,4,,,Upstream Loop
Sec 11-82-18 W6M,Mulched re-growth (ALR),1+335,10N 643537 6219116,UL 04 (NCD),"Poor growth of grass; some horse impacts and minor erosion, but no off-site sedimentation.",Re-seed,5,,,Upstream Loop
,,1+746,10N 643373 6218736,Western Toad Breeding Habitat,"Some flow observed; location is stable with only minor erosion (no off-site sedimentation); no amphibians observed, but seasonal breeding habitat present.",None at this time.,N/A,,,Upstream Loop
,,1+771,10N 643331 6218728,UL 05 (NCD),"Poor grass growth, but good growth of woody vegetation. Minor erosion on upstream end, but no off-site sedimentation and no significant ESC concerns observed.",Re-seed and monitor minor erosion.,6,,,Upstream Loop
,Non-ALR,2+053,10N 643243 6218468,UL 06 (S3),"Right bank at shoefly damaged by elk; straw wattles and willow stakes also damaged. All other ESC measures functional. Willow stake survival 72% on north side of shoefly and 38% on south side. Western Toad observed on east side of the shoefly near the creek. Trampling by elk was also identified at the pipeline crossing, but grass is well-established. All riprap appears stable. East side of the crossing appears stable with no ESC concerns observed. Minor erosion channels observed on west slope due to low points where water spills over bento-mat lined swale; low-points were temporarily fixed in the field using rocks/logs to raise the edge of the bento-mat. Willow stake survivorship at pipeline crossing is 60%.",West slope requires minor repair to one of the bento-mat lined swales and re-application of seed. Plant additional willow stakes at shoe fly and pipeline crossings. Ensure that stakes are sufficient diameter/length and are installed to sufficient depth to improve survivorship.,7-9,,,Upstream Loop
Sec 2-82-18 W6M,Hay (ALR),2+646,,UL 07 (NVC),Poor seed germination/patchy growth. Landowner infilled small erosion area and re-worked the field.,Re-seed,10,,,Upstream Loop
,,3+300,,,Poor seed growth throughout.,Re-seed,11,,,Upstream Loop
NE 1/4 Sec 34-81-18 W6M,Pasture (ALR),5+172,10N 641789 6215933,UL 08 (S3),"Grass well-established; strong natural regeneration observed; minimal cattle trampling/damage. Willow stake survivorship 71% on left bank, 55% on right bank (but low density).",Plant additional willow stakes. Ensure that stakes are sufficient diameter/length and are installed to sufficient depth to improve survivorship.,"12, 13",,,Upstream Loop
,,5+400,-,AR 4,"A few minor erosion rills are present, but grass coverage is good.",None at this time.,14,,,Upstream Loop
NW 1/4 Sec 27-81-18 W6M,Pasture (ALR),6+536,10N 640409 6213459,UL 09 (NCD),"Some cattle trampling observed, but grass growth is adequate. No ESC issues identified.",None at this time.,15,,,Upstream Loop
,,6+763,10N 640359 6213383,UL 10 (NCD),No flow at the time of assessment. Cattle trampling resulted in patchy grass growth. Minor erosion observed across ROW but no evidence of significant off-site sedimentation. Grass growth is adequate where there is no cattle damage.,"Pending landowner approval, re-seed cattle trampled areas (if cattle access can be limited).",16,,,Upstream Loop
,,6+792,10N 641020 6214487,Western Toad Breeding Habitat,"Dry at the time of assessment, but likely provides seasonal breeding habitat; no amphibians observed.",None at this time.,N/A,,,Upstream Loop
,,7+047,,Western Toad Breeding Habitat,"Minimal cattle impacts; stable overall; dry at the time of assessment, but likely provides seasonal breeding habitat; no amphibians observed.",None at this time.,N/A,,,Upstream Loop
,,7+180,10N 640970 6214140,UL 11 (NCD),"Cattle trampling observed, but the site appears stable. Grass is well-established where there is no cattle damage.","Pending landowner approval, re-seed cattle damaged areas (if cattle access can be limited).",17,,,Upstream Loop
SE 1/4 Sec 28-81-18 W6M,Pasture (ALR),7+744,10N 640575 6213819,UL 12 (NCD),"Cattle trampling impaired grass growth at the downstream edge of the ROW, but well-established grass is present in other areas.","Pending landowner approval, re-seed cattle damaged areas (if cattle access can be limited).",18,,,Upstream Loop
,,8+136,10N 640403 6213465,UL 13 (S3),"Significant trampling by cattle resulted in damaged stream bed and banks at the ditchline and travel lane. Poor survivorship of willow stakes (0% on north side, 20% on south side). Grass is well-established in areas that are not damaged by cattle.",Re-seed and re-stake. Ensure that willow stakes are sufficient diameter/length and are installed to sufficient depth to improve survivorship. Fence riparian area to control cattle access (with landowner approval).,"19, 20",,,Upstream Loop
