Legal Location (W4M),Land Use,Condition/ Issues Noted (Rating),"Kilometre Post1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
NE 30-081-16,Wetland,Wetland 1-1 (Low),00+000 to 00+050,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 30-081-16,Wetland,Wetland 2-1 (Low),00+100 to 00+410,• Wooded Fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 30-081-16,Wetland,Wetland 3-1 (Low),00+410 to 00+730,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 30-081-16,Wetland,Wetland 2-2 / Plant Growth (Moderate),00+730 to 01+790,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 31-081-16,Wetland,Wetland 2-2 (Moderate),00+790 to 01+315,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 31-081-16,Wetland,Surface Drainage (Moderate),01+650 to 01+750,• Intermittent ponding present • Ponding is not impacting land use and no mitigation is recommended,None,No issue,,,
SW 31-081-16,Wetland,Wetland 2-2 / Plant Growth (Moderate),01+315 to 01+795,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 31-081-16,Wetland,Wetland 2-2 / Plant Growth (Moderate),01+795 to 02+615,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 36-081-17,Wetland,Wetland 2-2 / Plant Growth (Moderate),02+615 to 02+975,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 01-082-17,Wetland,Wetland 2-2 / Plant Growth (Moderate),02+975 to 03+120,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 01-082-17,Wetland,Wetland 4-1 (Low),03+120 to 03+570,• Shrubby fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 01-082-17,Wetland,Woody Debris / Plant Growth (High),03+185,• Mulched woody debris (5 to 20 cm) is impeding plant growth along the ditch line and work side of the ROW,Monitor in 2019,Unresolved,,,
SE 01-082-17,Wetland,Access Control (N/A),03+185,"• Mounding is present, but ineffective as access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
SE 01-082-17,Wetland,Wetland 5-1 / Plant Growth (Moderate),03+570 to 03+650,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 01-082-17,Wetland,Wetland 5-1 / Plant Growth (Moderate),03+650 to 04+250,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 01-082-17,Wetland,Access Control (N/A),04+350,"• Mounding is present, but ineffective access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NW 01-082-17 continued,Wetland,Wetland 5-1 / Plant Growth (Moderate),04+250 to 04+705,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NE 02-082-17,Wetland,Access Control (N/A),04+900,"• Mounding is present, but ineffective as access control, as access is possible from parallel disturbances",Monitor in 2019,Unresolved,,,
NE 02-082-17,Wetland,Wetland 5-1 / Plant Growth (Moderate),04+705 05+535,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 11-082-17,Wetland,Rare Plant (N/A),05+700,"• Rare plant British Soldier lichen (Cladonia coccifera) was searched for and a specimen sample was collected for identification by a qualified lichenologist • The sample was confirmed to be a common cup lichen, rather than the rare plant on December 20, 2018 • Pipeline was directionally drilled and had no impact on vegetation or terrain • Habitat was observed to be undisturbed, no further monitoring recommended",None,Resolved,,,
SE 11-082-17,Wetland,Woody Debris (High),05+550 to 05+700,• Horizontal directional drilling pad has 100% mulched woody debris cover 5 to 15 cm thick • Limited to no plant growth is present at mulched woody debris locations,Monitor in 2019,Unresolved,,,
SE 11-082-17,Wetland,Wetland 5-1 / Plant Growth (Moderate),05+535 to 05+690,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SE 11-082-17,Forested,Plant Growth (Moderate),05+690 to 05+750,• Plant growth consistent with Year 1 vegetation expectations • Intermittent limited plant growth on the ditch line,Monitor in 2019,Unresolved,,,
SW 11-082-17,Forested,Plant Growth (Low),05+750 to 06+310,• Plant growth consistent with Year 1 vegetation expectations • Intermittent limited plant growth on the ditch line,None,No issue,,,
SW 11-082-17,Forested,Watercourse - Boivin Creek (WC1) (Low),05+900,• Watercourse is undisturbed • Pipeline was directionally drilled and had no impact on vegetation or terrain,Monitor in 2019,Unresolved,,,
SW 11-082-17 continued,Forested,Rare Plant (N/A),05+750 to 06+685,"• Rare plant Glaucous-Headed Liverwort (Scapania glaucocephala) was searched for but not located • Pipeline was directionally drilled and had no impact on vegetation or terrain • Habitat was observed to be undisturbed, no further monitoring recommended",None,Resolved,,,
SW 11-082-17 continued,Wetland,Wetland 6-1 (Low),06+310 to 06+490,• Wooded fen observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 11-082-17 continued,Wetland,Wetland 7-1 / Plant Growth (Moderate),06+620 to 06+750,• Wooded bog observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 11-82-17,Wetland,Wetland 7-1 / Plant Growth (Moderate),06+700 to 07+080,• Wooded bog observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing • Limited plant growth; plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
