Plot,Coordinates,Species,Size,Qty,Overall Health,Additional Comments,VEC,GIS,Topic
W3a,17T0593684 4835514,Acer saccharum,300 cm whip,3,Good,,,,Upland Planting Zone
W3a,17T0593684 4835514,Pinus strobus,150 cm whip,9,Good,Undersized - less than 1 m tall,,,Upland Planting Zone
W3a,17T0593684 4835514,Populus grandidentata,40 mm cal.,1,Good,,,,Upland Planting Zone
W3a,17T0593684 4835514,Populus tremuloides,40 mm cal.,1,Good,,,,Upland Planting Zone
W3a,17T0593684 4835514,Ulmus americana,150 cm whip,1,Dead,1 dead,,,Upland Planting Zone
W3a,17T0593684 4835514,Cornus racemosa,potted,1,Dead,1 dead,,,Upland Planting Zone
W3a,17T0593684 4835514,Cornus sericea,potted,3,Fair,1 dead,,,Upland Planting Zone
W3b,17T0593692 4835447,Carya ovata,150 cm whip,1,Good,,,,Upland Planting Zone
W3b,17T0593692 4835447,Populus grandidentata,40 mm cal.,1,Good,,,,Upland Planting Zone
W3b,17T0593692 4835447,Populus tremuloides,40 mm cal,2,Good,,,,Upland Planting Zone
W3b,17T0593692 4835447,Populus tremuloides,60 mm cal,3,Good,,,,Upland Planting Zone
W3b,17T0593692 4835447,Prunus serotina,150 cm whip,2,Good,1 dead,,,Upland Planting Zone
W3b,17T0593692 4835447,Quercus macrocarpa,150 cm whip,2,Fair,1 poor,,,Upland Planting Zone
W3b,17T0593692 4835447,Quercus macrocarpa,40 mm cal,1,Dead,1 dead,,,Upland Planting Zone
W3b,17T0593692 4835447,Ulmus americana,300 cm whip,1,Poor,,,,Upland Planting Zone
W3c,17T0593714 4835381,Acer saccharum,150 cm whip,1,Dead,,,,Upland Planting Zone
W3c,17T0593714 4835381,Acer saccharum,60 mm cal,9,Good,"1 poor , 3 dead",,,Upland Planting Zone
W3c,17T0593714 4835381,Populus tremuloides,40 mm cal,1,Good,,,,Upland Planting Zone
W3c,17T0593714 4835381,Populus tremuloides,60 mm cal,2,Good,,,,Upland Planting Zone
W3c,17T0593714 4835381,Quercus macrocarpa,40 mm cal,1,Good,,,,Upland Planting Zone
W3c,17T0593714 4835381,Tilia americana,60 mm cal,3,Good,,,,Upland Planting Zone
