Biophysical <s>Element</s>,Legal Land Description (W6M) and Kilometer <s>Post (KP)</s>,<s>Land Use</s>,2011 Issue <s>Identified</s>,Potential Adverse Environmental Effect,Issues Identified in  2012 Monitoring,Recommendations,VEC,GIS,Topic
Instability in Fill <s>Materials</s>,"SE 20-75-10, <s>KP 1.0</s>",Bush/Tame <s>Pasture</s>,<s>Hydrovac holes</s>,Altered natural,Monitored in 2012,Resolved,1. <s>Physical Environment</s>,,
Instability in Fill <s>Materials</s>,"SW 20-75-10, <s>KP 2.0</s>",<s>Tame Pasture</s>,<s>Hydrovac holes</s>,Altered natural,Monitored in 2012,Resolved,1. <s>Physical Environment</s>,,
Instability in Fill <s>Materials</s>,"SE 22-75-11, <s>KP 7.7</s>",<s>Bush</s>,<s>Hydrovac holes</s>,Altered natural,Monitored in 2012,Resolved,1. <s>Physical Environment</s>,,
Instability in Fill <s>Materials</s>,"SE 22-75-11, <s>KP 7.7</s>",<s>Bush</s>,<s>Poor contouring</s>,Altered natural,Monitored in 2012,Monitor 2013,1. <s>Physical Environment</s>,,
<s>Erosion</s>,"SW 19-75-10, <s>KP 3.71 to KP 3.84</s>",<s>Wetland</s>,<s>Rill erosion</s>,Altered natural,Monitored in 2012,Resolved,1. <s>Physical Environment</s>,,
Lowering of Soil Productivity through Topsoil/Subsoil <s>Admixing</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP</s>,,2. <s>Soil and Soil Productivity</s>,,
Degradation of Soil Structure and Soil Productivity through Compaction and <s>Rutting</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP.</s>,,2. <s>Soil and Soil Productivity</s>,,
Loss of Topsoil through Wind <s>Erosion</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP.</s>,,2. <s>Soil and Soil Productivity</s>,,
<s>Trench Subsidence</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 PCMP201121210PCMP.,,2. <s>Soil and Soil Productivity</s>,,
Loss or Alteration of Native Vegetation and Vegetation Important to <s>Wildlife</s>,"SE 20-75-10, <s>KP 1.0 to KP 1.4</s>",Bush /Tame <s>Pasture</s>,Poor vegetation,<s>Erosion potential</s>,Monitor vegetation establishment,Resolved,3. <s>Vegetation</s>,,
Loss or Alteration of Native Vegetation and Vegetation Important to <s>Wildlife</s>,"NE 14-75-11, <s>KP 6.0 to KP 6.3</s>",<s>Bush</s>,Poor vegetation,<s>Erosion potential</s>,Monitor vegetation establishment,Resolved,3. <s>Vegetation</s>,,
Loss or Alteration of Native Vegetation and Vegetation Important to <s>Wildlife</s>,"<s>SE 22-75-11, KP 8.0</s>",<s>Bush</s>,Poor vegetation,<s>Erosion potential</s>,Monitor vegetation establishment,Resolved,3. <s>Vegetation</s>,,
<s>Weeds</s>,"SW 19-75-10, <s>KP 3.71 to KP 3.84</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,Resolved,3. <s>Vegetation</s>,,
<s>Weeds</s>,"NW 14-75-11, <s>KP 6.50 to KP 6.52</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,Resolved,3. <s>Vegetation</s>,,
<s>Weeds</s>,"SE 22-75-11, <s>KP 7.98 to KP 8.00</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,Resolved,3. <s>Vegetation</s>,,
<s>Weeds</s>,"SE 22-75-11, KP 8.1 NE17-75-10, KP 0.1",<s>Bush</s>,<s>Weeds</s>,Reduced desired vegetation <s>growth</s>,Scentless chamomile was picked and disposed of  May 26 <s>and Sept 7</s>,Monitor in 2013 and implement control program as needed,3. <s>Vegetation</s>,,
Weeds and Undesirable <s>Species(cont’d)</s>,"SW 22-75-11, <s>KP 8.36 to KP 8.40</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation <s>growth</s>,<s>Monitored in 2012.</s>,Resolved,3. <s>Vegetation</s>,,
Alteration of Natural  Flow <s>Patterns</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP.</s>,,4. <s>Water Quality and Quantity</s>,,
Alteration  of  Fish and  Fish  Habitat <s>along the Route</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP.</s>,,5. <s>Fish and Fish Habitat</s>,,
Increased <s>Sedimentation</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012,,5. <s>Fish and Fish Habitat</s>,,
Alteration of Wetland Habitat <s>along the Route</s>,"SW 19-75-10, <s>KP 3.71 to KP 3.84</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,<s>Resolved</s>,6. <s>Wetlands</s>,,
Alteration of Wetland Habitat <s>along the Route</s>,"NW 14-75-11, <s>KP 6.50 to KP 6.52</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,<s>Resolved</s>,6. <s>Wetlands</s>,,
Alteration of Wetland Habitat <s>along the Route</s>,"SE 22-75-11, <s>KP 7.98 to KP 8.00</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,<s>Resolved</s>,6. <s>Wetlands</s>,,
Alteration of Wetland Habitat <s>along the Route</s>,"SW 22-75-11, <s>KP 8.36 to KP 8.40</s>",<s>Wetland</s>,Undesirabl<s>e species</s>,Reduced desired vegetation,<s>Monitored in 2012.</s>,<s>Resolved</s>,6. <s>Wetlands</s>,,
Alteration of Wildlife Habitat <s>along the Route</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP.</s>,,7. <s>Wildlife and Wildlife Habitat</s>,,
Loss  of  Species at Risk  or  Species  of <s>Special Status</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during <s>preconstruction activities.</s>,,8. <s>Species at Risk or Species of Special Status</s>,,
Alteration of Air Quality along the <s>Route</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during <s>preconstruction activities.</s>,,9. <s>Air Quality</s>,,
Alteration of the Acoustic Environment along <s>the Route</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during <s>preconstruction activities.</s>,,<s>10.    Acoustic Environment</s>,,
Loss or alteration of Heritage Resources along <s>the Route</s>,<s>--</s>,<s>--</s>,<s>--</s>,<s>--</s>,No environmental issues identified during the 2012 <s>PCMP.</s>,,<s>11.    Heritage Resources</s>,,
