Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
B 025 K/094 I 11,Forested Moderate/High Vegetation Establishment,"Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment. Silt fencing removed at KP 0.0 in November 2014, issue resolved.","June 21, 2016 - KP 0+000 valve site.  No vegetation present within fenced and gravelled facility or within the 2 meter buffer  July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 19, 2016 - Previous herbicide application has proven effective. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. - KP 0+250 – Roll back and mounding have been implemented and is effectively controlling access.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 – Intermittent herbicide application conducted to control perennial sow thistle.","June 25, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 0+000 to 0+400 - Perennial sow thistle observed intermittently, recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - Rollback is present in tract from KP 0+200 to 0+300 and is functioning well as access control as no third party activity was identified. - No erosion, subsidence or soil stability issues were noted within tract. July 20, 2018 – KP 0+000 to 0+400 – Intermittent herbicide application conducted to control perennial sow thistle.  September 22, 2018 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
A 025 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 5, 2017 - Rollback and mounding present on ROW from KP 0+200 to 0+300 providing effective access control for the area. Access control functioning well as no third party use was observed on ROW. August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - Intermittent herbicide application conducted to control perennial sow thistle.","June 25, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 0+000 to 0+400 - Perennial sow thistle observed intermittently, recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - Rollback is present in tract from KP 0+200 to 0+300 and is functioning well as access control as no third party activity was identified. - No erosion, subsidence or soil stability issues were noted within tract. July 20, 2018 – KP 0+000 to 0+400 – Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
A 025 K/094 I 11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 -  - Emergent riparian vegetation present throughout (High; 80 – 100 % vegetation cover compared to off right-of-way) wetland. - Alder/willow species present along fringe of wetland. - Wetland functional, issue resolved.","August 5, 2017 - Shrubby Swamp on ROW from KP 0+230 to 0+330 appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of alder, willow, poplar, herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic species throughout wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. Mounding and rollback present through majority of wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Gleying observed in subsoil within wetland. - Wetland exhibiting semi-saturated conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Shrubby Swamp on ROW from KP 0+230 to KP 0+330 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Rollback and mounding present through wetland from KP 0+200 to KP 0+300.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow and broadleaf shrubs. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross- drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
D 015 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 – Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - Intermittent herbicide application conducted to control perennial sow thistle.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 0+400 to 0+660 – Perennial sow thistle observed intermittently.  Weed control recommended. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 20, 2018 – KP 0+400 to 0+660 – Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
D 015 K/094 I 11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout (High; 80 – 100 % vegetation cover compared to off right-of-way) wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of standing water located within wetland. - Wetland functional, issue resolved.","August 5, 2017 - Shrubby Swamp on ROW from KP 0+440 to 0+540 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of alder, willow, poplar, broadleaf shrubs, herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic species throughout wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through low-moderate moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Gleying observed in subsoil within wetland. - Wetland exhibiting dry conditions comparing with off ROW conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover; birds observed using wetland. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Mixedwood Treed Swamp on ROW from KP 0+440 to KP 0+540 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow and broadleaf shrubs. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
C 014 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way).  Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. Deciduous species exceeding 2m in height along tract. - Common weed densities are comparable to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains are well vegetated and functioning well. - No subsidence or erosional issues evident in tract. October 4, 2017 - Intermittent herbicide application conducted to control perennial sow thistle","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 0+660 to 1+390 - Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 20, 2018 – KP 0+660 to 1+390 – Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout (High; 80 – 100 % vegetation cover compared to off right-of-way) wetland. - Spruce saplings establishing along ROW boundaries. - Wetland functional, issue resolved.","August 5, 2017 - Treed bog on ROW from KP 0+700 to 0+900 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of Labrador tea, sphagnum mosses, herbaceous graminoids, willows and alder. Good establishment of hydrophytic species through wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Peat depth exceeding 40cm; mottling occurring. - Wetland exhibiting saturated conditions comparing with off ROW conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover; birds observed using wetland. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Treed Bog on ROW from KP 0+700 to KP 0+900 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), sphagnum mosses, horsetails, alder, willow, Labrador tea, bog cranberry and reindeer lichen. Black spruce saplings emerging across width of ROW.  - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted.  - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring throughout wetland. Substrate samples show peat accumulation to exceed 0.3m in depth both on and off ROW.  - Substrate within wetland exhibiting semi-saturated conditions with the water table residing slightly below the ground surface. Substrate exhibiting very high moisture retention capabilities. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird and amphibian species observed using wetland. Evidence of mammal use identified throughout wetland. - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Off ROW vegetation successfully encroaching across ROW; biodiversity maintained.",,,
,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout (High; 80 – 100 % vegetation cover compared to off right-of-way) wetland. - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - No noxious weeds observed within wetland. - Wetland functional, issue resolved.","August 5, 2017 - Shrubby Swamp on ROW from KP 0+900 to 1+030 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and sphagnum mosses. Good establishment of hydrophytic species throughout wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Gleying observed in subsoil within wetland. Humification occurring in substrate. - Wetland exhibiting semi-fully saturated conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Shrubby Swamp on ROW from KP 0+900 to KP 1+030 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids (rushes & grasses), horsetails, willow and alder. Good establishment of hydrophytic species throughout wetland including common cattail, arum-leaved arrowhead, common Mares tail and marsh grass paranassus. Some raspberry and alsike clover present on elevated ditch roach.  - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High organics and humification present throughout the majority of the wetland; conditions are comparable with off ROW. - Substrate within wetland exhibiting moderately-dry conditions with saturation increasing to the west into treed bog wetland. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird and amphibian species were observed in wetland. Evidence of mammal use through wetland was also observed. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
D 014 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth (High; 80 – 100 % vegetation cover compared to off right-of-way). Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract.","August 10, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, poplar, alder, willows and shrubs. Deciduous species exceeding 2m in height along tract. - Intermittent herbicide application conducted to control perennial sow thistle. - Trench crown present throughout tract and stable; cross drains are well vegetated and functioning well. - No subsidence or erosional issues evident in tract.","June 24, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, bluebell, milk vetch, large-leaf aven, clover, wild rose, raspberry and common yarrow. Good establishment of broadleaf trees throughout tract including alder, willow and aspen. - KP 0+660 to 1+390 - Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 20, 2018 – KP 0+660 to 1+390 – Intermittent herbicide application conducted to control perennial sow thistle. September 22, 2018 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
D 014 K/094 I 11 to  C 013 K/094 I 11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout (High; 80 – 100 % vegetation cover compared to off right-of-way) wetland. - Alder/willow species present along fringe of wetland. - Wetland functional, issue resolved.","August 5, 2017 - Treed swamp on ROW from KP 1+350 to 1+450 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and sphagnum mosses. Good establishment of hydrophytic species throughout wetland. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. Gleying observed in subsoil within wetland. Humification occurring in substrate. - Wetland exhibiting semi-fully saturated conditions; no ponding water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 5, 2018 - Mixedwood Treed Swamp on ROW from KP 1+350 to KP 1+450 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow and broadleaf shrubs. - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
