Location (Parcel),Land Use,Condition/ Issues Noted (Rating),"Kilometre Post1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
VME2009a,Cultivated,Watercourse - Tributary to Robinson Creek (WC01) (Low),0+000,• Good first-year vegetation establishment was observed for this watercourse crossing • No evidence of terrain instability observed,Monitor in 2019,Unresolved,,,
VME2009a,Cultivated,Plant Growth (Moderate),0+000 to 0+737,• Limited vegetation cover compared to annual crop off ROW • Recent July 2018 subsidence repairs caused limited vegetation cover,Monitor in 2019,Unresolved,,,
VME2015,Cultivated,Plant Growth (Moderate),0+737 to 0+800,• Limited vegetation cover compared to annual crop off ROW • Recent July 2018 subsidence repairs caused limited vegetation cover,Monitor in 2019,Unresolved,,,
VME2015,Wooded,Plant Growth (Low),0+800 to 1+014,• Forested area was undisturbed  • Pipeline was directionally drilled and had no impact on vegetation or terrain,None,No issue,,,
VME2015,Wetland,Wetland 01 (HDD) (Low),0+840 to 0+990,• Provincially Non-Significant Wetland 01 was undisturbed  • Pipeline was directionally drilled and had no impact on vegetation or terrain,Monitor in 2019,Unresolved,,,
VME2017,Cultivated,Noxious Weeds (Moderate),1+014,"• Common ragweed (Ambrosia artemisiifolia), creeping thistle (Cirsium arvense) and perennial sow thistle (Sonchus arvensis) were present with high densities and continuous distributions • Weeds present as a result of the limited vegetation cover from subsidence repairs",Monitor in 2019 and control as required,Unresolved,,,
VME2017,Cultivated,Plant Growth (Moderate),1+014 to 1+417,• Limited vegetation cover compared to annual crop off ROW.  • Recent July 2018 subsidence repairs caused the limited vegetation cover,Monitor in 2019,Unresolved,,,
VME2017,Wooded,Plant Growth (Moderate),1+150,• Evidence of a shoo-fly (temporary access) observed perpendicular to ROW for recent subsidence repairs • Limited desirable vegetation was establishing along alternate temporary access • There were no landscape issues observed,Monitor in 2019,Unresolved,,,
VME2017,Wooded,Watercourse - Tributary to Robinson Creek (WC02 and WC03) (N/A),N/A,"• Watercourses - Tributary to Robinson Creek (WC02 and WC03) located along temporary access, off ROW • No issues observed from ROW",None,No issue,,,
VME2017,Wetland,Wetland 00 (Access Road only) (N/A),1+000 to 1+200,"• Provincially non-significant Wetland 00 located along temporary access, off ROW • No issues observed from ROW",None,No issue,,,
VME2017,Wooded,Watercourse - Tributary to Rainbow Creek (WC04) (N/A),N/A,• Watercourse -Tributary to Rainbow Creek (WC04) located off ROW • No issues observed from ROW,None,No issue,,,
VME2020,Cultivated and Wooded,Watercourse - Tributary to Rainbow Creek (WC05) Watercourse - Tributary to Rainbow Creek (WC06) Watercourse - Tributary to Rainbow Creek (WC07) (Low),1+417 to 1+852,"• Pipeline was directionally drilled and had no impact on vegetation or terrain • Watercourses - Tributary to Rainbow Creek (WC05, WC06, WC07) were undisturbed",Monitor in 2019,Unresolved,,,
VME2020,Cultivated and Wooded,Plant Growth (Low),1+417 to 1+852,• Pipeline was directionally drilled and had no impact on vegetation or terrain,None,No issue,,,
VME2020,Wetland,Wetland 02 (Nashville Road HDD) (Low),1+400 to 1+820,• Pipeline was directionally drilled and had no impact on vegetation or terrain • Provincially non-significant Wetland 02 was undisturbed,Monitor in 2019,Unresolved,,,
VME2023,"Cultivated, Wetland and Wooded",Plant Growth (Low),1+852 to 2+251,• Pipeline was directionally drilled and had no impact on vegetation or terrain,None,No issue,,,
VME2023,Wooded,Watercourse - Tributary to Rainbow Creek (WC08) Watercourse - Tributary to Rainbow Creek (WC09) (Low),1+875 to 2+030,"• Pipeline was directionally drilled and had no impact on vegetation or terrain • Watercourse - Tributary to Rainbow Creek (WC08, WC09) were undisturbed",Monitor in 2019,Unresolved,,,
VME2023,Wetland,Wetland 03 (Nashville Road HDD) (Low),2+110 to 2+250,• Pipeline was directionally drilled and had no impact on vegetation or terrain • Provincially non-significant Wetland 03 was undisturbed,Monitor in 2019,Unresolved,,,
VME2023,Cultivated,Watercourse - Tributary to Rainbow Creek (WC10) (N/A),N/A,"• Watercourse -Tributary to Rainbow Creek (WC10) located along temporary access road, off ROW  • No issues observed from ROW",None,No issue,,,
VME2028,Cultivated,Plant Growth (Low),2+251 to 2+300,• Crop growth on the ROW was observed to be comparable to off the ROW,None,No issue,,,
VME2028,Cultivated,Plant Growth (Moderate),2+300 to 2+665,• Limited vegetation cover compared to annual crop off ROW • Recent July 2018 subsidence repairs caused the limited vegetation cover,Monitor in 2019,Unresolved,,,
VME2028,Cultivated,Noxious Weeds (Low),2+251 to 2+665,• Perennial sow thistle (Sonchus arvensis) and common ragweed (Ambrosia artemisiifolia) were comparable on and off ROW,None,No issue,,,
VME2028 continued,Wooded,Watercourse - Tributary to Rainbow Creek (WC11)  Watercourse - Tributary to Rainbow Creek (WC12) (Low),2+660 and 2+670,"• Good first-year vegetation establishment was observed for these watercourse crossings • No evidence of terrain instability observed • Sediment control measures (i.e., coir wrap, revetment posts and sediment fence) were observed to be intact and stable • As a result of the good vegetation cover, the sediment fencing on the north side of WC11/WC12 is no longer required and can be removed • Sediment fencing removed October 22 and 24, 2018",Monitor in 2019,Unresolved,,,
VME2031,Cultivated,Plant Growth (Moderate),2+665 to 3+085,• Limited vegetation cover compared to annual crop off ROW.  • Recent July 2018 subsidence repairs caused the limited vegetation cover,Monitor in 2019,Unresolved,,,
VME2031,Wooded,Subsidence (Moderate),2+675,• A small crack (less than 5cm wide) along ditch line and slope crests was observed north of watercourse Tributary to Rainbow Creek (WC12) • There is currently no impact to the recovery of the ROW and no work is required,Monitor in 2019,Unresolved,,,
VME2031,Wooded,Watercourse - Tributary to Rainbow Creek (WC13) (Low),2+785,"• Watercourse was assessed as a field drain • Limited vegetation cover is result of July 2018 subsidence repairs • No evidence of terrain instability was observed • Sediment fence was observed along slope near the watercourse • As a result of the good vegetation cover, the sediment fencing surrounding this watercourse is no longer required and can be removed • Sediment fencing removed October 22 and 24, 2018",Monitor in 2019,Unresolved,,,
VME2031,Wooded,Watercourse - Tributary to Rainbow Creek (WC14) (Low),2+800,• Good first-year vegetation establishment was observed for this watercourse crossing • No evidence of terrain instability was observed • Watercourse appeared to run along the west side of ROW,Monitor in 2019,Unresolved,,,
VME2031,Wooded,Watercourse - Tributary to Rainbow Creek (WC15) (Low),2+905,• Limited vegetation cover is result of recent disturbance activity during July 2018 subsidence repairs  • Minor rill erosion less than 5 cm wide was observed along the slope north of the watercourse,Monitor in 2019,Unresolved,,,
VME2031,Wetland (off ROW),Wetland 04 (TWS only)  (N/A),3+060 to 3+085,• Provincially non-significant Wetland 04 (KP 3+060 to 3+700) was undisturbed • Tormore wetland complex identified west of the ROW with landowner cultivating full ROW,None,No issue,,,
VME2032,Cultivated,Plant Growth (Moderate),3+085 to 3+506,• Limited vegetation cover compared to annual crop off ROW • Recent July 2018 subsidence repairs caused limited vegetation cover,Monitor in 2019,Unresolved,,,
VME2032,Wetland (off ROW),Wetland 04 (TWS only)  (N/A),3+085 to 3+506,• Provincially non-significant Wetland 04 (KP 3+060 to 3+700) was undisturbed • Tormore wetland complex identified west of the ROW with landowner cultivating full ROW,None,No issue,,,
VME2034,Wetland (off ROW),Wetland 04 (TWS only)  (N/A),3+506 to 3+700,• Provincially non-significant Wetland 04 (KP 3+060 to 3+700) was undisturbed • Tormore wetland complex identified west of the ROW with landowner cultivating full ROW,None,No issue,,,
VME2034,Cultivated,Plant Growth (Moderate),3+506 to 3+742,"• Limited vegetation cover compared to off ROW  • Recent, July 2018, subsidence repairs caused limited vegetation cover",Monitor in 2019,Unresolved,,,
VME2034,Cultivated,Noxious Weeds (Low),3+506 to 3+742,"• Perennial sow thistle (Sonchus arvensis), bull thistle (Cirsium vulgare), common ragweed (Ambrosia artemisiifolia) and creeping thistle (Cirsium arvense) were observed to be comparable on and off ROW • Parcel is south of the railway",None,No issue,,,
VME2029,Disturbed Land,Railway (N/A),3+742 to 3+761,• Railway crossing,None,No issue,,,
VME2040,Disturbed Land,Noxious Weeds (Low),3+761 to 3+773,"• Perennial sow thistle (Sonchus arvensis), bull thistle (Cirsium vulgare), common ragweed (Ambrosia artemisiifolia) and creeping thistle (Cirsium arvense) were observed to be comparable on and off ROW • Parcel is north of the railway and borders another disturbance to the northeast",None,No issue,,,
VME2040,Disturbed Land,Plant Growth (Low),3+761 to 3+773,• Limited plant growth and bare areas were observed on the ROW which were comparable to off the ROW,None,No issue,,,
VME2039,Disturbed Land,Noxious Weeds (Low),3+773 to 3+863,"• Perennial sow thistle (Sonchus arvensis), bull thistle (Cirsium vulgare), common ragweed (Ambrosia artemisiifolia) and creeping thistle (Cirsium arvense) were observed to be comparable on and off ROW • Area is disturbed with historical soil pile on the easement • Parcel borders another disturbance to the east",None,No issue,,,
VME2039,Disturbed Land,Plant Growth (Low),3+773 to 3+863,• Limited plant growth and bare areas were observed on the ROW which were comparable to off the ROW,None,No issue,,,
VME2038,Disturbed Land,Plant Growth (N/A),3+863 to 3+900,• Area is disturbed with historical soil pile observed in the area,None,No issue,,,
VME2038,Disturbed Land,Plant Growth (Low),3+900 to 3+918,• Small fenced area with good vegetative coverage (grasses),None,No issue,,,
VME1005,Disturbed Land,Road (N/A),3+918 to 3+938,• Road crossing (Kirby Road),None,No issue,,,
VME2044,Wooded,Plant Growth / Noxious Weeds (High),3+938 to 4+144,"• Bull thistle (Cirsium vulgare), common ragweed (Ambrosia artemisiifolia) and creeping thistle (Cirsium arvense) were present with moderate densities and patched distribution • Vegetation dominated by sweet clover (Melilotus spp.) and Queen Anne’s Lace (Daucus carota)",Monitor in 2019 and control as required,Unresolved,,,
VME2044,Wooded,Drainage (Low),4+070,"• Drainage was well vegetated  • Sediment control measures (i.e., rip rap) were stable and in place",None,No issue,,,
VME1009,Wooded,Plant Growth / Noxious Weeds (Moderate),4+144 to 5+193,• Limited desirable vegetation was establishing • Common ragweed (Ambrosia artemisiifolia) was present at moderate densities and patched distribution • Tyrol knapweed (Centaurea nigrescens) was present at low densities and sporadic distribution,Monitor in 2019 and control as required,Unresolved,,,
VME1009,Wooded,Watercourse - Tributary to Main Humber River (WC16) Watercourse - Tributary to Main Humber River (WC16a) (Low),4+444,"• Good first-year vegetation establishment was observed for these watercourse crossings • No evidence of terrain instability observed  • Sediment fencing was observed on the watercourse banks • As a result of good vegetation cover the sediment fencing on the north side of WC16 and can be removed • Sediment fencing removed October 22, 2018",Monitor in 2019,Unresolved,,,
VME1009,Wooded,Watercourse - Tributary to Main Humber River (WC17) (Low),4+530,"• Good first-year vegetation establishment was observed for this watercourse crossing • No evidence of terrain instability observed  • Sediment fencing and well vegetated diversion berms were observed on the watercourse banks; Sediment fencing on the north side of WC17 can be removed • Sediment fencing removed October 22, 2018",Monitor in 2019,Unresolved,,,
VME1010,Disturbed Land,Road (N/A),5+193 to 5+213,•Road crossing,None,No issue,,,
VME3006,Wooded,Watercourse - Main Humber River (WC18) Watercourse - Tributary to Main Humber River (WC19) Watercourse - Tributary to Main Humber River (WC20) (Low),5+213 to 6+066,"• Watercourses – Main Humber River and the Tributary to the Main Humber River (WC18, WC19, WC20) were undisturbed  • Pipeline was directionally drilled and had no impact on vegetation or terrain",Monitor in 2019,Unresolved,,,
VME3006,Wooded,Plant Growth (Low),5+213 to 6+066,• Pipeline was directionally drilled and had no impact on vegetation or terrain,None,No issue,,,
VME2055,Wooded,Plant Growth (Low),6+066 to 6+240,• Pipeline was directionally drilled and had no impact on vegetation or terrain,None,No issue,,,
VME2055,Wooded,Watercourse - Tributary to Main Humber River (WC21) Watercourse - Tributary to Main Humber River (WC22) (Low),6+070,• Pipeline was directionally drilled and had no impact on vegetation or terrain • Watercourses - Tributaries to Main Humber River (WC21 and WC22) was undisturbed,Monitor in 2019,Unresolved,,,
