Legal Land Description,Land Use,Issue/Condition,KP,Notes,Status,Recommendations,VEC,GIS,Topic
NE 26-094-02W6,Forested Lowland,Low Vegetation,0 to 0.03,Existing disposition.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Lowland,Low Vegetation Establishment,0.03 to 0.15,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Lowland,Habitat Restoration,0.08 to 0.15,Planted black spruce.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Habitat Restoration,0.15 to 0.22,Planted white spruce.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Low Vegetation Establishment,0.15 to 0.34,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Line of Sight Break,0.22 to 0.23,Vegetation retention.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Line of Sight Break,0.26 to 0.27,Vegetation retention.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Habitat Restoration,0.27 to 0.34,Planted white spruce.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Lowland,Low Vegetation Establishment Noxious Weeds,0.34 to 0.70,Low vegetation establishment. Clusters of scentless chamomile observed on right-of-way.,Monitor,Monitor for scentless chamomile growth in 2016 and control if required. Monitor in 2016.,,,
SE 35-094-02W6,Forested Lowland,Habitat Restoration,0.34 to 0.69,Planted black spruce.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Low Vegetation Establishment,0.69 to 0.90,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Habitat Restoration,0.69 to 0.75 0.83 to 0.85,Planted white spruce.,Monitor,Monitor in 2016.,,,
SE 35-094-02W6,Forested Upland,Rollback,0.85 to 0.90,Access control.,Complete,None,,,
SW 35-094-02W6,Forested Upland,Low Vegetation Establishment,0.90 to 1.00,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
SW 35-094-02W6,Forested Upland,Rollback,0.90 to 0.93,Access control.,Complete,None,,,
SW 35-094-02W6,Forested Upland,Habitat Restoration,0.93 to 0.98,Planted white spruce.,Monitor,Monitor in 2016.,,,
NW 35-094-02W6,Forested Upland,Low Vegetation Establishment,1.00 to 1.53,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NW 35-094-02W6,Forested Upland,Line of Sight Break,1.03 to 1.04,Vegetation retention.,Complete,None,,,
NW 35-094-02W6,Forested Upland,Habitat Restoration,1.03 to 1.09 1.15 to 1.43 1.48 to 1.53 1.69 to 1.90,Planted white spruce present.,Monitor,Monitor in 2016.,,,
,,Rollback,1.09 to 1.15,Access control. Planted white spruce present.,Complete,None,,,
,,Line of Sight Break,1.43 to 1.48,Planted white spruce present.,Monitor,Monitor in 2016.,,,
,Forested Lowland,Low Vegetation Establishment,1.53 to 1.69,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
,Forested Upland,Low Vegetation Establishment,1.69 to 1.90,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
NE 34-094-02W6,Forested Upland,Low Vegetation Establishment,1.90 to 2.18,Low vegetation establishment observed on the majority of this section of the right-of-way.,Monitor,Monitor in 2016.,,,
