Alignment  Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Repairs to Date  (2010 and 2011),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
13,NE 18-42-9,HT 1.56,327.04,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
13,NW 17-42-9,HT 1.92 to HT 1.98,327.05,Wetland Class Overall: IV Wetland Class on construction right-of-way: III 2008 Health: healthy (93%),Health: healthy with problems (77%). Weeds: none observed Riparian: woody vegetation removed. Bare ground on construction right-of-way. Heavily disturbed by cattle.,Health: Healthy with Problems (73%) Weeds: none observed Disturbance and weedy species observed along construction right-of-way Bare ground due to cattle grazing and pugging,Reseeded in summer 2011.,Unresolved,Monitor in 2011.,,W4M,
13,NW 17-42-9,HT 2.0 to HT 2.1,327.05,Vegetation - Rare Plant,12 plants found in 5 locations.,"150-200 plants in seed in a 65 m (east/west) by 34 m (north/south) area, north of wetland and south of pipeline.  No new threats to population.",--,Resolved,None.,,W4M,
13,NE 16-42-9,HT 4.0 to 179.9,327.08 332,Vegetation – Weeds,"Moderate density of scentless chamomile, narrow-leaved hawk's-beard and shepherd's-purse on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
13,NE 16-42-9,HT 4.0 to 179.9,327.08 332,Vegetation - Establishment,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in 2010 and 2011.,Resolved,None.,,W4M,
13,NE 16-42-9,179.9,332,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
13,SE 15-42-9,180.88 to 180.94,333,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W4M,
13,SE 15-42-9,180.9,335,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
13,SW 14-42-9,181.9,336,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
14,NE 11-42-9,182.9,338,Vegetation - Rare Plant,Plant was not found.,Confirmed the population is located off the construction construction right-of-way.,--,Resolved,None.,,W4M,
14,NW 6-42-8 to  SE 33-41-8,185.6 to 191.2,342 to 350,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Reseeded in summer 2011.,Resolved,None.,,W4M,
14,NW 33-41-8,189.4,348,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,"Monitor in 2012 and repair, if warranted.",,W4M,
15,SW 26-41-8  to  SE 26-41-8,194.0,356 to 357,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,NW 24-41-8,195.0,359,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,SE 24-41-8,196.7 to 196.85,361,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
15,SW 19-41-7 to  NW 17-41-7,196.85 to 199.6,362 363 364 365,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reseeded in fall 2011.,Unresolved,Monitor grass growth in 2012.,,W4M,
15,SE 19-41-7,198.1,363,Vegetation - Weeds,--,Moderate density of creeping thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
15,SE 17-41-7,200.40 to 200.52,367,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: healthy with problems (63%),Health: unhealthy (58%). Weeds: creeping thistle. Landowner has cultivated portion of construction right-of-way. Undesirable species dominant.,Health: Healthy with Problems (63%),Reseeded in summer 2011.,Resolved,None.,,W4M,
15,SE 16-41-7,201.9,369,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,NE 9-41-7,202.3,370,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,SE 10-41-7,203.86 to 203.9,373,Wetland Class Overall: IV Wetland Class on construction right-of-way: II 2008 Health: healthy (82%),Health: healthy with problems (63%).  Undesirable species (foxtail barley) dominant on construction right-of-way. Riparian: woody vegetation removed. Bare ground on construction right-of-way. Grade does not match preconstruction profile.,"Health: Healthy with Problems (69%) Despite the decrease in health status, this wetland is determined to be Resolved due to no-project related disturbances (i.e., landowner seeding)",--,Resolved,None.,,W4M,
15,SW 6-41-6,207.8,380,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
15,SE 6-41-6,208.8,381,Vegetation – Weeds,"Moderate density of stinkweed, lamb's-quarters, shepherd's purse and flixweed on construction right-of-way.","Moderate density of lamb’s-quarters, shepherd’s-purse and redroot pigweed observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Follow weed control plan and monitor in 2012.,,W4M,
15 (cont’d),SE 6-41-6 (cont’d),208.8,381,Soils - Subsidence,Issue reported by construction contractor.,No issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
