"Legal Location (94B1),  KP range",Land Use,Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
c-67-I KP 0.000 to KP 0.317,Forested,Vegetation - Establishment,Unable to assess vegetation due to recent disturbance. No seeding evident.,"Monitor in 2015 for vegetation establishment and seed, if warranted.",,,
b-67-I KP 0.317 to KP 0.525,Forested,No issues observed,--,--,,,
c-57-I KP 0.525 to KP 1.015,Forested,Vegetation - Establishment,"Establishment issue observed at KP 0.525. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way, however, evidence of regrowth exists.","Monitor in 2015 for vegetation establishment and seed, if warranted.",,,
c-57-I KP 1.015 to KP 1.095,Watercourse,No issues observed,--,--,,,
NW 94-B1-57I KP 1.095 to KP 1.163,Watercourse,No issues observed,--,--,,,
b-57-I KP 1.163 to KP 1.524,Forested,Vegetation - Establishment,"Establishment issue observed from KP 1.163 to KP 1.350. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way, but evidence of regrowth exists.",Monitor in 2015 for vegetation establishment.,,,
b-57-I KP 1.163 to KP 1.524,Forested,Vegetation - Weeds,Single scentless chamomile plant observed at KP 1.315.,Hand pull individual weeds in 2014 and monitor in 2015.,,,
c-47-I KP 1.524 to KP 1.985,Forested,Soil - Erosion,"Erosion issue observed at KP 1.730 (10-15 cm wide, 7-10 cm deep).",Repair erosion in 2014 and monitor in 2015.,,,
c-47-I KP 1.524 to KP 1.985,Forested,Vegetation - Establishment,Unable to assess vegetation on slope due to recent disturbance from KP 1.730 to KP 1.975. No seeding evident.,"Seed impacted area in 2014, if warranted, and monitor vegetation establishment in 2015.",,,
b-47-I KP 1.985 to KP 2.470,Forested,Soil - Erosion,"Erosion issue observed at KP 2.310, however, vegetation is well established.",Monitor in 2014.,,,
b-47-I KP 1.985 to KP 2.470,Forested,Vegetation - Establishment,"Establishment issue observed at KP 2.209. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way, but evidence of regrowth exists.","Monitor in 2015 for vegetation establishment and reseed, if warranted.",,,
c-37-I KP 2.470 to KP 2.891,Forested,Soil - Erosion,"Erosion issue observed from KP 2.485 to KP 2.508 (10-12 cm wide, 10 cm deep).","Monitor in 2015 and repair erosion, if warranted.",,,
c-37-I KP 2.470 to KP 2.891,Forested,Vegetation - Weeds,Single scentless chamomile plant observed at KP 2.593.,Hand pull individual weeds in 2014 and monitor in 2015.,,,
b-37-I KP 2.891 to KP 3.117,Forested,Vegetation - Establishment,"Establishment issue observed at KP 3.044 on right-of-way, but some evidence of regrowth exists.",Monitor in 2015 for vegetation establishment.,,,
a-37-I KP 3.117 to KP 3.325,Forested,Vegetation - Establishment,"Establishment issue resulting from compaction observed from KP 3.192 to KP 3.325, but some evidence of regrowth exists.",Monitor in 2015 for vegetation establishment.,,,
a-37-I KP 3.117 to KP 3.325,Forested,Soil - Compaction,Compaction issue observed from KP 3.192 to KP 3.325 affecting vegetation establishment.,Monitor in 2015.,,,
a-37-I KP 3.325 to KP 3.384,Watercourse,No issues observed,--,--,,,
c-27-I KP 3.384 to KP 3.602,Forested,Vegetation - Establishment,Unable to assess vegetation due to recent disturbance from KP 3.384 to KP 3.602. No seeding evident.,Landowner to seed in spring 2014. Monitor in 2015.,,,
