Legal Location (W4M),Land Use,1st Year (2013) Issue(s),1st Year (2013) Notes,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW-34-81-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"Some minor ponding. Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland and forested areas had moderate to high vegetation cover.","July 10, 2014 • 80-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on RoW.","June 7, 2015 - Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015 - 85% vegetation establishment compared to off-RoW control. - Minor patches of reduced vegetation cover present on RoW. - Wetlands within tract are stable and well vegetated at this time. - No Noxious weeds observed within tract during assessment. September 13, 2015 - Vegetation continues to establish throughout the RoW. Grasses and forbs as well as low shrubs were noted throughout the RoW.  - Wetland vegetation well established.  - Soils stable at time of assessment. No integrity concerns were observed.",,,
SW-3-82-6 W4,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-01). No issues observed.,No issues noted,No issues noted,,,
SW-3-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"Some minor ponding. Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland and forested areas had moderate to high vegetation cover.","July 5, 2014 • Water has ponded on ditchline at screw anchor sites at kp 0+860. July 10, 2014 • 70-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on RoW.","June 7, 2015- Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- 85% vegetation establishment compared to off-RoW. - Minor patches of reduced vegetation cover present on RoW. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - Wetlands within tract are stable and well vegetated at this time. - No Noxious weeds observed within tract during assessment. September 13, 2015 - Vegetation continues to establish throughout the RoW. Grasses and forbs as well as low shrubs were noted throughout the RoW. - Soils stable at time of assessment. No integrity concerns were observed.",,,
NW-3-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"Some minor ponding. Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland and forested areas had moderate to high vegetation cover.","July 10, 2014 • 80-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time.","June 7, 2015- Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- 85% vegetation establishment compared to off-RoW. - Minor patches of reduced vegetation cover present on RoW. - Wetlands are stable and well vegetated at this time. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - No noxious weeds observed within tract during assessment. September 13, 2015 - Vegetation was determined to be well established at time of site assessment. Small shrubs, willows and trees were observed throughout the RoW at the time of assessment.  - Wetland vegetation appeared to be well established at time of assessment.  - Soils stable at time of assessment. No integrity concerns were observed.",,,
NW-3-82-6 W4,Treed Wetland / Watercourse,Water channelling,"Was repaired during final clean-up by creating more openings in the roach in the winter of 2013. Water was running down the trenchline; if not down cutting, no need to repair.","No issues noted, 2013 issue is resolved.",No issues noted,,,
NW-3-82-6 W4,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-02). No issues observed.,No issues noted,No issues noted,,,
SW-10-82-6 W4,Treed Wetland / Forested,Minor ponding at screw anchor sites,Some minor ponding. Wetland and forested areas had moderate to high vegetation cover. Some minor ponding.,"July 5, 2014 • TCPL pipeline markers have fallen over at kp 2+450. Reposition pipeline markers at any time. July 10, 2014 • 75-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Pipeline markers repaired at KP 2+450 - Wetlands within tract are well ve+getated and stable at this time.","June 7, 2015 - Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- 85% vegetation establishment compared to off-RoW. - Minor patches of reduced vegetation cover present on ditchline. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. July 22, 2015 - Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the RoW. - Soils stable at time of assessment. No integrity concerns were observed.",,,
,Treed Wetland,Minor subsidence at the crossing site,Was repaired in the winter of 2013. Some minor subsidence remains.,"July 10, 2014 • 75-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor subsidence on ditchline located at kp 2+630 road allowance. Continue to monitor.","June 7, 2015- Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015 - 85% vegetation establishment compared to off-RoW. - Repaired fallen marker post at north side of road crossing at KP 2+600. July 22, 2015- Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the RoW. - Soils stable at time of assessment. No integrity concerns were observed.",,,
,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"Some minor ponding at screw anchor sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland areas had moderate to high vegetation cover. Graded and conifer areas had low to moderate vegetation cover. There was moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at temporary work space (TWS) areas.","July 10, 2014 • 75-85% vegetation establishment compared to off RoW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - TCPL pipeline markers had fallen over at kp 2+630. Signs and markers were repositioned.","June 7, 2015- Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015 - 85% vegetation establishment compared to off-RoW. - Minor patches of reduced vegetation cover present on ditchline. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - Perennial Sow Thistle present along RoW on north side of road crossing at KP 2+600. Recommend herbicide application. July 22, 2015- Herbicide application conducted at KP 2+600 to control perennial sow thistle and hawkweed. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the RoW. - Soils stable at time of assessment. No concerns were observed.",,,
NW 10-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"Some minor ponding at screw anchor sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland areas had moderate to high vegetation cover. Graded and conifer areas had low to moderate vegetation cover. There was moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas.","July 5, 2014 • Patches of reduced vegetation observed along RoW at kp 2+950 attributed to recent soil disturbance. July 10, 2014 • 75-85% vegetation establishment compared to off RoW. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on RoW.","June 7, 2015- Vegetation appears to be establishing well along RoW.  - Wetlands appear stable throughout tract. - No subsidence or erosion issues evident from aerial assessment. . June 8, 2015 - 85% vegetation establishment compared to off-RoW. - KP 2+850 limited vegetation growth, monitor. - Perennial Sow Thistle present on RoW at KP 3+050 and KP 3+400. Recommend herbicide application. - Good poplar regeneration within temporary workspace located at KP 3+050, saplings are 1-2m tall. July 22, 2015 - Herbicide application conducted at KP 3+050 and KP 3+400 to control perennial sow thistle and hawkweed. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the RoW. - Soils stable at time of assessment. No subsidence or other integrity concerns were observed. Ponding at screw anchor sites no longer evident, 2013 issue resolved.  - Narrow Leafed Hawkweed was observed at time of assessment, herbicide application was conducted to provide control.",,,
