Location,KP Range,Land Use,Issue(s),Note(s),Status,Recommendation(s),VEC,GIS,Topic
b-76-J/094O06 to a-67-J/094O06,0.0 – 1.0,Forested,Vegetation - Weeds,High density of sweet-clover observed from KP 0.0 to KP 1.0.,Unresolved,Control weeds and monitor in 2014.,,,
b-76-J/094O06 to a-67-J/094O06,,,Physical Environment – Trench Crown,Excessive trench crown height (0.4 m to 0.8 m high) observed from KP 0.0 to KP 1.0.,Unresolved,Monitor in 2014 to ensure trench crown is not affecting cross right-of-way drainage.,,,
b-76-J/094O06 to a-67-J/094O06,,,Vegetation -  Establishment/Soil - Admixing,Low vegetation establishment observed at temporary work space likely due to moderately admixed soil at KP 0.1.,Unresolved,Monitor vegetation establishment in 2014.,,,
b-76-J/094O06 to a-67-J/094O06,,,Vegetation – Establishment/ Physical Environment - Contouring,Low vegetation establishment observed from KP 0.8 to KP 1.2 with associated rutting causing water to pool on construction  right-of-way.,Unresolved,Monitor vegetation establishment in 2014.,,,
b-76-J/094O06 to a-67-J/094O06,,,Physical Environment - Rutting,Rutting observed along south side of access road  (40 m long x 0.6 m wide) at KP 0.88 likely caused by third party vehicle traffic.,Unresolved,Repair rutting and monitor in 2014.,,,
b-76-J/094O06 to a-67-J/094O06,,Unnamed tributary to Tsinhia Creek (Watercourse [WC]1) [2],--,No issues observed at WC1 at KP 0.28 during 2013 ground reconnaissance.,Resolved,--,,,
a-67-J/094O06 to b-57-J/094O06,1.0 – 2.0,Forested,Vegetation - Weeds,High density of sweet-clover observed from KP 1.0 to KP 2.0.,Unresolved,Control weeds and monitor in 2014.,,,
a-67-J/094O06 to b-57-J/094O06,,,Physical Environment – Trench Crown,Trench crown (0.8 m high) observed from KP 1.0 to KP 2.0.,Unresolved,Monitor in 2014 to ensure trench crown is not affecting cross right-of-way drainage.,,,
a-67-J/094O06 to b-57-J/094O06,,,Vegetation - Establishment,Low vegetation establishment (100 m x 40 m) observed at KP 1.50.,Unresolved,Monitor vegetation establishment in 2014.,,,
a-67-J/094O06 to b-57-J/094O06,,Wetland (shrub swamp),Vegetation - Establishment,Preconstruction surveys identified a wetland (shrub swamp) from KP 1.14 to KP 1.46. Poor vegetation establishment was noted from KP 1.40 to KP 1.46.,Unresolved,Monitor vegetation establishment in 2014.,,,
a-67-J/094O06 to b-57-J/094O06,,Unnamed tributary to Tsinhia Creek (WC2) [2],--,No issues observed at WC2 at KP 1.45 during 2013 ground reconnaissance.,Resolved,--,,,
b-57-J/094O06 to d-48-J/094O06,2.0 – 3.0,Forested,Physical Environment – Trench Crown,Excessive trench crown height (0.4 m to 1.0 m high) observed from KP 2.0 to KP 2.6.,Unresolved,Monitor in 2014 to ensure trench crown is not affecting cross right-of-way drainage.,,,
b-57-J/094O06 to d-48-J/094O06,,,Vegetation - Weeds [1],MHigh density of sweet-clover observed from KP 2.0 to KP 2.6. Not present at non-classified drainage (NCD).  oderate density of sweet-clover observed from KP 2.92 to KP 3.0.,Unresolved,Control weeds and monitor establishment of desirable species in 2014.,,,
b-57-J/094O06 to d-48-J/094O06,,,Vegetation - Establishment/Soil – Admixing,"LLow vegetation establishment observed at KP 2.15 likely due to moderately admixed soil, and from KP 2.40 to KP 2.60 likely caused by severe admixing and soil saturation.  ow vegetation establishment observed from KP 2.70 to KP 2.92.",Unresolved,Monitor vegetation establishment in 2014.,,,
b-57-J/094O06 to d-48-J/094O06,,,Physical Environment - Subsidence,Subsidence observed along trench line holding water  (15 m long x 2 m wide x 0.4 m deep) at KP 2.31.,Unresolved,Repair subsidence and monitor in 2014.,,,
b-57-J/094O06 to d-48-J/094O06,,,Physical Environment - Erosion,Gully erosion (2 m long x 2 m wide x 0.7 m deep) observed at KP 2.4 on north and south banks of NCD depositing sediment into NCD.,Unresolved,Monitor erosion in 2014 and repair if unstable.,,,
b-57-J/094O06 to d-48-J/094O06,,Wetland (shrub swamp),Vegetation - Establishment,Preconstruction surveys identified a wetland (shrub swamp) from KP 2.28 to KP 2.43. Low vegetation establishment was noted from KP 2.40 to KP 2.43.,Unresolved,Monitor vegetation establishment in 2014.,,,
d-48-J/094O06 to d-39-J/094O06,3.0 – 4.0,Forested,Physical Environment - Trench Crown,Trench crown (0.5 m high) observed from KP 3.0 to KP 4.0.,Unresolved,Monitor in 2014 to ensure trench crown is not affecting cross right-of-way drainage.,,,
d-48-J/094O06 to d-39-J/094O06,,,Vegetation - Establishment/Physical Environment - Rutting,"LLow vegetation establishment and associated rutting (less than 0.15 m deep) observed from KP 3.0 to KP 3.01. ow vegetation establishment and rutting observed from KP 3.15 to KP 3.30 and KP 3.46 to KP 3.84, no erosion concerns.",Unresolved,Monitor vegetation establishment in 2014.,,,
d-48-J/094O06 to d-39-J/094O06,,,Vegetation - Weeds,"LHigh density of sweet-clover observed from KP 3.15 to KP 4.0, particularly on east side of construction right-of-way. ow density of Canada thistle observed at KP 3.30 and hand pulled in 2013.",Unresolved,Control weeds and monitor from in 2014.,,,
d-48-J/094O06 to d-39-J/094O06,,,Physical Environment - Erosion,Gully erosion (10 m long x 1 m wide x 0.25 m deep) observed at break in trench crown at KP 3.51.,Unresolved,Monitor erosion in 2014.,,,
