Legal Location (W5M),Land Use,Condition/Issues Observed (Rating),KP,Notes,Recommendation(s),Status,VEC,GIS,Topic
SE-11-053-18,Watercourse (WC 15),Watercourse (Low),0+000,•  Good first-year  plant  growth that  provides  adequate erosion control. •  Revetment posts are in place and effective. •  Sediment  fence  located  upslope  of  the  watercourse  can most likely be pulled after spring. •  Straw  wattles  in  place  and  should  be  kept  in  place  over winter. •  Banks  are  well  vegetated  and  stable  with  no  erosion observed.,Monitor in 2019.,Unresolved.,,,
SE-11-053-18,Forested,Noxious Weeds (High) Plant Growth (High),0+140,"•  Oxeye daisy (Leucanthemum vulgare) was identified with limited  distribution.  Noxious  weed  cover  greater than reference site. •  Good first year plant growth, but limited establishment of species observed relative to reference site.",Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
SW-11-053-18,Forested,Plant Growth (Low),0 + 920,•  Good first-year plant growth.,None.,No issues.,,,
NW-11-053-18,Wetland (WET 1-1),Wetland (Low),1+010 to 1+120,•  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions. •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
NW-11-053-18,Wetland (WET 2-1),Noxious Weeds (High),1+340 to 1+870,•  Oxeye daisy (Leucanthemum vulgare) and Canada thistle (Cirsium arvense were identified with limited distribution.  Noxious weed cover greater than reference site.,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
NW-11-053-18,Wetland (WET 2-1),Wetland (Low) Sediment Fence (N/A),1+340 to 1+870,•  Slight  erosion  is  present  and  sediment  fence  is  down  in several spots.  •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions. •  Pre-construction contours restored. •  Appropriate wetland species are beginning to establish.,Sediment fence repaired in  October 2018. Monitor in 2019.,Unresolved.,,,
SW-14-053-18,Watercourse (WC 14),Watercourse (Low) Sediment Fence (N/A),1+900,•  Sediment fence was observed to be down. •  Good bank stability with revetment posts in place. •  Vegetation growth occurring on the banks with no erosion observed. •  Cobble present in the channel; no erosion observed.,Sediment fence repaired in  October 2018. Monitor in 2019.,Unresolved.,,,
,Wetland (WET 3-1),Noxious Weeds (High),2+260,•  Oxeye daisy (Leucanthemum vulgare) was identified with limited  distribution.  Noxious  weed  cover  greater than reference site. •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions with slow re-vegetation and high bare soil percentage.  •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
SE-15-053-18,Wetland (WET 3-2),Noxious Weeds (High),2+860 to 3+180,•  Canada thistle (Cirsium arvense) and scentless chamomile  (Tripleurospermum  inodorum)  were  identified with  limited  distribution  and  low  density.  Noxious  weed cover greater than reference site. •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions.  •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
NW-15-053-18,Wetland (WET 4-1),Noxious Weeds (High),4+010 to 6+170,•  Canada thistle (Cirsium arvense) and tall-meadow buttercup  (Ranunculus  acris)  were  identified  with  limited distribution and low density.  Noxious weed cover greater than reference site. •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions. •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
NW-15-053-18,Wetland (WET 6-1),Surface Drainage (High),4+280 to 4+340,•  Trench crown was noted to be approximately 30 cm high and is impacting the crossflow drainage along the ROW; may require cross drain establishment. •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions.  •  Appropriate wetland species are beginning to establish,Monitor in 2019.,Unresolved.,,,
NW-15-053-18,Wetland (WET 6-1),Noxious Weeds (High),4+280 to 4+340,•  Oxeye daisy (Leucanthemum vulgare) was identified with limited distribution.  Noxious weed cover greater than the reference site.,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
,Wetland (WET 6-2),Surface Drainage (High),4+340 to 4+460,•  Trench crown was noted to be approximately 30 cm high and is impacting the crossflow drainage along the ROW; may require cross drain establishment.  •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions. Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SW-22-053-18,Forested,Plant Growth (Low),4+600 to 6+170,•  Good vegetation growth coming back on ROW.,None.,No issues.,,,
SE-21-053-18,Watercourse (WC 11),Noxious Weeds (High),5+200,•  Canada thistle (Cirsium arvense) and tall-meadow buttercup  (Ranunculus  acris)  were  identified.    Noxious weed cover greater than reference site. •  Good first-year plant growth that provides adequate erosion control. •  Banks appear stable.  •  Cobble present in the channel; no erosion observed.,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
NW-21-053-18,Wetland (WET 4-3 & WET 4-4),Noxious Weeds (High),6+240 to 6+330,"•  Tall-meadow buttercup (Ranunculus acris) was identified with  limited  distribution  and  low  density.  Noxious  weed cover greater than reference site. •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions, however slow vegetation recovery  and lack  of fen  species  will  be monitored. •  Pre-construction contours restored.",Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
SE-29-053-18,Forested,Plant Growth (High),7 + 080,"•  Limited plant growth consistent with Year 1 expectations, vegetation  cover  is  expected  to  improve  with  additional growing seasons.",Monitor in 2019.,Unresolved.,,,
NW-29-053-18,Watercourse (WC 2),Watercourse (Low),8+800,•  Good first-year plant growth that provides adequate erosion control. •  Sediment fencing above banks is effective and should remain in place. •  Good bank stability with revetment posts in place; no erosion observed. •  Good vegetation growth on the banks.,Monitor in 2019.,Unresolved.,,,
,Forested,Plant Growth (Moderate),8+950,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons.,Monitor in 2019.,Unresolved.,,,
NE-30-053-18,Forested,Plant Growth (High),9+000 to 9+740,•  Low vegetation was observed due to cattle grazing.,Monitor in 2019.,Unresolved.,,,
NE-30-053-18,Forested,Plant Growth (High),9+740,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons. •  Trace  cover  of  native  vegetation  observed relative to reference site.,Monitor in 2019.,Unresolved.,,,
SW-31-053-18,Forested,Plant Growth (High),10 + 300,•  Low vegetation was observed due to cattle grazing.,Monitor in 2019.,Unresolved.,,,
SW-31-053-18,Wetland (WET 7-1),Noxious Weeds (High),10+680 to 10+860,•  Oxeye daisy (Leucanthemum vulgare) was identified with limited  distribution.  Noxious  weed  cover  greater  than  on reference site. •  Soil disturbance was observed due to cattle.  •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions.  •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in  2019  and  control  weeds  as necessary.,Unresolved.,,,
NW-31-053-18,Forested,Plant Growth (Moderate),11+130,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons. •  Moderate  cover  of  native  vegetation  observed  relative  to reference site.,Monitor in 2019.,Unresolved.,,,
NE-36-053-19,Forested,Plant Growth (High),11+750,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons. •  Trace  cover  of  native  vegetation  observed relative to reference site.,Monitor in 2019.,Unresolved.,,,
NE-36-053-19,Wetland  (WET 8-1),Wetland (Low),11+950 to 12+000,•  Cattle disturbance to the wetland was observed.  •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions.  •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
,Wetland (WET 9-1),Wetland (Low),12+010 to 12+040,•  Limited vegetation cover was noted.  •  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions.  •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SW-01-054-19,Forested,Plant Growth (High),12+500,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons. •  Trace  cover  of  native  vegetation  observed relative to reference site.,Monitor in 2019.,Unresolved.,,,
NW-01-054-19,Forested,Plant Growth (High),13+300,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons. •  Trace  cover  of  native  vegetation  observed relative to reference site.,Monitor in 2019.,Unresolved.,,,
NE-02-054-19,Forested,Plant Growth (High),14+200,•  Limited plant growth consistent with Year 1 expectations; vegetation  cover  is  expected  to  improve  with  additional growing seasons. •  Trace  cover  of  native  vegetation  observed relative to reference site.,Monitor in 2019.,Unresolved.,,,
NE-02-054-19,Wetland  (WET 10-1),Wetland (Low),14+630 to 14+900,•  Wetland  is  on  an  acceptable  trajectory  of  reaching  pre-construction functional conditions.  •  Pre-construction contours restored.  •  Appropriate wetland species are beginning to establish.,Monitor in 2019.,Unresolved.,,,
SW-11-054-19,Forested,Plant Growth (Low),14+900 to 15+685,•  Good vegetation cover was observed except on ATV trail at KP 15+000.,None.,No issue.,,,
