Environmental Issue/ Concern,Location,Current Status 2010,Current Status 2011,Current Status 2012,Current Status 2013,Current Status 2014,Recommendations/ Schedule for 2015,VEC,GIS,Topic
TNew Pipeline in Alberta  rench subsidence,"22010 - Approx. 90 sites in 110 km section between;  Section 2-31-4-W4 and  Section 34-22-4-W4.  011 – In addition to areas noted above, all land tracts were assessed in 2011","The total area within the 110 km section is approx. 1.8 ha. Typical areas are 20m in length, 2–3 m wide and <0.3m deep.","•  Numerous site deficiencies were corrected by stripping back topsoil and feathering in subsoil, or if very small or possibly in pasture/ native range, acceptable topsoil sources are secured and used to fill-in trench subsidence.  •  Sites were assessed with remediation completed on areas with potential to impact landowner and/ or pipeline operations.","•  Numerous areas (approx. 2500m or 1.4 ha) were corrected by stripping back topsoil and feathering in subsoil, or if acceptable topsoil sources could be secured, topsoil was used to fill-in minor trench subsidence.  •  Sites were assessed with remediation completed on areas with potential to impact landowner and/ or pipeline operations.","•  Numerous areas (approx. 3500 m or 2.5 ha) were corrected by stripping back topsoil and feathering in subsoil, or if acceptable topsoil sources could be secured, topsoil was used to fill-in minor trench subsidence.  •  Sites were assessed with remediation completed on areas with potential to impact landowner and/ or pipeline operations.","•  Numerous areas (approx. 9100m or 9.1 ha) were corrected, using combinations of stripping back topsoil and feathering in subsoil, or if acceptable topsoil sources could be secured, topsoil was used to fill-in minor trench subsidence.  •  Sites were assessed with remediation completed on areas with potential to impact landowner and/ or pipeline operations.","Continue with assessments in 2015, with remediation to be completed based on discussions with landowners; as well as potential to impact pipeline operations.",,,
UNew Pipeline in Alberta  nderground spring surfaced creating soft ground conditions around pipeline trench,SW 8-39-8-W4,Monitored in 2010 Also discussed during NEB Post-Construction Monitoring inspection in September 2010.,"•  Monitored in 2011. Soft ground conditions did not correct naturally, potentially creating land-use (grazing) and pipeline operation issues. •  Implemented plan that included installation of gravel and weeping tile to divert flow away from the pipeline trench and onto stable, vegetated ground.","•  Monitored throughout 2012. Weeping tile appears to be working well, as soft ground conditions are no longer evident.  •  Vegetation is re-establishing well.","•  Monitored in 2013. Weeping tile working well, as ground conditions are good.  •  Vegetation is re-establishing well.","•  Monitored in 2014. Weeping tile working well, as ground conditions are good. •  Vegetation is re-establishing well.",Area has been stable and drain has been working well over the past three seasons.  Issue is deemed to be resolved and PCEM is considered to be complete.,,,
New Pipeline in Manitoba  Trench subsidence and overall drainage around station,NE 13-9-5-WPM Adjacent to Elm Creek Pigging Station (ECPS),Unable to complete work in 2010 due to very wet conditions,•  Land-levelling completed around the ECPS in 2011. •  Ditch subsidence corrected/filled with land-levelling.,•  Monitored in 2012.  •  Drainage around ECPS appears to be OK.,•  Monitored in 2013. •  Drainage around ECPS appears to be acceptable.,"No issues, No work required",Drainage around the station has been working well over the past three seasons. Issue is deemed to be resolved and PCEM is considered to be complete.,,,
New Pipeline in Manitoba  Berm along drainage ditch adjacent to road,SE 36-7-5 WPM,Work completed in July 2010 as part of Post-Construction Monitoring,"•  Monitored in 2011- heavy spring runoff and summer rainfall, berm integrity maintained. Additional material was added to top of berm in 2011 during land-levelling of adjacent farm field.","•  Monitored in 2012 •  No issues with berm contours, elevation or integrity. Heavily vegetated.","•  Monitored in 2013. •  No issues with berm contours, elevation, or integrity. Well vegetated.","No issues, No work required",No issues with the integrity of the berm or contours over the past three seasons. Issue is deemed to be resolved and PCEM is considered to be complete.,,,
New Pipeline in Manitoba  Drainage adjacent to MLV Carman 49+200,SE 23-3-5-WPM,Work completed in November 2010 as part of Post-Construction Monitoring,"•  Due to landowner crop loss claim in regard to ineffective drainage around compound, additional land-levelling completed Fall 2011. •  Fine-tuned drainage around compound.",•  Monitored in 2012.  •  Drainage around the MLV appears to be OK.,•  Monitored in 2013.  •  Fall of 2013 additional land-leveling to fine-tune drainage around valve compound.,"No issues, No work required",Continue to monitor in 2015.  Communicate with the landowner to ensure field drainage continues to work appropriately.,,,
New Pipeline in Manitoba Drainage within adjacent sections.,NE 11-2-5WPM SE 11-2-5WPM,Not applicable.,Not applicable.,•  2012 land-leveling in NE 11-2-5WPM,"•  Monitored in 2013.  •  Fall of 2013 land-leveling in SE 11-2-5WPM to correct surface contours, restore 2 field drains, and restore elevation to a RM of Stanley trail. •  Fall 2013 land-leveling in NE 11-2-5WPM to recapture /restore topsoil washouts and to restore elevation at windrow of trees.","No issues, No work required",Continue to monitor in 2015.,,,
New Pipeline in Manitoba  Potential land levelling,"Areas on numerous tracts. Sizes ranging from 5 m length to 200 m length, and 5 m wide to full width of right-of-way.","2010 helicopter reconnaissance with video capability, some ground recon, as well as discussions with landowners noted inconsistencies in contours across the right-of-way. Land levelling completed in a few locations in 2010.",•  Land-levelling completed on various land-tracts in 2011.  •  2011 assessments determined uneven field surface contours (high spots/low spots).  •  Normal farm practices do not readily correct these inconsistencies.,•  Land-levelling completed on various land-tracts in 2012.,•  Land-levelling completed on various land-tracts in 2013.,Land-levelling completed on 29 various land-tracts in 2014. All areas on the New Pipeline in Manitoba segment completed in 2014.,Continue to monitor in 2015.,,,
NNew Pipeline in Alberta  ative Vegetation establishment,Monitor  31+000,2010 Post-Construction Monitoring indicates acceptable re-growth,•  2011 Post-Construction Monitoring indicates acceptable re-growth,•  2012 Post-Construction Monitoring indicates acceptable re-growth,•  2013 Post-Construction Monitoring indicates acceptable re-growth,2014 Post-Construction Monitoring indicates acceptable re-growth,INo further issues with vegetation establishment at this location. ssue is deemed to be resolved and PCEM is considered to be complete.,,,
NNew Pipeline in Alberta  ative Vegetation establishment,Bindloss  20+000 to 20+420 SW 21-21-1-W4,"2010 PCEM indicates very good native species germination and ground cover. Other than deficiency as noted in September 8, 2010 record, ground is fully stabilized.","•  2011 PCEM indicates very good native species germination and ground cover. Ground is fully stabilized.  •  Deficiency as noted in September 8, 2010 record, indicates good native species germination and ground cover.",•  2012 PCEM indicates very good native species germination and ground cover. Ground is fully stabilized.,•  2013 PCEM indicates very good native species germination and ground cover. Ground is fully stabilized.,2014 PCEM indicates very good native species germination and ground cover. Ground is fully stabilized.,Continue to monitor in 2015.,,,
New Pipeline in Alberta  Site Contours,Sounding Creek,"Banks are stable in 2010, some minor slumping to be further assessed to determine if re-work and stabilizing bank is warranted",•  Banks remain stable in 2011.  •  Repair of minor slumping does not appear to be warranted at this time.,•  Banks remain stable in 2012.  •  Repair of minor slumping does not appear to be warranted at this time.,•  Banks remain stable in 2013.  •  Repair of minor slumping is not warranted as bank wraps are stabilized. •  Posts used for supporting the coir bank wraps were removed.,•  Banks remain stable in 2014.  •  Repair of minor slumping is not warranted as bank wraps are stabilized.,INo further issues with bank stability at this location. ssue is deemed to be resolved and PCEM is considered to be complete.,,,
New Pipeline in Alberta  Site Contours,Sections 32 and 33-41-9-W4,Not applicable,Not applicable,•  Landowner communicated concern with final contours in three locations. •  Conducted assessment and determined that minor corrections are required to better blend/ fit to contours on right-of-way boundary.,•  One location was repaired in 2013. Discussion was had with new land owner and figured it was a non-issue.,Assessments in 2014 indicated no issues and there were no concerns mentioned by the new landowner.,INo further issues with contours at this location. ssue is deemed to be resolved and PCEM is considered to be complete.,,,
New Pipeline in Alberta  Shrub Planting,Ribstone Creek,Work not completed in 2010.,"•  Planted approximately 170 Manitoba Maple and Chokecherry on banks, completed in June 2011.","•  Assessed area and determined that success was not adequate due to utilizing potted stock that was not mature enough for the site conditions. •  Larger/ more mature potted stock (115 plants) was planted in June 2012 and monitored throughout the growing season, with much better success to date.","•  Larger/ more mature potted stock (75 willow, maple and chokecherry plants) were planted in June 2013. •  Assessed area and determined that success appears to be adequate at this time. •  Livestock continue to have some affect when electric fencing is breached.",•  3 shrubs on the north side and 6 shrubs on the south side appear to be surviving from the planting in June 2013. •  Livestock continue to have some affect when electric fencing is breached.,Monitor in 2015,,,
Manitoba  New pipe  Post-Construction Erosion concern,NW 2-2-5WPM,Not applicable,Not applicable,"•  Landowner expressed concern regarding wind erosion and subsequent crop loss into a location that was land levelled by Keystone •  Although loss was indirect, as vegetative debris from an adjacent field created the conditions for soil erosion to take place on the Keystone right-of-way, the landowner was compensated for replanting and associated land management.",•  N/A as issue addressed in 2012.  •  Complete.,•  N/A as issue addressed in 2012.,IFollow-up monitoring not required. ssue is deemed to be resolved and PCEM is considered to be complete.,,,
