Legal Location,Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2014 Recommendations,VEC,GIS,Topic
NW 24-68-7 W6,Treed,None.,,"June 11, 2014  <s>Vegetation establishment 90–95% comparable to off-ROW for majority of tract. </s> <s>High abundance of meadow brome along ROW in tract. </s> <s>Abundance of amphibians present in tract. </s> <s>No contouring issues evident in tract. </s> <s>No subsidence issues evident in tract. </s>June 23, 2014  <s>KP 0+000 to 0+150 sprayed with herbicide to control Canada thistle and perennial sow thistle. </s>July 22, 2014  <s>Hydrovac slot trench remains on adjacent pipeline ROW on north side of existing header at 11U 0375675 </s>6085857; requires filling in.  <s>Small patch of perennial sow thistle remaining at south end of tract not identified at time of </s>herbicide application.  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing. July 28, 2014  <s>Previously identified hydrovac slot trench at north end of tract was filled. </s> <s>Previously identified perennial sow thistle at KP 0+050 and KP 0+150 controlled by weed whacking. </s>",Monitor in 2015,,,
NE 23-68-7 W6,Treed,None.,,"June 11, 2014  <s>Vegetation establishment 90–95% comparable to off-ROW control. Few areas along ROW consisting of lesser </s>vegetation cover (75%) comparable to off-ROW control.  <s>Various weeds present along ROW (dandelion, horsetail, vetch and bluebell) but comparable to off-ROW </s>control.  <s>No contouring issues and no subsidence issues evident in tract. No further issues to report at this time. </s>June 23, 2014  <s>Approximately 0.1 ha was sprayed between KP 0+150 and 0+250 with herbicide to control Canada thistle and </s>perennial sow thistle. July 22, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing.",Monitor in 2015,,,
SE 23-68-7 W6,Treed,None.,,"June 11, 2014  <s>Vegetation establishment 70% comparable to off-ROW control. Few areas along ROW consisting of poor </s>vegetation cover (50%) comparable to off-ROW control with 60% weeds. Small patch of Canada thistle (11U 6085543m N, 375473m E) and perennial sow thistle (11U 6085207m N, 375342m E) present in tract. Recommend spot spraying.  <s>Cross drainages along ROW functioning well at this time but show some seasonal ponding. Continue to </s>monitor later in 2014.  <s>Erosion present along ROW near access road from KP 0+680 to KP 0+720. The erosion is approximately </s>30 m X 0.5 m X 30 cm. Implement erosion control.  <s>No contouring issues evident in tract. </s> <s>No subsidence issues evident in tract. </s>June 23 – 24, 2014  <s>Approximately 0.42 ha was sprayed between KP 0+250 and 0+660 with herbicide to control Canada thistle </s>and perennial sow thistle. July 11, 2013 Installed 10 straw waddle erosion prevention breakers at KP 0+680 to 0+720. Re-contoured eroded area and  filled with material on ROW. July 22, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing. July 28, 2014  <s>Previously identified perennial sow thistle at KP 0+420 was controlled by weed whacking. </s>September 18, 2014  <s>Approximately 0.07 ha was spot sprayed with herbicide to control Canada thistle. </s>",Monitor in 2015,,,
NE 14-68-7 W6,Treed,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",KP 2+000 One scentless chamomile plant found and picked. Monitor area. A new lease access road across the ROW has been built since the spring assessment at KP 1+600 on the east side of the ROW.,"June 11, 2014  <s>Vegetation establishment 90–95% comparable to off-ROW control. </s> <s>No weed issues evident in tract at this time; Annual weeds (dandelion, horse tail) present but comparable to </s>off-ROW control.  <s>No signs present on either side of new lease road at KP 1+860. No issues evident from implementation of new </s>lease road at this time.  <s>Erosion in drainage of diversion berm present in tract approximately 10 m X 0.5 m X 20–25 cm at KP 1+870. </s> <s>Good vegetation establishment 85–90% at foreign pipeline crossing KP 1+930 (11U 6084109 m N, </s>375243 m E). No erosion or subsidence noted near crossing.  <s>No contour issues evident in tract. </s> <s>June 24, 2014 - approximately 0.1375 ha was sprayed between KP 1+300 and 2+075 with herbicide to control </s>Canada thistle and perennial sow thistle. July 22, 2014  <s>Kp 1+495, 1+815,and 2+020 –  small patches of perennial sow thistle exist, not identified at time of herbicide </s>application - broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas treated. Grasses do not indicate stressing. July 28, 2014  <s>Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broadleaf species </s>showing signs of health degradation in the form of wilting and discolouration. Grasses mainly unaffected. Weed whacking completed at KP 1+420 (Canada thistle), and 1+440, 1+495, 1+885, and 2+020 (perennial sow thistle).",Monitor in 2015,,,
SE 14-68-7 W6,Treed,Monitor vegetation growth in 2013.,,"June 11, 2014  <s>Vegetation establishment 90–95% comparable to off-ROW control. Previously stripped areas for construction </s>show poor vegetation establishment compared with off-ROW control (65–70%). Few bare areas present along ROW. Few areas with an accumulation of woody debris present along ROW.  <s>Excessive perennial sow thistle present in tract. Recommend spot spraying. </s> <s>KP 2+570 to KP 2+620 exhibits poor drainage across ROW indicated by cattails and standing water on west </s>side of ditchline as opposed to east side of ditchline. This may attribute to previously assessed lack of vegetation (2013). Implementation of improved cross drainage across ROW would likely remediate issue.  <s>Ephemeral draw on ROW shows ponding water at this time. Ephemeral draw is not noted on construction </s>alignment sheets but could be attributed to the identified ‘dugout’. The ‘dugout’ was identified in satellite imagery to be pre-existing to construction. Good aquatic habitat structure present in drainage. Amphibian presence is abundant. June 12, 2014  <s>Dug two cross drains with at KP 2+480 and KP 2+530 at poor drainage area between work and spoil side on </s>ROW. June 24, 2014  <s>Approximately 0.9145 ha was sprayed between KP 2+075 and 2+925 with herbicide to control Canada thistle </s>and perennial sow thistle. July 22, 2014  <s>KP 2+114 - a small patch of perennial sow thistle exists along ditchline, not identified at time of herbicide </s>application  <s>Cross drains implemented at KP 2+480 and 2+530 on June 12, 2014 have accommodated drainage of </s>ponding water appropriately – water levels have completely subsided  <s>KP 2+650 – a considerable amount of perennial sow thistle existing on both sides of identified water body, in </s>30m – recommend mechanical removal of noxious weeds  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses indicate slight stressing in areas of broad herbicide application. July 28, 2014  <s>Previously identified perennial sow thistle at KP 2+115, 2+380, 2+420, 2+620, and 2+650 was controlled by </s>weed whacking.",Monitor in 2015,,,
NE 11-68-7 W6,Treed,Repair subsidence and monitor in 2013.,,"June 11, 2014  <s>90% vegetation cover to off-ROW. </s> <s>Bare spots on ditchline with 50% vegetation cover compared with off-ROW control. </s> <s>KP 3+050, Excessive wood debris. Continue to monitor vegetation. </s> <s>KP 3+200, South side of access road has excessive weeds, mainly dandelion. </s> <s>KP 3+490 – KP 3+750, several depressions on ditchline approximately 3 m X 1 m X 0.3 m–0.5 m possibly </s>screw anchor bell holes.",Monitor in 2015,,,
NE 11-68-7 W6 to SW 12-68-7 W6,Treed Bog,Monitor wetland in 2013. Leave for natural recovery.,"KP 3+775 – Wetland Muskeg wetland appears to have been ramped. Regeneration of natives is excellent. Black spruce, Labrador tea, bog berry and moss are recovering very well. Removed silt fence along the Cutbank section.","June 11, 2014  <s>Wetland muskeg appears to have been ramped on work side of ROW. There is no mulch present. </s> <s>Regeneration of native plant and tree species is excellent on work side. Moss is also recovering very well. </s> <s>Vegetation on ramped portion (work side) of ROW differs from spoil side. The different access methods </s>(freeze down and ramping) are very evident through wetland portion. Ramping seems to have been very effective.  <s>Vegetation looks good on spoil side but natives don’t seem to be as successful on spoil side of ROW. </s> <s>Minor rutting in wetland portion likely from recreational quad use. </s>",Monitor in 2015,,,
SW 12-68-7 W6,Treed,None.,,"June 11, 2014  <s>90–100% vegetation cover compared with off-ROW control. </s> <s>Cross-drains in ¼ functioning well. </s> <s>June 24, 2014 - approximately 0.073 ha was spot sprayed between KP 4+000 and 4+600 with herbicide to </s>control Canada thistle and perennial sow thistle.",Monitor in 2015,,,
SW 12-68-7 W6,Bald Mountain Creek (WC1),"Monitor in 2013 and, if warranted, reseed.",KP 4+500 Bald Mountain creek looks good. Appears to be geotechnically stable. No erosion issues. Banks are regenerating with native species. Some plantings are surviving but not doing any better than the natives. Removed silt fence along the Cutbank section.,"June 11, 2014  <s>Erosion rill on south side of creek on edge of ditchline disturbance (20 m X 0.5 m X 0.2 m). Appears to have </s>formed from the removal of silt fence. Fill in rill with soils in area and straw waddle to prevent future erosion.  <s>Coir lifts are stable on banks and willow chutes are growing nicely. </s> <s>Moderate vegetation above south bank of creek. Continue to monitor. </s> <s>Removed silt fence on north side of creek. </s> <s>Removed steel anchor pins from straw waddles </s>July 8, 2014 Installed 6 straw waddle erosion prevention breakers at KP 4+580. Re-contoured eroded area and filled with  material on ROW. July 22, 2014  <s>KP 4+550 – south side of Bald Mountain Creek - ~1/4 of a large garbage bag of perennial sow thistle was </s>handpicked – not sprayed - in 30 m of watercourse",Monitor in 2015,,,
NW 1-68-7 W6,Treed,None.,,"June 11, 2014  <s>Vegetation in ¼ is comparable to off-ROW. 90–100% vegetation coverage to off-ROW. </s> <s>No issues with subsidence or erosion in this quarter. </s>June 24, 2014  <s>Approximately 0.081 ha was spot sprayed between KP 4+600 and 4+875 with herbicide to control Canada </s>thistle and perennial sow thistle. July 22, 2014  <s>Broadleaf vegetation in areas of herbicide application exhibit significant wilting, thorough effects in areas </s>treated. Grasses do not indicate stressing.",Monitor in 2015,,,
