Legal Location,Sample Points,Lat/Long UTM,Land Use/Feature,Issue(s) Observed,Observations/Comments,Status,Recommendations,VEC,GIS,Topic
SE-26-078-15,PL18-01*,55.788406-120.211067,Cultivated,Vegetation Establishment Category 1,"2018 – This area was recently seeded; therefore, bare soil was observed. Water pooling noted in low areas.",Unresolved,2019 – re-assess area for vegetative cover establishment and drainage.,,,
SE-26-078-15,WS18-01*,,Cultivated,Vegetation Establishment Category 2,"2018 – This area was recently seeded; therefore, bare soil was observed.",Unresolved,2019 – re-assess area for vegetative cover establishment.,,,
SE-26-078-15,PL18-02*,55.788433-120.207611,Cultivated,Vegetation Establishment Category 3,"2018 – This area was recently seeded; therefore, bare soil was observed. Water pooling noted in low areas.",Unresolved,2019 – re-assess area for vegetative cover establishment and drainage.,,,
SE-26-078-15,PL18-03* PL18-04*,55.788414 -120.203842,Cultivated,Vegetation: Invasive Plants Category 1 <s>(for </s> <s>Invasive Plants)</s>,Canada thistle present on RoW.,Unresolved,2019 - Recommend that area be included in Pembina’s ongoing Weed Management Plan. Assess for effectiveness.,,,
SW-25-078-15,PL18-07* PL18-08*,22.784649 -120.193405,Cultivated,Physical Environment - Erosion Vegetation Establishment Category 1,Erosion rills noted running down slope. Further reclamation was conducted to reclaim erosion in fall 2018.,Unresolved,2019 – Assess for reclamation effectiveness and vegetation establishment.,,,
NW-24-078-15,-,-,Cultivated,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
NE-24-078-15,WS18-17*,,Cultivated,Soil and Soil Productivity: Topsoil Loss,Replaced surface soil was minimal further soil sampling confirmed on average topsoil depths met control depths. Mild compaction issues did not hinder vegetative growth.,Resolved,No further action required.,,,
NW-19-078-14,PL18-20* PL18-21* PL18-22*,55.777916 -120.166733 to 55.777939 -120.164970,Cultivated,Vegetation Establishment Category 2,High moisture volumes noted as impacting health of vegetation – control areas equally impacted.,Unresolved,2019 – Assess area for vegetative cover establishment.,,,
NE-19-078-14,PL18-25*,55.776711 -120.155312,Cultivated,Soil and Soil Productivity - Topsoil Loss,Replaced surface soil was minimal – further soil sampling confirmed on average topsoil depths met control depths.,Resolved,No further action required.,,,
NE-19-078-14,PL18-26*,55.776337 -120.152069,Cultivated,Physical Environment - Erosion Vegetation Establishment Category 1,Additional reclamation required to contour RoW. Contour was reclaimed in fall 2018.,Unresolved,2019 – Assess for reclamation effectiveness and vegetation establishment.,,,
NW-20-078-14,PL18-62*,55 46’28” -120 8’6”,Cultivated,Vegetation Establishment Category 2,"Low, wet area noted on RoW – vegetative stress due to high moisture conditions.",Unresolved,2019 - Vegetative stress the result of lower slope position and high soil moisture content due to high volumes of precipitation. Re?assess vegetative cover.,,,
SW-20-078-14,PL18-64* PL18-65*,55 46’25” -120 8’6”,Seasonal Drainage,"Vegetation Establishment Category 1, Erosion",Bare areas were noted on the RoW. Geotextile cloth was noted and was removed for disposal. Erosion rills were present on the RoW with poor vegetative cover. Area was re contoured and seeded during fall 2018.,Unresolved,2019 – Assess for reclamation effectiveness and vegetation establishment.,,,
SE-20-078-14,-,,Cultivated,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
SW-21-078-14,-,,Cultivated,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
SE-21-078-14,PL18-66*,55 46’6” -120 5’56”,Cultivated,Soil and Soil Productivity - Topsoil Loss,Replaced surface soil was minimal further soil sampling confirmed on average topsoil depths met control depths.,Resolved,No further action required.,,,
,Valve Site,55 46’4” -120 5’44”,Cultivated,Vegetation Establishment Category 1,RoW was showing bare areas with minimal vegetative cover. Additional reclamation completed to recontour topsoil and mitigate vegetative growth.,Unresolved,2019 – Assess area for vegetative cover establishment.,,,
Part of SW-22-078-14,WS18-31* PL18-36*,,Cultivated,Soil and Soil Productivity - Compaction,Increase in topsoil compaction was noted in this area. Compaction did not impact vegetative growth.,Resolved,No further action required.,,,
Part of SW-22-078-15,PL18-37* WS18-38*,55.767498 -120.087936,Cultivated,Vegetation - Invasive Plants Category 1 <s>(for Invasive </s> <s>Plants)</s>,Sow thistle documented within the area on the RoW.,Unresolved,2019 - Recommend that area be included in Pembina’s ongoing Weed Management Plan. Assess for effectiveness.,,,
Parcel A (M2267) NW-15-078-14,-,,River Band,?,-,-,No disturbance noted.,,,
Parcel A (O57504) NE-15-078-14,PL18-43*,55.764965 -120.073380,Cultivated,Vegetation Establishment Category 2,Stressed vegetation with bare areas.,Unresolved,2019 - Vegetation to be re-assessed.,,,
SE-15-078-14,,,Cultivated,-,-,-,No disturbance noted.,,,
NW-14-078-14,PL18-46*,55.765625 -120.068794,Cultivated,"Soil and Soil Productivity - Compaction, Vegetation Re-establishment Category 1","2018 This area was recently seeded; therefore, bare soil was observed. Topsoil slightly compacted, however vegetation stress was unable to be determined.",Unresolved,2019 - Vegetation to be re-assessed.,,,
NE-14-078-14,PL18-52*,55.76569 -120.045425,Cultivated,"Physical Environment - Subsidence, Vegetation Establishment Category 1",Trench lightly subsided. Area was recontoured during fall 2019.,Unresolved,2019 – Assess for reclamation effectiveness and vegetation establishment.,,,
NW-13-078-14,PL18-55*,55.765823 -120.042847,Forested,"Physical Environment - Erosion, Vegetation Establishment Category 1",Bare areas noted with a high degree of woody debris and rough surface tie in to the surrounding landscape. Area was recontoured and woody debris removed during fall 2018.,Unresolved,2019 – Assess for reclamation effectiveness and vegetation establishment.,,,
NW-13-078-14,PL18-57*,,Forested,Other - Debris,Geotextile cloth exposed. Cloth was removed fall 2019.,Resolved,No further action required.,,,
NW-13-078-14,PL18-55* to PL18-58*,,Forested,Other - Landowner Concerns,"Landowners concerned with topsoil depth and drainage. It was discussed that topsoil depths were met along the reclaimed RoW and were comparable to off RoW, and that a weather event occurred after final reclamation whereby high amounts of precipitation fell on the region, thus saturating soils.",Resolved,No further action required.,,,
"District Plan 21832, Lot 1 13-078-14",,,Forested,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
NE -13-078-14,PL18-73*,55 45’45” -120 1’44”,Forested,"Other – Debris, Vegetation Establishment Category 1",This area was recently seeded in 2018 woody debris noted.,Unresolved,2019 - Re-assess to ensure vegetation establishment and remove woody debris if required.,,,
NE -13-078-14,PL18-74*,55 45’43” -120 1’31”,Forested,Vegetation - Invasive Plants Category 1 <s>(for Invasive </s> <s>Plants)</s>,Scentless chamomile was hand picked within this area.,Unresolved,2019 - Recommend that area be included in Pembina’s ongoing Weed Management Plan. Re-assess for effectiveness.,,,
NW-18-078-13,PL18-79*,55 45’40” -120 0’43”,Cultivated,Vegetation Establishment,"Small, bare area noted within this area.",Unresolved,2019 – re-assess area for vegetative cover establishment.,,,
SW-18-078-13,PL18-81* PL18-82*,55 46’15” -120 7’12”,Cultivated,Vegetation - Invasive Plants Category 3 (for Invasive Plants),>80% weed cover was noted within this area.,Unresolved,2019 – re-assess area for weed cover and healthy vegetative establishment.,,,
SW-18-078-13 W of Provincial Boundary,,,Cultivated,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
SE-18-078-13,,55 45’33” -119 59’59”,Cultivated,Vegetation Establishment Category 1,Bare area noted to the west of the dugout. Foxtail barley present on the Shoefly to the east of the dugout. Areas of reduced vegetative growth were noted as a result of cattle use.,Unresolved,2019 – re-assess area for weed cover and healthy vegetative establishment. Re-seed if required.,,,
SW-17-078-13,,55 45’29” -119 59’33”,Cultivated,"Vegetation Establishment Category 1, Other - Debris","The edges on the north boundary of the workspace crossing the draw (near west boundary of quarter section) were rough. Geotextile cloth and bare areas noted within the draw. Bare area also noted along the east boundary of the quarter section. Area was worked and recontoured, cloth was removed and area seeded fall 2018.",Unresolved,2019 – Re-assess area for reclamation effectiveness and vegetation establishment.,,,
SE-17-078-13,,,Cultivated,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
NE-17-078-13,,,Cultivated,No issues noted,"Soil, contour and vegetative cover was consistent with surrounding area.",Resolved,No further action required.,,,
NW-16-078-13,,,Cultivated,Other - Debris,Geotextile cloth noted within the draw near the east boundary of the quarter. Cloth was removed fall 2018.,Resolved,No further action required.,,,
NE-16-078-13,,55 45’35” -119 57’8”,Cultivated,"Physical Environment - Erosion, Vegetation Establishment Category 1, Other - Debris","Erosion and sediment displacement noted along the RoW. Vegetation not establishing well. Geotextile cloth exposed near west boundary of quarter. Area was worked and recontoured, cloth was removed and area seeded fall 2018.",Unresolved,2019 – Re-assess for reclamation effectiveness and vegetation establishment.,,,
NW-15-078-13 Crown Land,,55 45’34” -119 55’49”,Forested,Vegetation - Invasive Plants Category 1 (for Invasive Plants),Three Scentless Chamomile plants removed.,Unresolved,2019 - Recommend that area be included in Pembina’s ongoing Weed Management Plan. Re-assess for effectiveness.,,,
NE-15-078-13 Crown Land,KP 19.23,55 45’34” -119 55’21”,Forested,"Physical Environment - Erosion, Vegetation Establishment Category 1",Erosion channel noted within RoW. Area was re contoured in fall 2018.,Unresolved,2019 - Re-assess reclamation effectiveness and vegetation establishment.,,,
NW-14-078-13 Crown Land,KP 20.00,55 45’34” -119 54’35”,Forested,"Other - Debris, Vegetation Establishment Category 1",Woody debris noted along RoW. Some of the debris was removed fall 2018.,Unresolved,2019 – Re-assess for vegetative growth.,,,
