Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
13,NW 17-42-9,HT 1.92 to HT 1.98,327.05,Wetland Class Overall: IV Wetland Class on construction right-of-way: III 2008 Health: Healthy (93%),Health: Healthy with Problems (77%). Weeds: None observed. Riparian: Woody vegetation removed. Bare ground on construction right-of-way. Heavily disturbed by cattle.,Health: Healthy with Problems (73%) Determined to be “resolved” due to land use changes by landowner. It is unlikely that the wetland will return to its baseline state. Land use alterations are out of Enbridge’s control.,"Vegetation establishment evident. May 31, 2012.",,Reseeded in summer 2011.,Resolved in 2011.,None.,,W4M,
14,NW 33-41-8,189.4,348,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,No subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W4M,
14,NW 33-41-8,189.4,348,Vegetation - Weeds,--,--,--,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in summer 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W4M,
15,SE 24-41-8,196.7 to 196.85,361,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Vegetation establishment evident, needs more time.",Vegetation composition and density equal to off right-of-way.,Reseeded in fall 2011.,Resolved,None.,,W4M,
15,SW 19-41-17,196.9 to 197.8,362,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Growth of native species evident.,Vegetation composition and density equal to off right-of-way.,Reseeded and alfalfa pellets applied in fall 2011.,Resolved,None.,,W4M,
15,SE 19-41-7,197.8 to 198.4,363,Vegetation - Weeds,--,--,Landowner expressed concerns about scentless chamomile and thistle.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
15,NE 18-41-7-4,198.3 to 198.7,364,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Vegetation establishment evident, needs more time.",Vegetation composition and density equal to off right-of-way.,Reseeded and alfalfa pellets applied in fall 2011.,Resolved,None.,,W4M,
15,NW 17-41-7-4,198.7 to 199.6,365,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Vegetation establishment evident, needs more time.",Vegetation composition and density equal to off right-of-way.,Reseeded and alfalfa pellets applied in fall 2011.,Resolved,None.,,W4M,
15,SE 6-41-6,208.8,381,Vegetation – Weeds,"Moderate density of stinkweed, lamb's-quarters, shepherd's purse and flixweed on construction right-of-way.","Moderate density of lamb’s-quarters, shepherd’s-purse and redroot pigweed observed on construction right-of-way during ground reconnaissance.","Weed density similar on and off right-of-way, appears resolved May 31, 2012.",Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
16,NE 31-40-6,209.3,382,Vegetation – Weeds,High density of Russian pigweed on construction right-of-way.,"Moderate density of lamb’s-quarters, annual sow-thistle, kochia and Russian pigweed observed on construction right-of-way during ground reconnaissance.",Canada thistle noted throughout right-of-way.,Weed density and composition equal to off right-of-way.,--,Resolved,None.,,W4M,
