Legal Location (W6M),Land Use,2013 Issue(s),2013 Notes,2013 CH2M Recommendation(s),2014 CH2M/Pembina Observations and Recommendations,Status of Landowner  Issues and Concerns 2014,Status of Landowner  Issues and Concerns -  2015,2015 CH2M  Observations and Comments,2015 Recommendations,VEC,GIS,Topic
NW 19-83-16,Forested,Vegetation - Establishment,Establishment issue observed from KP 0.38 to KP 0.43. Vegetation parameters on right-of-way not equal to vegetation parameters off right-of-way.,Reseed impacted area and monitor vegetation establishment in 2014.,Vegetation appears to be establishing. Continue to monitor vegetation establishment during the third year PCEM program.,Landowner will address and remediate any bare spots during spring 2015 as per his request.,"Contacted landowner to discuss the upcoming right-of-way inspection by CH2M) (formerly TERA). Landowner comments: seeded land and will check this spring and summer, but everything looked okay.",No vegetation establishment issues observed. Excellent canopy cover and plant health observed in hay crop planted on the right-of-way.,Issue resolved. No recommendations.,,,
NW 19-83-16,Forested,Vegetation - Weeds,"Low densities of shepherd’s-purse, common peppergrass, common plantain, maple-leaved goosefoot, stinkweed, perennial sow-thistle, Canada thistle, foxtail barley and prickly lettuce were observed. Moderate densities of lamb's-quarters and annual hawk’s-beard observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds.  e-assess during the third year PCEM program in 2015.,"ALContacted landowner in the spring to discuss the upcoming right-of--way inspection by CH2M. andowner comments: seeded land and will check this spring and summer, but everything looked okay.  ugust 17, 2015: Landowner clipped and trimmed thistle and will spray in the spring.",Area is forested from KP 0.00 to KP 0.43 with cultivated land from KP 0.43+. Weed issue still exists within the forested land use. A high density of Canada thistle was observed.,Control weeds and monitor in 2016. Monitor during the fifth year of the PCEM program in 2017.,,,
NW 19-83-16,Forested,Soil - Rutting,Rutting observed from KP 0.12 to KP 0.38.,Repair rutting and monitor in 2014.,Rutting not observed from helicopter. Continue to monitor vegetation establishment during the third year PCEM in 2015.,Contacted landowner in November 2014 to discuss spring 2015 monitoring strategy.,LContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No issues or concerns.,No rutting issues observed.,Issue resolved. No recommendations.,,,
SW 19-83-16,Hay,Soil - Erosion,"Erosion issue observed from KP 1.00 to KP 1.36 (20 cm wide, 15 cm deep).",Repair eroded area and monitor in 2014.,Vegetation appears to be establishing. No erosion observed from helicopter. Continue to monitor vegetation establishment during the third year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,Contacted landowner in November 2014 to discuss spring 2015 monitoring strategy.,LContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No issues or concerns.,No erosion issues observed.,Issue resolved. No recommendations.,,,
SW 19-83-16,Hay,Vegetation - Weeds,"Low densities of shepherd’s-purse, common peppergrass, dandelion, annual hawk’s-beard and foxtail barley were observed. High densities of lamb's-quarters and stinkweed observed.",Control weeds and monitor in 2014.,--,Contacted landowner in November 2014 to discuss spring 2015 monitoring strategy.,LContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No issues or concerns.,No weed issues observed.,Issue resolved. No recommendations.,,,
SW 19-83-16,Hay,Landscape - Contouring,--,--,--,--,August 2015: Landowner would like to examine issues with Pembina representative to determine if they are able to fix it themselves.,Contouring issue observed from KP 0.64 to KP 1.07. An elevated trench crown appears to be causing crop growth issues. Crop height on the right-of-way ranged from approximately 50-70 cm compared to the 100-110 cm range observed off the right-of-way.,Recontour the trench crown and monitor crop parameters in 2016. Monitor during the fifth year of the PCEM program in 2017.,,,
NW 18-83-16,Hay,Soil - Erosion,"Erosion issue observed from KP 1.53 to KP 1.96 (35 cm wide, 30 cm deep).",Repair eroded area and monitor in 2014.,Vegetation appears to be establishing. No erosion observed from helicopter. Continue to monitor vegetation establishment during the third year PCEM to ensure that soils have stabilized and that the potential for soil erosion is minimized.,"RLandowner compensated to establish vegetation, control weeds and to address erosion. 22 loads of topsoil were placed on the right-of-way in August 2014. e-assess during the third year PCEM program in 2015.",CLJune 2015 - Landowner clean-up requests forwarded to Pembina. ontacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No concerns yet as no new erosion has been observed. Found land was seeded last fall. Will keep an eye on things.,No erosion issues observed. Area appears stable.,Issue resolved. No recommendations.,,,
NW 18-83-16 (cont’d),See above,Vegetation - Weeds,"Low densities of wild buckwheat, common plantain, dandelion, annual hawk’s beard, common peppergrass and shepherd’s-purse were observed. A moderate density of lamb’s-quarters was observed. A high density of stinkweed was observed.",Control weeds and monitor in 2014.,--,RLandowner compensated to control weeds. e-assess during the third year PCEM program in 2015.,LDContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M.  andowner comments: No concerns yet as no new erosion observed. Found land was seeded last fall. Will keep an eye on things. ecember 2015: The landowner indicated the area of concern was visited and cleaned up. The issues is to be rectified once the hay is off.,"A patch of weeds exists from KP 1.96 to KP 2.06 on the right-of-way. The right-of-way does not appear to have been seeded to the cereal crop observed on the adjacent land, allowing weeds to establish.",Monitor crop growth during the fifth year of the PCEM program in 2017.,,,
NE 18-83-16,Cultivated,Vegetation - Establishment,Crop parameters (height and maturity) not equal to off right-of-way. No soil issues observed.,Monitor in 2014.,No crop growth issues were observed from helicopter; continue to monitor crop growth during the third year PCEM.,Re-assess during the third year PCEM program in 2015.,"LContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M. andowner comments: Growth looks good, but one area where trees were removed is pooling water. Pembina may have to haul topsoil to the area or drain.",No issues observed within the canola crop. Crop parameters are equal on and off the right-of-way. Adjacent areas to the canola crop along the south end of the quarter-section were not seeded for unknown reasons both on and off the right-of-way. No issues observed in this area.,Issue resolved. No recommendations.,,,
NE 18-83-16,Forested,Vegetation - Weeds,"Weed issue observed from KP 2.80 to KP 2.98. Low densities of foxtail barley observed. Moderate densities of dandelion, annual hawk’s-beard, lamb’s-quarters, stinkweed and Bicknell’s geranium observed.",Control weeds and monitor in 2014.,--,WLandowner compensated to control weeds. ill monitor in 2015 during the third year PCEM program.,"LContacted landowner in the spring to discuss the upcoming right-of-way inspection by CH2M. andowner comments: Growth looks good, but one area where trees were removed is pooling water. Pembina may have to haul topsoil to the area or drain.",No weed issues observed.,Issue resolved. No recommendations.,,,
