Location,Soil Issue 2nd Year PCMP (2010),Potential Adverse Effect,Proposed Mitigation,Proposed Schedule,VEC,GIS,Topic
Chainage 0+000 to 0+075,Subsidence and tension cracks.,Risk of erosion.,Import topsoil to address contour issues.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 1+250 to 1+275,Topsoil Compaction.,Decreased soil fertility and root restrictions.,"Disk area, seed with appropriate seed mixture, and monitor.",Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 1+250 to 1+450,Visible roach atop pipeline trench with subsidence present on either side. Tension cracks. Poorly constructed water bars.,Risk of erosion and restrictions to vegetation growth.,Re-crown pipeline. Import topsoil to address contour issues. Extend water bars across ROW width and beyond to ensure water is carried off ROW.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 1+300,Subsidence and intersecting water bar leading to scouring directly above pipeline trench.,Continued erosion leading to pipeline exposure.,"Install temporary ECS until such time that permanent measures can be completed. Repair water bar, ensure adequate topsoil, and seed with appropriate seed mixture.",Winter 2011. Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 1+360 to 1+437,"Poor contouring, roach atop pipeline trench and subsidence.",Risk of erosion.,"Re-crown pipeline, Import topsoil to address contour issues.",Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage  2+005 to 2+328,Surface soil less than 80% of the original topsoil depths and exposed soil.,Decreased soil fertility.,Import and incorporate topsoil. Re-seed with an approved seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage  2+150 to 2+200,Topsoil Compaction.,Decreased soil fertility and root restrictions.,"Disk area, re-seed with an approved seed mixture and monitor.",Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 2+900 to 3+133,Exposed topsoil – high erosion potential.,"Continued erosion, and sedimentation of the tributary to Tupper Creek.",Install temporary ECS until such time that permanent measures can be completed. Seed with an approved seed mixture.,Winter 2011. Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage 3+025 to 3+350,Between 30% and 50% admixing between the topsoil (“A”) and subsoil (“B”) horizons.,Decreased soil fertility and root restrictions.,Import and incorporate topsoil.  Re-seed with an approved seed mixture.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
Chainage  3+100 to 3+150,Topsoil Compaction.,Decreased soil fertility and root restrictions.,Disk in conjunction with incorporating topsoil in the adjacent area.,Spring/Summer 2011 with follow-up monitoring in the Summer/Fall of 2011.,,,
