Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 5-79-9,Forested,High noxious weed issue,0+200,Perennial Sow thistle present on work side at KP 0+200,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment, seen some patches of dead thistle but no new growth • Vegetation growth 90% of off ROW","May 30, 2015 - Vegetation growth is 90 - 100% compared to off ROW control.  - Hydrovac hole evident at Provident pipeline crossing at KP 0+190. Repairs required. - No subsidence or erosion issues evident within tract. July 8, 2015 - Hydrovac hole filled at KP 0+190 - KP 0+180 to 0+220, Canada thistle observed. Recommend weed control. July 9, 2015 - KP 0+180 to 0+220 – herbicide application conducted to control Canada thistle August 24, 2015 - Herbicide appeared to have killed approximately 85% of Canada thistle. Recommend re-applying herbicide in fall. September 15, 2015  - Common tansy observed - KP 0+180 to 0+220 – herbicide application and hand picking conducted to control Canada thistle and common tansy",,,
SE 5-79-9,Forested,No issues observed,0+300,The ROW is revegetating well at 0+300,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment, seen some patches of dead thistle but no new growth • Vegetation growth 90% of off ROW","May 30, 2015 - Vegetation growth is 90 - 100% compared to off ROW control.  - Hydrovac hole evident at Provident pipeline crossing at KP 0+190. Repairs required. - No subsidence or erosion issues evident within tract. July 8, 2015 - Hydrovac hole filled at KP 0+190 - KP 0+180 to 0+220, Canada thistle observed. Recommend weed control. July 9, 2015 - KP 0+180 to 0+220 – herbicide application conducted to control Canada thistle August 24, 2015 - Herbicide appeared to have killed approximately 85% of Canada thistle. Recommend re-applying herbicide in fall. September 15, 2015  - Common tansy observed - KP 0+180 to 0+220 – herbicide application and hand picking conducted to control Canada thistle and common tansy",,,
SE 5-79-9,Watercourse,No issues observed,0+400,Creek banks are stable The ROW is revegetating well at 0+400,"May 24, 2014 • Ksituan river crossing at 0+400 looks good. 100%of off ROW vegetation growth. Banks raps holding well","May 30, 2015 - Ksituan River located at KP 0+400 appears stable at time of assessment. Silt fencing uphill of tiered crib posts are functioning well at this time; recommend leaving silt fences in place. No issues evident at water crossing.",,,
SW 5-79-9,Forested,Moderate vegetation,0+550,Seedlings are present and vegetation cover is expected to improve in subsequent years.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth poor 5-15% of off ROW, monitor.","May 30, 2015 - Improved vegetation noted from previous assessment; approximately 50-60% compared to off ROW control. - No subsidence or erosion issues evident within tract. July 9, 2015 - Canada thistle and foxtail barley observed, intermittent herbicide application conducted. - KP 0+490, Small patch of scentless chamomile hand-picked and bagged on north side of ditch line. August 24, 2015 - Herbicide killed approximately 70% of Canada thistle. Recommend re-applying herbicide in fall. - Handpicked 35 scentless chamomile plants at KP 0+500. Recommend re-assessing area in fall.  September 15, 2015 – Herbicide application conducted to control Canada thistle and scentless chamomile.",,,
NW 5-79-9,Forested,Moderate vegetation issues,0+750,Seedlings are present and vegetation cover is expected to improve in subsequent years.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth poor 5-15% of off ROW, monitor.","May 30, 2015 - Improved vegetation noted from previous assessment; approximately 50-60% compared to off ROW control.  - No noxious weeds noted. - Natural drainage at KP 0+750 appears to be functioning well at time of assessment. Good grass establishment evident along drainage. Water is present within drainage at this time. - Rill erosion, on north portion of ROW from KP 0+800 to KP 1+320. Repairs recommended. - Work space located at KP 0+730 showing exceptional poplar regrowth. - No subsidence evident within tract. July 8, 2015 - KP 1+050, Canada thistle and foxtail barley observed. Recommend weed control. - Repairs completed on erosion from KP 0+800 to 1+320. July 9, 2015 - Herbicide application conducted to control Canada thistle and foxtail barley at KP 1+050. - KP 1+320, additional erosion rill observed. Repairs completed by implementing erosion control measures. August 24, 2015 - Herbicide appeared to have killed approximately 70% of Canada thistle. Recommend re-applying herbicide in fall as remaining plants have gone to seed Completed  September 25, 2015 – Intermittent herbicide application conducted to control Canada thistle.",,,
NE 6-79-9,Forested,Moderate vegetation issue,1+350,Vegetation cover is expected to improve in subsequent years.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80% of off ROW, 2013 vegetation issue is resolved.","May 30, 2015 – Vegetation estimated to be 80 - 90%, compared to off ROW control.  – There were no noxious weeds noted.  – No fence along right of way. – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. July 9, 2015 - Canada thistle and foxtail barley observed and intermittent herbicide application conducted throughout tract. August 24, 2015 - Herbicide appeared to have killed approximately 70% of Canada thistle. Recommend re-applying herbicide in fall. September 25, 2015 – Intermittent herbicide application conducted to control Canada thistle.",,,
SE 6-79-9,Forested,High noxious weed issue,1+800,Canada thistle observed,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80% of off ROW,  • 1+900 – 2+150, minor rill erosion within natural wet area, not affecting land use, continue to monitor","May 30, 2015 – Vegetation estimated to be 80 - 90% of off ROW control. – There were no noxious weeds noted.  – Pipeline crossing at KP1+609 has mature vegetation consisting of mostly grasses. -- Natural contouring maintained. – Ditch line has small roach evident with good vegetation cover. July 8, 2015 - KP 1+470, rill erosion appears to be stable and vegetating well. Installed erosion controls to provide additional protection. - KP 1+500, Canada thistle present. Recommend weed control. July 9 - 10, 2015 KP 1+500 – herbicide application conducted to control Canada thistle. - KP 1+570 and 1+925, Erosion rills observed. Repairs completed with the installation of erosion control materials, monitor in 2016. August 24, 2015 - Herbicide appeared to have killed approximately 75% of Canada thistle. Recommend re-applying herbicide in fall. September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle.",,,
SW 6-79-9,Forested,,,,,"May 30, 2015 – Vegetation estimated to be 70% of off ROW control. – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. July 9 - 10, 2015  -Herbicide application conducted to control Canada thistle and foxtail barley. August 24, 2015 - Herbicide appeared to have killed approximately 75% of Canada thistle. Recommend re-applying herbicide in fall. September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle.",,,
NW 6-79-9,Forested,No issues observed,2+150,The ROW is revegetating well.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80% of off ROW,  • 2+550, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","May 30, 2015 – Vegetation estimated to be 80 - 90% of off ROW control – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. Rill erosion at KP 2+550 no longer visible, issue resolved. September 15, 2015 - Canada thistle observed up to KP 2+860. Recommend weed control.  September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle. Scentless chamomile has not been present for two growing seasons at KP 2+600, issue resolved.",,,
NW 6-79-9,Forested,No issues observed,2+400,Drainage channel; vegetation established and stable.,"May 24, 2014 • No subsidence observed at time of assessment • No weeds at time of assessment • Vegetation growth 80% of off ROW,  • 2+550, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","May 30, 2015 – Vegetation estimated to be 80 - 90% of off ROW control – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. Rill erosion at KP 2+550 no longer visible, issue resolved. September 15, 2015 - Canada thistle observed up to KP 2+860. Recommend weed control.  September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle. Scentless chamomile has not been present for two growing seasons at KP 2+600, issue resolved.",,,
