Legal Location (W6M),Land Use,Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
NW 24-68-7,Treed,No,--,None.,,,
NE 23-68-7,Treed,No,--,None.,,,
SE 23-68-7,Treed,No,--,None.,,,
NE 14-68-7,Treed,Weeds,"One scentless chamomile plant observed on right-of-way at KP 1.96. The plant was picked, bagged and disposed of.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 14-68-7,Treed,Poor vegetation establishment,Poor vegetation establishment observed on right-of-way at KP 2.40 and KP 2.77.,Monitor vegetation growth in 2013.,,,
NE 11-68-7,Treed,Subsidence,"Subsidence observed on right-of-way at KP 3.50, KP 3.63 and KP 3.68. See Plate 1.",Repair subsidence and monitor in 2013.,,,
NE 11-68-7 to SW 12-68-7,Treed Bog,Limited vegetation establishment,Wetland from KP 3.65 to KP 4.15 is observed to be in functional-at-risk condition due to limited vegetation re-establishment on right-of-way.,Monitor wetland in 2013. Leave for natural recovery.,,,
SW 12-68-7,Treed,No,--,None.,,,
SW 12-68-7,Bald Mountain Creek (WC1),"Poor vegetation establishment, erosion",Erosion observed on north bank on right-of-way at KP 4.50. Patches of poor vegetation establishment observed on right-of-way at KP 4.50.  See Plate 2.,"Monitor in 2013 and, if warranted, reseed.",,,
NW 1-68-7,Treed,No,--,None.,,,
NE 2-68-7,Treed,No,--,None.,,,
SE 2-68-7,Treed,No,--,None.,,,
SW 2-68-7,Treed,No,--,None.,,,
NW 35-67-7,Treed,"Poor vegetation establishment, coarse fragments",Poor vegetation establishment observed on right-of-way at KP 6.80. Woody debris observed on right-of-way which may be causing reduced vegetation establishment from KP 7.12 to KP 7.40.,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",,,
SW 35-67-7,Treed,"Poor vegetation establishment, coarse fragments",Woody debris observed on right-of-way which may be causing reduced vegetation establishment from KP 7.40 to KP 7.50. See Plate 3.,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",,,
SW 35-67-7,Tributary to Bald Mountain Creek (WC2),No,--,None.,,,
SE 34-67-7,Treed,No,--,None.,,,
NE 27-67-7,Treed,No,--,None.,,,
NE 27-67-7,Tributary to Bald Mountain Creek (WC3),No,--,None.,,,
SE 27-67-7,Treed,Poor vegetation establishment,Poor vegetation establishment observed on right-of-way at KP 9.55.,Monitor vegetation growth in 2013.,,,
SE 27-67-7,Tributary to Bald Mountain Creek (WC4),No,--,None.,,,
NE 22-67-7,Treed,Poor vegetation establishment,Poor vegetation establishment observed on right-of-way from KP 10.30 to KP 10.36 and from KP 10.55 to KP 10.85. See Plate 4.,Monitor vegetation growth in 2013.,,,
SE 22-67-7,Treed,Poor vegetation establishment,Poor vegetation establishment observed on right-of-way from KP 11.50 to KP 11.60.,Monitor vegetation growth in 2013.,,,
SE 22-67-7,Tributary to Bald Mountain Creek (WC5),No,--,None.,,,
NE 15-67-7,Treed,No,--,None.,,,
NE 15-67-7,Drainage (D1),No,--,None.,,,
SE 15-67-7,Treed,No,--,None.,,,
SW 14-67-7,Treed,No,--,None.,,,
