KP Range,Land Use,Issues Identified During Previous PCEM Programs,Note(s),Previous Recommendations,Status,Notes and Recommendations (2016),VEC,GIS,Topic
0.0 – 1.0,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 0.00 to KP 1.00.,Monitor to ensure trench crown is not affecting drainage through the ROW.,Resolved,"Trench breaks installed, no further action.",,,
0.0 – 1.0,Forested,Vegetation – Establishment/Soil – Admixing,Low vegetation establishment at KP 0.10 likely due to soil admixing.,"Monitor vegetation establishment, seed as necessary.",Resolved,Moderate vegetation establishment at KP 0.10. No further action.,,,
0.0 – 1.0,Forested,Creek - erosion,"Creek runs width of ROW at KP 0.69, potential erosion.",Monitor for erosion and impacts to pipeline.,Resolved,No erosion issues. No further action.,,,
0.0 – 1.0,Forested,Vegetation –  Establishment/ Physical Environment - Rutting,Low vegetation establishment from KP 0.85 to KP 1.00 with extensive rutting across ROW.,"Monitor vegetation establishment and repair rutting, seed as necessary.",Resolved,Moderate vegetation establishment. Minimal rutting with full recovery expected. No further action.,,,
1.00 – 2.00,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 1.00 to KP 2.00.,Monitor to ensure trench crown is not affecting drainage through ROW.,Resolved,"Trench breaks installed, no further action.",,,
1.00 – 2.00,Forested,Vegetation – Establishment,"Low to no vegetation establishment on west side of trench crown from KP 1.00 to KP 1.15, with no evidence of topsoil observed.",Ensure topsoil is redistributed and monitor vegetation establishment.,Resolved,Moderate vegetation establishment. No further action.,,,
1.00 – 2.00,Forested,Vegetation – Establishment,Low vegetation establishment from KP 1.54 to KP 1.58.,Ensure topsoil is redistributed and monitor vegetation establishment.,Resolved,Moderate vegetation establishment. No further action.,,,
1.00 – 2.00,Forested,Vegetation – Weeds,Scentless chamomile (50 to 100 Perennial sow thistle at KP 1.46.,plants) at KP 1.8 - 1.91.                                                                                                                                 Treatment; monitor,Resolved,"No invasive previously noted present. Perennial sow thistle (three plants) close to road, pulled by hand. Expected to be outcompeted. No further action.",,,
2.00 - 3.00,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 2.00 to KP 3.00.,Monitor to ensure trench crown is not affecting drainage through ROW.,Resolved,"Trench breaks installed, no further action.",,,
2.00 - 3.00,Forested,Physical Environment – Erosion,Potential site for erosion at KP 2.10.,Monitor site and implement rehabilitation if there is increased potential to impact ROW.,Resolved,No erosion issues. No further action.,,,
