Legal Location <s>(W6M)</s>,<s>Land Use</s>,<s>Soil Issue(s)</s>,Vegetation <s>Issue(s)</s>,<s>Notes</s>,<s>Recommendation(s)</s>,VEC,GIS,Topic
<s>NE 32-73-09</s>,<s>Cultivated</s>,<s>No</s>,<s>Weeds</s>,High densities of pineappleweed and annual sow-thistle observed on right-of-way from KP 0.0 to KP 0.1 <s>during ground reconnaissance.</s>,<s>Control weeds and monitor in 2012.</s>,,,
<s>NW 32-73-09</s>,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>NE 31-73-09</s>,<s>Cultivated</s>,<s>No</s>,<s>Weeds</s>,"High densities of stinkweed, annual sow-thistle, foxtail barley and pineappleweed observed on right-of-way from KP 0.9 to KP 1.2 <s>during ground reconnaissance.</s>","Foxtail barley was sprayed out October <s>28, 2011. Monitor in 2012.</s>",,,
<s>SE 06-74-09</s>,<s>Tame pasture</s>,<s>Subsidence</s>,<s>Weeds</s>,High density of stinkweed observed on right-of-way from KP 1.2 to KP 2.0 during ground reconnaissance.  Minor subsidence observed on right-of-way at KP 1.3 during ground <s>reconnaissance.</s>,"Control weeds and monitor in 2012. Monitor in 2012 and, if warranted, <s>repair.</s>",,,
<s>SE 06-74-09</s>,<s>Drainage</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>SE 06-74-09</s>,<s>Tame pasture</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>SW 06-74-09</s>,<s>Cultivated</s>,<s>Compaction</s>,Reduced plant vigour and crop <s>growth</s>,Localized areas of compaction observed on right-of-way from KP 2.3 to <s>KP 2.5 during ground reconnaissance.</s>,"Monitor in 2012 and, if warranted, <s>alleviate compaction.</s>",,,
<s>NW 06-74-09</s>,<s>Cultivated</s>,<s>Subsidence</s>,<s>Weeds</s>,High densities of foxtail barley and annual sow-thistle observed on right-of-way from KP 2.7 to KP 3.0 during ground reconnaissance.  Minor subsidence observed on right-of-way from KP 2.7 to KP 3.0 <s>during ground reconnaissance.</s>,"Control weeds and monitor in 2012. Monitor in 2012 and, if warranted, <s>repair.</s>",,,
<s>NE 01-74-10</s>,<s>Hay</s>,<s>Compaction</s>,Reduced plant vigour and crop <s>growth</s>,Localized areas of compaction observed on right-of-way from KP 3.1 to KP 4.0 during ground reconnaissance. Field was recently tilled at time of <s>assessment.</s>,"Monitor in 2012 and, if warranted, <s>alleviate compaction.</s>",,,
<s>NE 01-74-10</s>,<s>Watercourse</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>NW 01-74-10</s>,<s>Cultivated</s>,<s>Compaction</s>,Reduced plant vigour and crop <s>growth</s>,Moderate  compaction  observed  on right-of-way from KP 4.1 to KP 4.6 <s>during ground reconnaissance.</s>,"Monitor in 2012 and, if warranted, <s>alleviate compaction.</s>",,,
<s>SW 12-74-10</s>,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>SE 11-74-10</s>,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>NE 11-74-10</s>,<s>Hay</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>SE 14-74-10</s>,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>SW 14-74-10</s>,<s>Cultivated</s>,<s>Compaction</s>,Reduced plant vigour and crop <s>growth</s>,Subsoil compaction affecting crop growth observed on right-of-way at <s>KP 7.5 during ground reconnaissance.</s>,"Monitor in 2012 and, if warranted, <s>alleviate compaction.</s>",,,
<s>SE 15-74-10</s>,<s>Cultivated</s>,<s>Compaction</s>,Reduced plant vigour and crop <s>growth</s>,Localized areas of compaction observed on right-of-way at KP 8.6 <s>during ground reconnaissance.</s>,"Monitor in 2012 and, if warranted, <s>alleviate compaction.</s>",,,
<s>SW 15-74-10</s>,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
<s>NW 10-74-10</s>,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
,<s>Wetland</s>,,<s>Weeds</s>,"Low to moderate densities of brome sp., creeping thistle, perennial sow- thistle, foxtail barley, dandelion, stinkweed, and clover sp. observed on <s>right-of-way</s>",<s>Monitor in 2012.</s>,,,
,<s>Cultivated</s>,<s>No</s>,<s>No</s>,<s>None.</s>,<s>None.</s>,,,
