Legal Land Description,KPC,Issue/Condition,Notes,Recommendation(s),VEC,GIS,Topic
94P-4-J74,0.00,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-J64,0.50,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-J64,0.50,Rare plant,Approximately 50 Western Jacob’s ladder plants observed from KP 0.7 to KP 1.0.,Resolved and successful.,,,
94P-4-J63,1.00,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-J53,1.70,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-J52,2.10,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-J42,2.90,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established, although many seedlings are present and vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-J42,2.90,Rare plant,There were 10 Western Jacob’s ladder plants observed from KP 3.3 to KP 3.5.,Resolved and successful.,,,
94P-4-J41,3.60,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established, although many seedlings are present and vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-J31,4.15,Moderate vegetation establishment,"Vegetation on the right-of-way up to KPC 4.5, particularly over the trench line, has not yet established, although many seedlings are present and vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-I40,4.65,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-I30,5.30,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-I30,5.30,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-I30,5.30,Rare plant,There were 15 Western Jacob’s ladder plants observed from KP 5.9 to KP 6.3.,Resolved and successful.,,,
94P-4-I20,6.25,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-I20,6.25,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-I10,7.20,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-I10,7.20,Treed bog1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H100,8.15,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H100,8.15,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H100,8.15,Rare plant,There were 5 Western Jacob’s ladder plants observed at KP 8.2.,Resolved and successful.,,,
94P-4-H100,8.15,Rare plant,Greater than 30 Western Jacob’s ladder plants observed at KP 9.0.,Resolved and successful.,,,
94P-4-H90,9.10,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor in 2014 for vegetation establishment and erosion.,,,
94P-4-H90,9.10,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H90,9.10,Erosion,Rill erosion observed at KP 9.1 (see Plate 3). Riling is due to the wet area and low vegetation establishment.,Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,,,
94P-4-H90,9.10,Rare plant,There were 5 to 10 Western Jacob’s ladder plants observed at KP 9.85 to KP 10.15.,Resolved and successful.,,,
94P-4-H80,10.00,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H80,10.00,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H70,11.09,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-H60,12.00,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H50,12.95,Moderate vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment and in 2014.,,,
94P-4-H50,12.95,Invasive species,High densities of sweet clover are present on the right-of-way from KP 13.5 to KP 13.9.,Monitor vegetation establishment and invasive species in 2014.,,,
94P-4-H40,13.90,Shrubby fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H40,13.90,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H30,14.85,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H20,15.76,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H20,15.76,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H19,16.45,Low vegetation establishment,"Vegetation on the right-of-way from KP 14.0 to KP 19.4, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-H19,16.45,Treed fen1,Wetland is on the trajectory to reaching pre-construction functional condition.,Monitor vegetation establishment in 2014.,,,
94P-4-H9,16.70,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014. Implement further erosion control measures if conditions do not improve in 2014.,,,
94P-4-H9,16.70,Watercourse crossing: unnamed tributary to Courvoisier Creek,Slumping was observed on the north approach slope of the tributary at KP 16.7. Erosion occurred due to the steep slope in this area and the low vegetation establishment.,Monitor vegetation establishment in 2014. Implement further erosion control measures if conditions do not improve in 2014.,,,
94P-4-H9,16.70,Rare plant,There were 1 Western Jacob’s ladder plant observed at KP 16.7.,Resolved and successful.,,,
94P-4-A99,17.68,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years (Plate 4).",Monitor vegetation establishment in 2014.,,,
94P-4-A98,18.60,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-A88,18.75,Low vegetation establishment,"Vegetation on the right-of-way, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is expected to improve in subsequent years.",Monitor vegetation establishment in 2014.,,,
94P-4-A87,19.50,High vegetation establishment,No concerns observed on the right-of-way.,None.,,,
94P-4-A77,20.27,High vegetation establishment,No concerns observed on the right-of-way. Excellent drainage across the right-of-way (see Plate 5).,None.,,,
94P-4-A76,20.70,Invasive species,"High densities of sweet clover are present on the right-of-way, starting at KP 20.8. This portion of the right-of-way parallels a road (see Plate 5).",Monitor invasive species in 2014.,,,
