Environmental Issue/Concern,Legal Location/Site,Current Status 2010,Current Status 2011,Current Status 2012,Current Status 2013,Current Status 2014,Current Status 2015,Current Status 2016,Recommendations/Schedule for 2017,VEC,GIS,Topic
"Conversion
Site contours","SE 1-19-18-W3
MLV 6",Ruts around site to be repaired - Top soil may be required for clean-up. Repair ruts around site - haul in top soil if required for clean-up - Spring thru Fall 2011.,Site completed - No further work required.,"•  No issues, No work required.",•  Minor subsidence around Keystone Valve.,"•  No issues, No work required. •  Minor subsidence around Keystone Valve has been repaired by Keystone Operations.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required. PCEM is considered to be complete.,,,
"Conversion
Site contours","NE 23-15-5-W2
MLV 22",Electrical trench sinkage - requires re-contouring. Re-contour soil - Spring thru fall 2011.,Site completed - No further work required.,•  Minor erosion was observed on the west side of the valve. Repair by discing in 2013.,"•  No issues, No work required. •  Minor erosion on west side of valve has been addressed by landowner by cultivation as part of normal farming operations.","•  No issues, No work required.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required. PCEM is considered to be complete.,,,
"Conversion
Site contours",Sites between SW 9-20-29 W3M and NW 17-12-14 WPM,Not applicable,42 new sites with minor subsidence from 2011 assessments.,•  See below for work completed and corresponding status from the 2012 program.,•  See below for work completed and corresponding status from the 2013 program.,See below for details,See below for details,See below for details,See below for 2017 recommendations.,,,
"Conversion
Site contours","Dig 3
SE 11-20-29 W3M",Not applicable,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment. •  Dig site was stripped, re-graded planned for fall 2014. Subsidence repair had been completed during 2014 summer from another TCPL / Keystone Project working in the same area.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required. PCEM is considered to be complete.,,,
"Conversion
Site contours","Dig 7.1
SE 8-20-28 W3M",Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment. •  Subsidence was not repaired due to fall rye being seeded.,"•  Subsidence observed during 2013 assessment. Unable to complete do to landowner seeding fall rye. •  Dig site was stripped, re-graded and reclaimed in Fall of 2014. •  No further issues.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required. PCEM is considered to be complete.,,,
Conversion  Site contours,Dig 48-53 SE 7-19-18 W3M,Not applicable,Subsidence on dig site observed during Fall assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012. •  No further issues.","•  Digs 48 – 49.1 - No issues, No work required. •  Digs 50 – 52 – Top soil not uniform – repaired by disking / dragging. •  Dig 53 - No issues, No work required.","No issues, No work required.","•  Subsidence on dig 52 observed during spring assessment. •  No issues no work required on digs 50 – 51. •  Dig 52 was stripped, re-graded and reclaimed in Fall of 2015.",•  2016 monitoring revealed no issues and no work required on Dig 52. •  PCEM was considered to be complete on Digs 48-51 and Dig 53 in 2015.,Monitor Dig 52 in 2017.,,,
Conversion Site contours,Dig 173 SE 14-18-08 W3M,Not applicable,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site was observed during spring assessment. •  Topsoil was hauled into Dig site and filled in subsidence in Fall of 2014. •  No further issues.,•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion Site contours,Digs 215 – 216  NW 1-18-3 W3M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during Fall Assessment. •  Subsidence was not repaired due to crossing agreement issue.,•  Minor repairs required. •  Repaired contours by filling with topsoil in 2014.,•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion Site contours,Digs 226 & 227 NE 3-18-2 W3M,Not applicable,Not applicable,Not applicable,Not applicable,"•  Subsidence on dig site observed during spring assessment. •  Dig site was stripped, re-graded and reclaimed in Fall of 2014. •  No further issues.",•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion Site contours,Digs 235 - 237 NW 6-18-1 W3M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment. •  Subsidence was not repaired due to fall rye being seeded.,•  Subsidence within dig sites has been repaired during normal farming practice.  •  No further work required.,•  2015 monitoring revealed no issues and no work required.,•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion Site contours,Dig 256 SE 1-18-1 W3M,Not applicable,Not applicable,Not applicable,Not applicable,"•  Dig site to be stripped, re-graded and reclaimed in 2015.","•  Dig site was stripped, re-graded and reclaimed in Fall of 2015. •  No further issues.",•  2016 monitoring revealed no issues and no work required.,Monitor Dig 256 in 2017.,,,
Conversion Site contours,Dig 260 SE 1-18-30 W2M,Not applicable,Not applicable,Not applicable,Not applicable,"•  Dig site to be stripped, re-graded and reclaimed in 2015.","•  Dig site was stripped, re-graded and reclaimed in Fall of 2015. •  No further issues",•  2016 monitoring revealed no issues and no work required.,Monitor Dig 260 in 2017.,,,
Conversion  Site contours,Dig 262 SE 1-18-30 W2M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment.,"•  No issues, No work required.","•  Dig site was stripped, re-graded and reclaimed in Fall of 2015. •  No further issues.",•  2016 monitoring revealed no issues and no work required.,No further work or monitoring required.   PCEM is considered to be complete.,,,
Conversion  Site contours,Digs 481 - 482 NE 22-17-24 W2M,Not applicable,Not applicable,Not applicable,•  Subsidence on dig site observed during spring assessment. •  No crop productivity issues observed. •  Subsidence was not repaired due to crossing agreement issue.,"•  Dig sites to be stripped, re-graded and reclaimed in 2015.","•  Dig sites was stripped, re-graded and reclaimed in Fall of 2015. •  No further issues.",•  2016 monitoring revealed no issues and no work required.,Monitor Digs 481-482 in 2017.,,,
