Legal Land Description,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
<s>SW 36-65-3 W6M</s>,High Vegetation Establishment,"July 9, 2014 - ~ 90% vegetation establishment, compared to off ROW control. – Some thin vegetated areas. Weeds comparable to off ROW control. - Minor erosion North of meter station at KP 0+020. Continue to Monitor.  - Perennial Sow thistle KP 0+000 to 0+050.  - KP 0+520 depression or minor subsidence. Limited vegetation cover – Continue to monitor. - Cross drains well vegetated and functioning. July 19, 2014 - KP 0+000 to 0+050 - Herbicide application conducted to control noxious weeds (perennial sow thistle).","June 22, 2015 - >90% vegetation establishment on ROW. Excellent grasses vetch and clover establishment on ROW. - Minor erosion North of meter station KP 0+020. As reported last year but with further erosion, implement erosion control. - Cross drains well vegetated and functioning. July 24, 2015 - Minor erosion North of Meter station at KP 0+020. Installed three half straw wattle erosion breakers in identified erosion.  Sept. 24, 2015 – Perennial sow thistle located and herbicide application conducted along intermittent sections of ROW.","June 28, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established on ROW.  - KP 0+000 small patch of Perennial Sow thistle was observed. Recommend herb application.  - Previous repaired erosion is well vegetated and no longer eroding due to straw wattle install. Issue resolved.  - Cross drains well vegetated and functioning. July 17, 2016 - Intermittent herbicide application (KP 0+000 to 0+100) conducted to control perennial sow thistle. August 20, 2016 - No noxious weeds observed, issues resolved.","June 25, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - KP 0+000 on south side of meter station, no sow thistle found issue resolved.",,,
NW 36-65-3 W6M,"Noxious Weed, Invasive Species","July 9, 2014 - ~ 95% vegetation establishment, compared to off ROW control. – Some thinly vegetated areas. Native grasses very well established. Deciduous species establishing. Weeds comparable to off ROW. - Cross drains well vegetated and functioning. July 19, 2014 - One perennial sow thistle plant (trace amount) was sprayed within tract.","June 22, 2015 - >90% vegetation establishment on ROW. Excellent grasses vetch and clover establishment on ROW.  - Cross drains well vegetated and functioning. Aug 23, 2015 - Noxious weeds were not identified. Issue resolved.","June 28, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW.  - Cross drains well vegetated and functioning.","June 25, 2017 - Vegetation cover on ROW is 80 - 100% comparable to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present. -No erosion or subsidence observed.",,,
NW 36-65-3 W6M,"Rare Plant - golden saxifrage (S3?) – KP 1+200 to 1+500 On August 7, 2013, Rare Plant Specialists visited the location and observed the target species. Issue resolved, no further monitoring is recommended",,,,,,,
NW 36-65-3 W6M,Treed Swamp,No issues noted,"June 22, 2015 – Wetland stable with good establishment of vegetation, shrubs and deciduous species.  - Dry soils are present in areas of Treed swamp with pockets of water throughout swamp.  - Noxious weeds were not observed.","June 29, 2016 - willows, common cattail, sedges, reed grasses, all present - No standing water; - Vegetation throughout wetland area (>95% comparable to off ROW)","June 25, 2017 - Treed swamp on ROW stable. - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows and poplars throughout wetland. Tree species exceeding 1m in height. - Trench crown present and stable through wetland with sufficient amount of cross drains. - Uniform growth of vegetation indicates that substrate health has been maintained. - Soils within wetland are semi-saturated. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; shrubs and deciduous trees beginning to emerge through wetland to compare with off ROW species. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
NE 35-65-3 W6M,"Noxious Weed, Invasive Species","July 9, 2014 - 90 - 95% vegetation cover on ROW compared to off ROW control. Willows and deciduous species’ establishing within ROW. Exceptional native grass establishment within ROW. Other vegetation consisting of aven species’, scouring rush and Indian paintbrush. - Weeds comparable to off ROW. - No subsidence or erosion issues evident within tract.","June 22, 2015 - >90% vegetation establishment on ROW. Excellent grasses vetch and clover establishment on ROW. Weeds such as Hemp nettle, Cow parsnip, Dandelion are present on ROW.  - Cross drains well vegetated and functioning.  - Adjacent foreign line shows signs of recent spray activity. Aug 23, 2015 - Noxious weeds were not identified. Issue resolved.","June 28, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW.  - KP 1+500 hydrovac hole from foreign facility install on adjacent line to the East. Filled by hand. Issue resolved.  - Cross drains well vegetated and functioning.","June 25, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.",,,
NE 35-65-3 W6M,Treed Swamp,"July 9- Wetland (treed swamp) at KP 1+250 to KP 1+620 Stable with appropriate mulch thickness evident within wetland. Areas within wetland exhibiting dry soil conditions indicated by upland vegetation establishment, with standing water in other areas. Hydrology appears to be maintained within some areas. Good willow establishment within wetland. Organic peat depth reaching greater than 40cm in some areas. Continue to monitor for enhancement of wetland conditions.","June 25, 2015 - willows, common cattail, sedges, reed grasses, all present; no standing water; very thick (>95% comparable to off ROW) vegetation throughout wetland area; - KP1+250 willows, common cattail, sedges, reed grasses, all present; Standing water on both sides of the roach with cross ditch in place; very thick (>95% comparable to off ROW) vegetation throughout wetland area;","June 29, 2016 – Wetland is a perched basin surrounded pine and poplar; Wetland is currently stable with well-established (>95%) willow and grass species;  - The area is dependent on local water inflow and may regress, naturally, under drought condition; - Wetland appears to be on a trajectory to reaching pre‑construction functional condition.","June 25, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows and poplars throughout wetland. Tree species exceeding 1m in height. - Trench crown present and stable through wetland with sufficient amount of cross drains. - Uniform growth of vegetation indicates that substrate health has been maintained. - Soils within wetland are semi-saturated. Wetland likely to change moisture levels through seasonal succession. - Wetland is stable and at pre-construction functionality; shrubs and deciduous trees beginning to emerge through wetland to compare with off ROW species. Pre-construction contours have been achieved. - No subsidence, erosion or weed issues observed in wetland.",,,
SE 2-66-3 W6M,High Vegetation Establishment,"July 9, 2014 - 90 - 95% vegetation cover on ROW compared to off ROW control. Willows and deciduous species’ establishing within ROW. Exceptional native grass establishment within ROW. Other vegetation consisting of aven species’, scouring rush and Indian paintbrush. - Weeds comparable to off ROW. - No subsidence or erosion issues evident within tract.","June 22, 2015. >90% vegetation establishment on ROW. Excellent grasses vetch and clover establishment on ROW. - Cross drains well vegetated and functioning. Aug 23, 2015 - Patch of Canada thistle was observed on ditchline at KP 2+500. Sept. 24, 2015 - Herbicide application conducted along intermittent sections of ROW.","June 28, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW. - Canada thistle identified at KP 2+550; 6 plants picked, bagged, and disposed of. - Cross drains well vegetated and functioning. July 17, 2016 – Intermittent herbicide application (KP 2+000 to 2+800) conducted to control Canada thistle. August 20, 2016 – No noxious weeds observed, issues resolved.","June 25, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - Previous year herbicide application was effective no weeds identified on tract.",,,
SW 2-66-3 W6M,High Vegetation Establishment,"July 8, 2014 - 90 - 95% vegetation cover on ROW compared to off ROW control. Willows and deciduous species’ establishing within ROW. Exceptional native grass establishment within ROW. Other vegetation consisting of clover, wild rose, aven species’ and Indian paintbrush. - Weeds comparable to off ROW. - No subsidence or erosion issues evident within tract.","June 22, 2015- Vegetative coverage approximately 95%, compared to off ROW control. Common weeds observed included cow parsnip and hemp nettle. - Subsidence and erosion was not observed. - No noxious/prohibited weeds were observed.","June 28, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW. - Cross drains and diversion berms well vegetated and functioning.","June 25, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - Cross drains functioning well.",,,
NW 2-66-3 W6M,Low Vegetation Establishment,"July 8, 2014 - 90 - 95% vegetation cover on ROW compared to off ROW control. Good willow and deciduous species’ establishment within ROW. Exceptional native grass establishment within ROW. Other vegetation consisting of clover, wild rose, aven species’ and Indian paintbrush  - Canada thistle and bull thistle existing on ROW from KP 3+720 to 3+810.  - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 19, 2014 - KP 3+000 to 3+900 – Herbicide application was conducted within intermittent sections of the ROW, to control perennial sow thistle, Canada thistle and bull thistle. August 10, 2014 – Successful spray application observed. - Small patch of Canada thistle evident on ditchline (KP 3+800), monitor in 2015.","June 22, 2015 - Vegetative coverage approximately 95%, compared to off ROW control. - Patch of reduced vegetative growth (~50%) at KP 3+475, continue to monitor.  - Subsidence was not observed. - Diversion berms/ditches are functioning and/or vegetating. - Perennial sow thistle observed at KP 3+070 and Canada thistle at KP 3+690. Recommend weed mitigation measures. July 12, 2015 – KP 3+000 to 3+900; Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle. Aug 23, 2015- - Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 3+000, 3+300, 3+660. Fall herbicide spot spray application is recommended. Sept. 24, 2015 - Herbicide application conducted along intermittent sections within ROW to control perennial sow thistle.","June 28, 2016- Excellent vegetation establishment consisting of grasses, clover, vetch. Deciduous species established as well as some conifers establishing on ROW. Previously noted patches of reduced vegetation cover are no longer evident, issues resolved. - Cross drains and diversion berms well vegetated and functioning. August 20, 2016 - No noxious weeds observed. Issues resolved.","June 25, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Native grasses and willows establishing. Excellent leaf litter present.  - No erosion or subsidence observed.  - Cross drains functioning well.",,,
SW 11-66-3 W6M,Watercourse Crossing: Patterson Creek,"May 22, 2014 - Patterson Creek - Diversion berms stable, functioning appropriately, sediment collecting in some silt fencing, monitor and repair as required. Straw waddles within berm drainages appears to be functioning well.  - Vegetation on slopes remains relatively thin at this time. - Slope on south side of creek crossing – recent and effective water flow evident at rock drains on east side of ROW at bottom of slope.   - Minor erosion rills existing on the top of south slope (northwest facing) - slope on north side of creek (southeast facing). July 23, 2014 - Implemented straw waddle erosion control material within erosion at the top of the south bank at Paterson Creek (KP 4+350). - Removed steel pegs along diversion berms on north and south banks of Paterson Creek (KP 4+390, 4+410, 4+430, 4+450, 4+490, KP 4+525, 4+550, 4+570, and 4+600).","June 22, 2015 - Vegetative coverage approximately 70%, compared to off ROW control. Banks are defined and stable. Coir wraps are functioning properly. - Erosion mitigation measures implemented previously are functioning. Recommend supplementing with additional erosion control, especially along the disturbance occurring along ditch line on the south slope. July 24, 2015 – KP 4+700; Installed four wattles in areas of erosion on slope to Patterson Creek. Aug 23, 2015 – Silt fence remains at bottom of Patterson Creek South slope and can be removed. Straw wattle made of plastic erosion material can be removed along with steel pegs on South slope. Additional erosion breakers could be installed at top of South slope.  Oct. 3, 2015- Installed eight wattles for erosion control. Removed 40m of silt fence, 60m of plastic netting boom wattles, steel pegs, and rebar, issue resolved.","June 28, 2016 - Erosion noted on upper berm of south bank, repairs recommended. July 1, 2016 – Recent rainfall event caused large volumes of water to flow down creek redistributing rip rap, causing erosion from behind revetment posts on north side of channel. Repairs recommended. August 16 – 17, 2016 – Repairs completed by redistributing rip rap, stabilizing revetment posts, and installing additional willow staking. - Repairs also completed on erosion on upper berm of south bank.","June 25, 2017 - Creek bed stable with good cobble distribution. - South bank of creek is vegetated with 80-100% vegetation cover to off ROW with the exception of previous year erosion repair. Erosion repairs on hill slope at KP 4+400, 4+410, and 4+460, are effective, with emerging vegetation. - North bank showing 80-100% vegetation establishment in majority of areas. Erosion repair to stabilize revetment posts and erosion is effective and revetment posts are stable. - Recommend monitoring later in growing season to ensure stability, vegetation cover progression, and possible removal of erosion control materials - Silt fence sections located at bottom of diversion berms on north hill slope are no longer required, remove as soon as practical.  July 18, 2017 - Removed all silt fences from ROW that are no longer required, issue resolved. September 11, 2017 - 80 - 100% cover compared to off ROW, vegetation cover, within erosion repairs, issue resolved. All silt has been removed from creek banks, issue resolved. There are no further erosion or stability issue present, all previously noted issues resolved.",,,
