Legal Location,1st Year Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 31-96-7 W6,Moderate Vegetation Establishment,The ROW was well vegetated with a combination of herbaceous and woody species (2013 moderate vegetation issue is resolved). There were no weeds observed.,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Excellent establishment of grasses, clover and American vetch, providing a heavy canopy of vegetation throughout the tract. Shrubs and willows emerging throughout tract. - No noxious weeds were identified.  - No subsidence or erosion identified.","September 28, 2017 - No noxious weeds were observed.",,,
SW 31-96-7 W6,Shrubby Swamp,The ROW was well vegetated with a combination of herbaceous and woody species (2013 moderate vegetation issue is resolved). There were no weeds observed.,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Good establishment of vegetation within wetland location, including cattails in lower areas.  Good drainage – No ponding of water","July 15, 2017 - - Shrubby swamp on ROW from KP 0+000 to 0+410 appears to be at full functionality. Rollback present in wetland from KP 0+140 to 0+240; rollback is not affecting overall wetland function.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, broadleaf shrubs and willows. - No noxious weeds were observed on ROW. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic matter content within substrate. - Wetland exhibiting saturated conditions with water table at surface resulting in surface water throughout wetland.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved.  No net loss of wetland function was observed",,,
NE 36-96-8 W6,Moderate Vegetation Establishment,The ROW was well vegetated with a combination of herbaceous and woody species (2013 moderate vegetation issue is resolved). There were no weeds observed.,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Excellent establishment of clover and American vetch, Birdsfoot Trefoil providing a heavy canopy of vegetation throughout the tract.  Shrubs, willows and aspen emerging throughout tract. - No noxious weeds were identified.","July 15, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Also present vetch, common yarrow, clover, and birdsfoot trefoil.  - Planted coniferous trees are successful.   - No noxious weeds identified on tract. - No erosion or subsidence on tract.  September 28, 2017 - No noxious weeds were observed.",,,
NE 36-96-8 W6,Rollback Installation,"Sept 20, 2014 – Rollback was located at ~0+200 as was consistent with the Rollback requirements, 2013 issue with rollback is resolved.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Application of rollback is providing effective access control within pipeline right of way at KP 0+200.","July 15, 2017 - Rollback is functioning well with good establishment of vegetation.",,,
,Emergent Marsh,The ROW was well vegetated with a combination of herbaceous and woody species. There were no weeds observed.,,"June 30, 2016 - Good establishment of vegetation within wetland location, including cattails in lower areas.  Wetlands appear to be consistent with pre-construction conditions.  Good drainage throughout tract – no ponding of water.","July 15, 2017 - Emergent marsh on ROW from KP 0+410 to 0+490 appears to be at full functionality.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, broadleaf shrubs and willows. - No noxious weeds were observed on ROW. - Trench crown settled within wetland but remains functional with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic matter content within substrate. - Wetland exhibiting saturated conditions with water table at surface resulting in surface water throughout wetland.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved. No net loss of wetland function was observed.",,,
,Shrubby Swamp,The ROW was well vegetated with a combination of herbaceous and woody species. There were no weeds observed.,,"June 30, 2016 - Good establishment of vegetation within wetland location, including cattails in lower areas.  Wetlands appear to be consistent with pre-construction conditions.  Good drainage throughout tract – no ponding of water.","July 15, 2017 - Shrubby Swamp on ROW from KP 0+490 to 0+670 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of aspen and broadleaf shrubs. Spruce trees identified emerging on ROW. - No noxious weeds were observed on ROW. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland is slightly upslope resulting in semi-saturated soil conditions; no standing water present in wetland.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved. No net loss of wetland function was observed.",,,
NW 36-96-7 W6,Moderate Vegetation Establishment,Assessment not completed,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control.  2013 moderate vegetation issue resolved. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil and American vetch, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼. - No noxious weeds were identified. - Small spruce trees which appeared to have been planted are emerging through the vegetation in the Exit Drill pad area at KP 1+325. - No subsidence or erosion was observed in the ¼.","July 15, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Present on tract vetch, common yarrow, clover, birdsfoot trefoil, cattails, reed grass, raspberry and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract.  - Rollback is functioning well and good establishment of vegetation.  - KP 1+330 sign post straightened and stabilized. Shrubby Swamp - Shrubby Swamp on ROW from KP 1+070 to 1+130 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of aspen and broadleaf shrubs. Spruce trees identified emerging on ROW. - No noxious weeds were observed on ROW. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. - Wetland is slightly upslope resulting in semi-saturated soil conditions; no standing water present in wetland.  - No subsidence or erosion was observed in wetland. - Wetland showing good habitat potential for wildlife; bear activity observed through wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully emerging on ROW; species biodiversity achieved. No net loss of wetland function was observed. September 28, 2017 - Common tansy was identified at KP 1+300, herbicide application conducted to control.  Issue resolved.",,,
NW 36-96-7 W6,Watercourse Crossing: Chinchaga River,Assessment not completed,"Oct 25, 2015 - No issues noted. Monitor vegetation cover on banks and approach slopes and remove/repair silt fencing, as required.",No issues noted.,No issues noted,,,
SE 2-97-8 W6 and NE 35-96-8 W6,None,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil and American vetch, providing dense ground cover in majority of ¼.  Shrubs and willows are emerging and were observed throughout ¼.  - KP 1+960 to 2+010 and 2+075, Scentless Chamomile and Perennial sow thistle were identified.  Recommend weed control. - Areas of moderate vegetation growth between KP’s 1+960 and 2+150 on ditch line and drill pad area.  Continue to monitor.  - No subsidence or erosional issues were observed in this ¼. July 2, 2016 - KP 1+960 to 2+010 and 2+075 - Picked, bagged and disposed of scentless chamomile and perennial sow thistle.  Recommend herbicide application to control emerging noxious weeds. July 12, 2016 - KP 1+960 to 2+010 and 2+075 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.  Issue resolved.","July 15, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Present on tract vetch, common yarrow, clover, birdsfoot trefoil, cattails, reed grass, raspberry and broadleaf shrubs.  - KP 2+200, 2+670, and 2+870 – Perennial sow thistle observed, recommend weed control. July 25, 2017 – KP 2+200 to 2+800 and 2+870 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle (KP 2+500).  Issue resolved. September 28, 2017 - No noxious weeds were observed.  Effective control of noxious weeds observed.",,,
SE 2-97-8 W6 and NE 35-96-8 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","June 30, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil and American vetch, providing dense ground cover in majority of ¼.  Shrubs and willows are emerging and were observed throughout ¼.  - KP 1+960 to 2+010 and 2+075, Scentless Chamomile and Perennial sow thistle were identified.  Recommend weed control. - Areas of moderate vegetation growth between KP’s 1+960 and 2+150 on ditch line and drill pad area.  Continue to monitor.  - No subsidence or erosional issues were observed in this ¼. July 2, 2016 - KP 1+960 to 2+010 and 2+075 - Picked, bagged and disposed of scentless chamomile and perennial sow thistle.  Recommend herbicide application to control emerging noxious weeds. July 12, 2016 - KP 1+960 to 2+010 and 2+075 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.  Issue resolved.","July 15, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Present on tract vetch, common yarrow, clover, birdsfoot trefoil, cattails, reed grass, raspberry and broadleaf shrubs.  - KP 2+200, 2+670, and 2+870 – Perennial sow thistle observed, recommend weed control. July 25, 2017 – KP 2+200 to 2+800 and 2+870 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle (KP 2+500).  Issue resolved. September 28, 2017 - No noxious weeds were observed.  Effective control of noxious weeds observed.",,,
