Legal Land Description,Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW-34-81-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"July 10, 2014 - 80-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on ROW.","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015 - 85% vegetation establishment compared to off-ROW control. - Minor patches of reduced vegetation cover present on ROW. - Wetlands within tract are stable and well vegetated. - No Noxious weeds observed within tract during assessment. September 13, 2015 - Vegetation continues to establish throughout the ROW. Grasses and forbs as well as low shrubs were noted throughout the ROW.  - Wetland vegetation well established.  - Soils stable at time of assessment. No integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. - Good establishment of grasses, shrubs and aquatic vegetation.  Remaining patches of reduced vegetation are no longer evident, issues resolved. - Wetland functioning well - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors and bell holes are no longer evident, issue resolved. September 15, 2016 - 85% vegetation established compared to off-ROW. - Patches of Perennial Sow Thistle were observed along ROW at KP 0+025.  Herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses and shrubs. - No subsidence or erosion issues were observed.  - KP 0+075 - Perennial sow thistle observed, recommend weed control.  August 23, 2017 – KP 0+075 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
SW-3-82-6 W4,Watercourse,None,No issues noted,No issues noted,No issues noted,"August 1, 2017 - No issues noted",,,
SW-3-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"July 5, 2014 - Water has ponded on ditchline at screw anchor sites at KP 0+860. July 10, 2014 - 70-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time. - Minor patches of reduced vegetation cover present on ROW.","June 7, 2015- Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- 85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ROW. - Minor subsidence at screw anchor locations throughout tract. Continue to monitor. - Wetlands within tract are stable and well vegetated. - No Noxious weeds observed within tract during assessment. September 13, 2015 - Vegetation continues to establish throughout the ROW. Grasses and forbs as well as low shrubs were noted throughout the ROW. - Soils stable. No integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. - Good establishment of grasses, shrubs and aquatic vegetation, patches of reduced vegetation are no longer evident, issues resolved. - Wetland functioning well - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors and bell holes are no longer evident, issue resolved. September 15, 2016 - 85% vegetation established compared to off-ROW. - No noxious weeds observed within tract. - No erosion concerns observed within tract.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses and shrubs- Wetland functioning well - No erosion or subsidence issues. - No noxious weeds observed within tract. September 10, 2017 - Shrubby swamp on ROW from KP 0+380 to 0+840 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, aspen, willow, black spruce, Labrador tea and sphagnum mosses. Hydrophytic species establishing well throughout wetland (arrowheads). - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled due to high moisture content in substrate. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Wetland exhibiting saturated conditions through the majority of wetland, with standing water present throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off-ROW species successfully emerging onto ROW. Overall, no net loss of wetland function was observed.",,,
NW-3-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"July 10, 2014 - 80-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable at this time.","June 7, 2015- Vegetation appears to be establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015- 85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ROW. - No noxious weeds observed within tract during assessment. September 13, 2015 - Vegetation well established. Small shrubs, willows and trees were observed throughout the ROW.  - Wetland vegetation well established.  - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses, shrubs and aquatic vegetation.  Previously noted patches of reduced vegetation cover issue resolved. - Wetland functioning well - No erosion or subsidence issues. Previously noted subsidence/ponding at screw anchors and bells holes are no longer evident, issue resolved. September 15, 2016 - 85% vegetation established compared to off-ROW. - Patches of Perennial Sow Thistle were observed along ROW at KP 1+850.  Intermittent herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs and aquatic vegetation.  - No subsidence or erosion issues were observed.  - KP 1+750 to 2+000 - Perennial sow thistle observed, recommend weed control. August 23, 2017 – KP 1+750 to 2+000 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. September 10, 2017 - Shrubby swamp on ROW from KP 1+240 to 1+540 appears to be at full functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off-ROW control. Vegetation consisting of herbaceous graminoids, aspen and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (arrowheads, cattails) including submergent vegetation in standing water areas. - No noxious weeds were identified in wetland.  - Trench crown present through wetland but has slightly settled due to high moisture content in substrate. Sufficient breaks present for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland through large amounts of decomposing vegetation litter. - Wetland exhibiting saturated conditions through the majority of wetland, with standing water present throughout. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as tertiary successional species. Overall, no net loss of wetland function was observed.",,,
NW-3-82-6 W4,Treed Wetland / Watercourse,Water channelling,"No issues noted, 2013 issue is resolved.",No issues noted,No issues noted,"August 1, 2017 - No issues noted",,,
NW-3-82-6 W4,Watercourse,None,No issues noted,No issues noted,No issues noted,"August 1, 2017 - No issues noted",,,
SW-10-82-6 W4,Treed Wetland / Forested,Minor ponding at screw anchor sites,"July 5, 2014 - TransCanada pipeline markers have fallen over at KP 2+450. July 10, 2014 - 75-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Pipeline markers repaired at KP 2+450, issue resolved. - Wetlands are well vegetated and stable.","June 7, 2015 - Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 201 5- 85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ditchline. July 22, 2015 - Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. Previously noted patches of reduced vegetation cover issue resolved. - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors is no longer evident, issue resolved. - KP 2+000 – intermittent herbicide application conducted to control Perennial Sow Thistle. September 15, 2016 - 85% vegetation established compared to off-ROW.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic vegetation.  - No subsidence or erosion issues were observed.  - KP 2+170 and 2+600 to 2+625 - Perennial sow thistle observed, recommend weed control.  August 23, 2017 - KP 2+170 and 2+600 to 2+625 – Intermittent herbicide application conducted to control perennial sow thistle and tansy.",,,
SW-10-82-6 W4,Treed Wetland,Minor subsidence at the crossing site,"July 10, 2014 - 75-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable. - Minor subsidence on ditchline located at KP 2+630 road allowance. Continue to monitor.","June 7, 2015- Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015 - 85% vegetation establishment compared to off-ROW. - Repaired fallen marker post at north side of road crossing at KP 2+600, issue resolved. July 22, 2015- Perennial sow thistle and hawkweed identified, intermittent herbicide application conducted to control. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. - No erosion or subsidence issues.  Previously noted subsidence at screw anchors, crossing site, and KP 2+630 are no longer evident, issues resolved. September 15, 2016 - 85% vegetation established compared to off-ROW. - KP 2+600 - Patches of Perennial Sow Thistle were observed along ROW.  Herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control.  Good establishment of grasses, shrubs and aquatic vegetation.  - No erosion or subsidence issues.  - No noxious weeds observed, issues resolved.",,,
SW-10-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 10, 2014 - 75-85% vegetation establishment compared to off-ROW. - Minor subsidence on ditchline located at screw anchor sites throughout tract. Continue to monitor. - Wetlands within tract are well vegetated and stable. - TransCanada pipeline markers had fallen over at KP 2+630. Signs and markers were repositioned, issue resolved.","June 7, 2015- Vegetation establishing well along ROW.  - Wetlands stable throughout tract. - Subsidence evident over screw anchor holes within tract. June 8, 2015 - 85% vegetation establishment compared to off-ROW. - Minor patches of reduced vegetation cover present on ditchline. - Perennial Sow Thistle present along ROW on north side of road crossing at KP 2+600. Recommend herbicide application. July 22, 2015- Herbicide application conducted at KP 2+600 to control perennial sow thistle and hawkweed. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable and no integrity concerns were observed.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and aquatic vegetation. Previously noted patches of reduced/low vegetation cover issue resolved. - No erosion or subsidence issues.  Previously noted subsidence/ponding at screw anchors are no longer evident, issue resolved. - KP 2+650 – intermittent herbicide application conducted to control Perennial Sow Thistle. September 15, 2016 - 85% vegetation established compared to off-ROW. - KP 2+600 and KP 2+700 - Patches of Perennial Sow Thistle were observed along ROW.  Herbicide application conducted to control.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control.  Good establishment of grasses, shrubs and aquatic vegetation. - No erosion or subsidence issues.  - No noxious weeds observed, issues resolved.",,,
NW 10-82-6 W4,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"July 5, 2014 - Patches of reduced vegetation observed along ROW at KP 2+950 and along remaining portions of ROW. July 10, 2014 - 75-85% vegetation establishment compared to off-ROW. - Wetlands within tract are well vegetated and stable.","June 7, 2015- Vegetation appears to be establishing well along ROW.  - Wetlands appear stable throughout tract. - No subsidence or erosion issues evident. June 8, 2015 - 85% vegetation establishment compared to off-ROW. - KP 2+850 limited vegetation growth, monitor. - Perennial Sow Thistle present on ROW at KP 3+050 and KP 3+400. Recommend herbicide application. - Good poplar regeneration within temporary workspace located at KP 3+050, saplings are 1-2m tall. July 22, 2015 - Herbicide application conducted at KP 3+050 and KP 3+400 to control perennial sow thistle and hawkweed. September 13, 2015 - Vegetation well established, small shrubs, willows and trees were observed throughout the ROW. - Soils stable. No subsidence or other integrity concerns were observed.  Ponding at screw anchor and bell hole sites no longer evident, 2013 issues resolved.  - Narrow Leafed Hawkweed was observed at time of assessment, herbicide application was conducted to control.","July 11, 2016 - Vegetation is well established with desirable species throughout ROW.  Good establishment of grasses, shrubs and vetch.  Previously noted patches of reduced/low/limited vegetation cover issues resolved. - No erosion or subsidence issues. - KP 2+900 and KP 3+100 – intermittent herbicide application conducted to control Perennial Sow Thistle. September 15, 2016 - 85% vegetation established compared to off-ROW. - KP 2+900, KP 3+100, KP 3+200 and KP 3+500 - intermittent herbicide application conducted to control patches of Perennial Sow Thistle.","August 1, 2017 - Vegetation cover on the ROW is 80 - 100% compared to off-ROW control. Good establishment of grasses, shrubs, and aquatic  - Cross drains are working well. - No subsidence or erosion issues were observed.  - KP 2+850 to 3+100 and 3+200 to 3+500 - Perennial sow thistle observed, recommend weed control. August 23, 2017 - KP 2+850 to 3+100 and 3+200 to 3+500 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved.",,,
