Legal Land Description,1st Year Issue/ Condition,1st Year (2014) Issue(s),2nd Year (2015) PCRM Assessment and Work Completed,3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 1-54-15 W4,Wetland Vegetation issue (0+000 to 0+060),"The ROW is revegetating well, but few wetland species were observed during the field survey. The majority of the wetland and wetland species appear to be north of the pipeline ROW, the construction of the pipeline has had limited to no impact on the vegetative composition of the ROW.","July 10, 2015 - The area continues to revegetate with bunch and creeping grasses spreading throughout the ROW. - No erosion, subsidence or integrity concerns were identified. October 6, 2015 - The area continues to revegetate with bunch and creeping grasses spreading throughout the ROW. - No erosion, subsidence or integrity concerns were identified.","June 15, 2016 - Tract is located adjacent to crop land which is currently seeded to peas. - The area is continuing to revegetate with bunch and creeping grasses spreading throughout the ROW. - No erosion, subsidence or integrity concerns were identified. August 19, 2016 - Tract is located adjacent to crop land which is currently seeded to peas. - The area continues to revegetate with bunch and creeping grasses spreading throughout the ROW. - No erosion, subsidence or integrity concerns were identified.","September 20, 2017  - Class III wetland on ROW from KP 0+000 to 0+060 appears to be at baseline, full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and willows. Good establishment of hydrophytic vegetation (common cattail, lilly pads). - No trench crown present through wetland; hydrology has been maintained across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and high moisture retention capabilities. Some humification occurring throughout wetland through the decomposing vegetation litter. Moderate organic content in topsoil layer and high salinity in wetland as indicated through coloration of dried up areas of wetland; comparing with off ROW conditions. - Substrate exhibiting semi to fully saturated conditions, comparing with off ROW conditions resulting in intermittent areas of standing water throughout wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed.",,,
SE 1-54-15 W4,Wetland Noxious weed issue (0+000 to 0+075),Noxious weeds are present (Canada thistle and perennial sow thistle). Noxious weeds are more severe off ROW.,"July 10, 2015 - Assessed weeds throughout tract - Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed, Common Tansy and large amount of sweet clover were observed directly east of the valve site and the western bar ditch of Hwy 857.  October 6, 2015 - Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed, were observed directly east of the valve site and the western bar ditch of Hwy 857.  - Recommend monitoring with possible vegetation control for next growing season all vegetation killed by frost","June 15, 2016 - Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed, Common Tansy and large amount of sweet clover were observed directly east of the valve site and the western bar ditch of Hwy 857.  Recommend implementation of vegetation control. August 19, 2016 - Canada thistle, Narrow Leaf Hawkweed, were observed directly east of the valve site and the western bar ditch of Hwy 857.  Recommend implementation of vegetation control. September 22, 2016 - Intermittent herbicide application (spot spraying) conducted to control Perennial Sow Thistle and Canada Thistle. Narrow Leaf Hawkweed and Common Tansy were no longer present.","July 31, 2017 - Observed perennial sow thistle and Canada thistle on ROW, recommend weed control. September 20, 2017 – Weed control measures implemented to control foxtail barley, Canada thistle, and perennial sow thistle.  Issue resolved.",,,
SW 6-54-14 W4,Cropland Noxious weed issue (0+075 to 0+250) Cropland Noxious weed issue (0+415 to 0+465),"Located on a small natural wet area. Noxious weeds (Canada thistle and perennial sow thistle) are present, which will be managed by normal farming operations. Site is on the edge of a small natural wet area that extends 25m to the south of the ROW. Noxious weeds (Canada thistle) are present.","July 10, 2015 - Tract is located in cropland and is currently producing canola - Tract was not accessed due to landowner concerns with access through seeded field. - No concerns were visible from boundary  October 6, 2015 - Tract is currently in Canola and not harvested, therefore the tract was not accessed. - No concerns were visible from boundary July 10, 2015 - Tract is located in cropland and is currently producing canola - Tract was not accessed due to landowner concerns with access through seeded field. October 6, 2015 - Tract is currently in Canola and not harvested, therefore the tract was not accessed.","June 15, 2016 - Crop land currently seeded to wheat. - Tract has areas of reduced crop density from KP 0+500 to 0+700. August 19, 2016 - Crop land currently seeded to wheat. - Tract has areas of reduced crop density from KP 0+500 to 0+700. - Weeds, noted in 2014, are managed by landowner during farming operations, issue resolved.","July 26, 2017  - Tract is seeded to canola. - Completed follow up vegetation assessment for reduced density observed in 2016 from 0+500 to 0+700.  Variable crop conditions, consistent with off ROW were observed.  No further monitoring recommended, issue resolved. September 20, 2017 - Class II wetland on ROW from KP 0+110 to 0+140 (in temporary work space on ROW) appears to be at baseline, full functionality. Wetland begins on northern edge of temporary work space and extends off ROW to the north. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids. Good establishment of hydrophytic vegetation (common cattail, - No trench crown present through wetland; hydrology has been maintained across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and high moisture retention capabilities. Some humification occurring throughout wetland through the decomposing vegetation litter. Moderate organic content in topsoil layer and high salinity in wetland as indicated through colouration of dried up areas of wetland; comparing with off ROW conditions. - Substrate exhibiting semi to fully saturated conditions, comparing with off ROW conditions. Saturation increases to the north due to down sloping terrain. - Mallards observed using wetland off ROW to the north. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed.",,,
,Cropland No issue observed (0+700),Crop is comparable to the Control. Landowner’s refuse storage site was located just off the ROW.,"July 10, 2015 - Tract is located in cropland and is currently producing canola - Tract was not accessed due to landowner concerns with access through seeded field. October 6, 2015 - Tract is currently in Canola and not harvested, therefore the tract was not accessed.","landowner during farming operations, issue resolved.","- Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids. Good establishment of hydrophytic vegetation (common cattail, - No trench crown present through wetland; hydrology has been maintained across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and high moisture retention capabilities. Some humification occurring throughout wetland through the decomposing vegetation litter. Moderate organic content in topsoil layer and high salinity in wetland as indicated through colouration of dried up areas of wetland; comparing with off ROW conditions. - Substrate exhibiting semi to fully saturated conditions, comparing with off ROW conditions. Saturation increases to the north due to down sloping terrain. - Mallards observed using wetland off ROW to the north. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed.",,,
,Wetland Noxious weed issue (0+720 to 0+760),"Class II wetland observed. Scentless chamomile was observed on the ROW. Moderate issue as the noxious weeds were picked, bagged and sealed in a plastic bag and properly disposed of (approx. 10 plants).","July 10, 2015 - Tract was not accessed due to landowner concerns with access through seeded field. October 6, 2015 - Tract was not accessed due to landowner concerns with access through seeded field.","June 15, 2016 - Scentless chamomile is no longer evident, issue resolved.","September 20, 2017 - Class II wetland on ROW from KP 0+720 to 0+760 appears to be at baseline, full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control (minimal vegetation growth in wetland due to fluctuating water levels in area. Dominant vegetation consisting of herbaceous graminoids including common cattail. - No trench crown present through wetland; hydrology has been maintained across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and high moisture retention capabilties. Some humification occurring throughout wetland through the decomposing vegetation litter. Moderate organic content in topsoil layer and high salinity in wetland as indicated through colouration of dried up areas of wetland; comparing with off ROW conditions. - Substrate exhibiting dry conditions, comparing with off ROW conditions; no standing water present in wetland. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Cropland Microtopography issue (0+775 to 0+855),There is approximately a 5 cm to 10 cm difference between grade on and off ROW. This may be associated with an old fence line. Topsoil was greater than 29 cm was observed on the ROW and on the control. The uneven topography can be attributed to the old fence line. No soil issues were observed.,"July 10, 2015 - Tract is located in cropland and is currently producing canola. - Tract was not accessed due to landowner concerns with access through seeded field. - No concerns were visible from boundary. October 6, 2015 - Tract is currently in Canola and not harvested, therefore the tract was not accessed.","June 15, 2016 - No indications of crop being affected by microtopography issue noted in 2014 (KP 0+775 to 0+855), issue resolved.",,,,
,Cropland Vegetation issue (0+775 to 0+855),Crop height and density decreased compared to the off-ROW Control. Noxious weeds (Canada thistle) are present which will be managed by normal farming operations.,"July 10, 2015 - Tract is located in cropland and is currently producing canola - Tract was not accessed due to landowner concerns with access through seeded field. - No concerns were visible from boundary  October 6, 2015 - Tract is currently in Canola and not harvested, therefore the tract was not accessed.","June 15, 2016 - No indications of crop being affected by microtopography issue noted in 2014 (KP 0+775 to 0+855), issue resolved.",,,,
SE 6-54-14 W4,Treed Vegetation issue (0+900 to 0+920),Drainage ditch (man-made) to the east. High percent cover of invasive plants and nuisance weeds were observed; few desirable species present.,"July 10, 2015 - Tract is located in crop land however a shelterbelt along the western boundary of the quarter section was removed during construction.  - Canada Thistle, Perennial Sow Thistle, Narrow Leaf Hawkweed and Common Tansy were identified in the location of the previous shelterbelt. - Recommend vegetation control","Monitor in 2017 and implement weed control, as required.","July 31, 2017 - Observed a few sporadic individuals of perennial sow thistle and Canada thistle, less than observed off ROW. No further weed control required, issue resolved.",,,
SE 6-54-14 W4,Cropland Vegetation issue (0+925 to 1+300),"There is a decrease in crop height and density compared to off-ROW Control. No soil issues on the ROW were observed to provide an explanation of the decrease in crop height and density. Few noxious weeds are present, which will be managed by normal farming operations.","July 10, 2015 - Two separate crops appear to have been seeded at separate times. - West portion of tract, crop density, height and maturity appear to be impacted. While off ROW crop throughout the field in this area also varied in density, height and maturity at the time of assessment the ROW was observed to have reduced crop density, height and maturity compared to general offsite conditions. - No erosion, subsidence or integrity concerns were identified. October 6, 2015 - Quarter was seeded to Barley this past season, stubble at the time of assessment.  Height and density of stubble consistent on and off ROW.  - Dug soil pits in four locations on and off the ROW (KP 1+600, 1+300, 1+200, 1+100) and 40 meters south due to potential compaction concern.  Soil replacement is comparable both on and off ROW (14-15cm topsoil on ROW, 16cm topsoil off). No indication of compaction was observed, roots moving downward and no signs of root stress.  - No erosion, subsidence or integrity concerns were identified. - No noxious weeds observed","June 15, 2016 - Crop land, seeded to canola. - Crop on ROW is comparable to off ROW, no issues noted. August 19, 2016 - Crop land, seeded to canola. - Crop on ROW is comparable to off ROW, no issues noted. - Reduction in crop density noted in 2014 (KP 0+925 to 1+300) and 2015 are no longer evident, issues resolved.","July 31, 2017 - Tract is seeded to wheat; previous location of weed control is grassy area between quarters along undeveloped road allowance",,,
SE 6-54-14 W4,Cropland No issues observed (1+510),Some wood was found on ROW likely buried and brought up during construction. Larger pieces were removed at the time of field work.,"July 10, 2015 - Crop density height and maturity appeared to be consistent with off ROW conditions at the time of assessment. - Soils along eastern portion of tract were found to be consistent with offsite conditions - A pile of wooden debris located on ROW. October 6, 2015 - Dug soil pits in four locations on and off the ROW (KP 1+600, 1+300, 1+200, 1+100) and 40 meters south due to potential compaction concern.  Soil replacement is comparable both on and off ROW (14-15cm topsoil on ROW, 16cm topsoil off).  No indication of compaction was observed, roots moving downward and no signs of root stress.  - No erosion, subsidence or integrity concerns were identified. - No noxious weeds observed. - A pile of wooden debris remains on ROW, remove as soon as practical in 2016.","June 15, 2016 - The brush pile (wooden debris) that was present last year has been removed, issue resolved.","July 31, 2017 - Tract is seeded to wheat; previous location of weed control is grassy area between quarters along undeveloped road allowance",,,
